编号	名字	描述	图标	(作废，用 goods_quality)品质，1-WHITE=白色2-GREEN = 绿色3-BLUE =蓝色 4-PURPLE =紫色5-ORANGE=橙色6-RED=红色	品质，配 物品品质.txt 的 level	特殊类型	Buff id。buff.txt 的 id。免战物品的效果还是配在 mian_duration 字段	CD	武将	资源类	金	粮食	木材	石料	减CD类	加速建筑队	加速科研队	加速装备锻造	"加速时间,s秒，m分钟, h小时"	迁城类	迁城道具	迁移行营	联盟主城迁移	0表示高级迁城令（可以选坐标），1表示随机迁城令（不能选坐标）	荣誉地区随机迁移降低等级数，1表示最大降低1级，如当前是3级，则表示可随机到2级和3级地区	经验丹类	经验值类型     EXP_HERO = 1; // 君主经验丹     EXP_CAPTAIN_REFINED = 2; // 武将强化经验丹     EXP_CAPTAIN_REBIRTH = 3; // 武将转生经验丹     EXP_CAPTAIN_SOUL_UPGRADE = 4; // 将魂升级加经验	经验值	时长类型 COPY_DEFENSER = 1; // 驻防镜像时间	时长		免战时间	行军加速系数，0.1表示加速10%		修炼馆经验丹，填修炼时长		碎片合成所需碎片个数	"None = 0,--单个合成，Single = 1,-- 随机合成，Prob = 2,-- 多个选项制定一个合成，Choose = 3,-- 特殊展示，Special = 4"	碎片合成掉落奖励（可多选一）									点券价格	元宝价格	银两价格	合璧类型 1: 和氏璧 2: 虎纹璧 3: 雪凤璧	合璧子类型。1：左；2：右	匹配玉璧，配置同品质的另一半玉璧 id		讨伐令	攻城令		数据类型：0.无效 1.虎符	数据值（填多少就增加多少）	获取途径																	
52303	3级自选资源箱	使用后可在[color=#5fd652]50万[/color]石料、[color=#5fd652]50万[/color]铜币中选择1个。	自选宝箱		5																																1	3	523031	523032																																					
52304	4级自选资源箱	使用后可在[color=#5fd652]150万[/color]石料、[color=#5fd652]150万[/color]铜币中选择1个。	自选宝箱		8																																1	3	523041	523042																																					
52305	5级自选资源箱	使用后可在[color=#5fd652]500万[/color]石料、[color=#5fd652]500万[/color]铜币中选择1个。	自选宝箱		8																																1	3	523051	523052																																					
																																																																													
52401	商城福袋	随机开出超值奖励。	随机宝箱		5																																1	2	52401																																						
																																																																													
80100	合璧分身	在云台合璧房间中，可制造[color=#ffea8a]分身[/color]协助完成合璧	合璧分身		2	13																																																																							
80101	初级和氏左璧	初级和氏左璧。可在贡献商店中购买，仅能与盟友合璧。合璧成功奖励宝石、大量资源、君主经验	绿色和氏玉璧左		2	12																																													1	1	80102				合璧类型																				
80102	初级和氏右璧	初级和氏右璧。可在贡献商店中购买，仅能与盟友合璧。合璧成功奖励宝石、大量资源、君主经验	绿色和氏玉璧右		2	12																																													1	2	80101				和氏璧 1																				
80103	中级和氏左璧	中级和氏左璧。可在贡献商店中购买，仅能与盟友合璧。合璧成功奖励宝石、大量资源、君主经验	蓝色和氏玉璧左		3	12																																													1	1	80104				虎纹璧 2																				
80104	中级和氏右璧	中级和氏右璧。可在贡献商店中购买，仅能与盟友合璧。合璧成功奖励宝石、大量资源、君主经验	蓝色和氏玉璧右		3	12																																													1	2	80103				雪凤璧 3																				
80105	高级和氏左璧	高级和氏左璧。可在贡献商店中购买，仅能与盟友合璧。合璧成功奖励宝石、大量资源、君主经验	紫色和氏玉璧左		5	12																																													1	1	80106																								
80106	高级和氏右璧	高级和氏右璧。可在贡献商店中购买，仅能与盟友合璧。合璧成功奖励宝石、大量资源、君主经验	紫色和氏玉璧右		5	12																																													1	2	80105																								
80107	超级和氏左璧	超级和氏左璧。可在贡献商店中购买，仅能与盟友合璧。合璧成功奖励宝石、大量资源、君主经验	橙色和氏玉璧左		8	12																																													1	1	80108																								
80108	超级和氏右璧	超级和氏右璧。可在贡献商店中购买，仅能与盟友合璧。合璧成功奖励宝石、大量资源、君主经验	橙色和氏玉璧右		8	12																																													1	2	80107																								
80109	虎纹左璧	虎纹左璧。参加抗击匈奴可获得，合璧成功奖励南海奇精、大量资源、君主经验	虎纹玉璧左		3	12																																													2	1	80110																								
80110	虎纹右璧	虎纹右璧。参加抗击匈奴可获得，合璧成功奖励南海奇精、大量资源、君主经验	虎纹玉璧右		3	12																																													2	2	80109																								
80111	雪凤左璧	雪凤左璧。参加群雄会武可获得，合璧成功奖励名士天书、大量资源、君主经验	雪凤玉璧左		3	12																																													3	1	80112																								
80112	雪凤右璧	雪凤右璧。参加群雄会武可获得，合璧成功奖励可获得名士天书、大量资源、君主经验	雪凤玉璧右		3	12																																													3	2	80111																								
																																																																													
80120	和氏璧	随机获得和氏左璧或右璧，联盟等级越高，玉璧的品质越高	和氏璧		2																																																																								
80121	初级和氏璧	随机获得初级左壁或右璧，合璧成功获得宝石、大量资源、君主经验	初级和氏璧		2																																																																								
80122	中级和氏璧	随机获得中级左壁或右璧，合璧成功获得宝石、大量资源、君主经验	中级和氏璧		3																																																																								
80123	高级和氏璧	随机获得高级左壁或右璧，合璧成功获得宝石、大量资源、君主经验	高级和氏璧		5																																																																								
80124	超级和氏璧	随机获得超级左壁或右璧，合璧成功获得宝石、大量资源、君主经验	超级和氏璧		8																																																																								
80131	虎纹璧	随机获得虎纹左壁或右璧，合璧成功获得南海奇精、大量资源、君主经验	虎纹璧		3																																																																								
80141	雪凤璧	随机获得雪凤左壁或右璧，合璧成功获得名士天书、大量资源、君主经验	雪凤璧		3																																																																								
																																																																													
80501	1级宝物	随机获得1级夜明珠、蓝田玉和周公樽中的一个	通用宝物		2																																																																								
80502	2级宝物	随机获得2级夜明珠、蓝田玉和周公樽中的一个	通用宝物		2																																																																								
80503	3级宝物	随机获得3级夜明珠、蓝田玉和周公樽中的一个	通用宝物		2																																																																								
80504	4级宝物	随机获得4级夜明珠、蓝田玉和周公樽中的一个	通用宝物		3																																																																								
80505	5级宝物	随机获得5级夜明珠、蓝田玉和周公樽中的一个	通用宝物		3																																																																								
80506	6级宝物	随机获得6级夜明珠、蓝田玉和周公樽中的一个	通用宝物		3																																																																								
80507	7级宝物	随机获得7级夜明珠、蓝田玉和周公樽中的一个	通用宝物		5																																																																								
80508	8级宝物	随机获得8级夜明珠、蓝田玉和周公樽中的一个	通用宝物		5																																																																								
80509	9级宝物	随机获得9级夜明珠、蓝田玉和周公樽中的一个	通用宝物		5																																																																								
80510	10级宝物	随机获得10级夜明珠、蓝田玉和周公樽中的一个	通用宝物		8																																																																								
80511	11级宝物	随机获得11级夜明珠、蓝田玉和周公樽中的一个	通用宝物		8																																																																								
80512	12级宝物	随机获得12级夜明珠、蓝田玉和周公樽中的一个	通用宝物		8																																																																								
80513	13级宝物	随机获得13级夜明珠、蓝田玉和周公樽中的一个	通用宝物		11																																																																								
80514	14级宝物	随机获得14级夜明珠、蓝田玉和周公樽中的一个	通用宝物		11																																																																								
80515	15级宝物	随机获得15级夜明珠、蓝田玉和周公樽中的一个	通用宝物		11																																																																								
80516	16级宝物	随机获得16级夜明珠、蓝田玉和周公樽中的一个	通用宝物		11																																																																								
80517	17级宝物	随机获得17级夜明珠、蓝田玉和周公樽中的一个	通用宝物		11																																																																								
80518	18级宝物	随机获得18级夜明珠、蓝田玉和周公樽中的一个	通用宝物		11																																																																								
																																																																													
90101	初级疾修	修炼速度提升50%，持续8小时	疾修		8		30																																									20																													
90102	高级疾修	修炼速度提升100%，持续8小时	疾修		8		40																																									40																													
90201	初级勤耕	农场资源产出速度提升50%，持续8小时	勤耕		8		50																																									15																													
90202	高级勤耕	农场资源产出速度提升50%，持续24小时	勤耕		8		60																																									40																													
90211	初级奋耕	农场资源产出速度提升100%，持续8小时	勤耕		8		70																																									30																													
90212	高级奋耕	农场资源产出速度提升100%，持续24小时	勤耕		8		80																																									80																													
90301	初级增税	官府税收收入提升50%，持续8小时	增税		8		90																																									10																													
90302	高级增税	官府税收收入提升50%，持续24小时	增税		8		100																																									20																													
90311	初级强税	官府税收收入提升100%，持续8小时	增税		8		110																																									15																													
90312	高级强税	官府税收收入提升100%，持续24小时	增税		8		120																																									40																													
90401	初级激扬	军队增伤提升10%，持续4小时	激扬		8		130																																									10																													
90402	高级激扬	军队增伤提升10%，持续12小时	激扬		8		140																																									30																													
90501	初级坚守	军队减伤提升10%，持续4小时	坚守		8		150																																									10																													
90502	高级坚守	军队减伤提升10%，持续12小时	坚守		8		160																																									30																													
90601	减税	减税	宝石		8		170																																																																						
																																																																													
101001	固定宝箱	获得固定物品	固定宝箱		3																																1	0	300020																																						
102001	随机宝箱	获得随机物品	随机宝箱		3																																1	2	80040																																						
103001	自选宝箱	获得自选物品	自选宝箱		3																																1	3	800461	800462	800463	800464	800465	800466	800467																																
