不要改	旧中文	旧翻译	新中文	新翻译
s.文字/邮件-txt-sub_title-ReportSadSuccess	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]您[/color]的主城，成功驱逐了[color=#E7566B]{{attacker}}[/color]的部队。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]您[/color]的主城，成功驱逐了[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-sub_title-ReportSasFail	[color=#79B3F3]您[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，未能驱逐[color=#E7566B]{{attacker}}[/color]的部队。		[color=#6Baaf0]您[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，未能驱逐[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-sub_title-ReportSasSuccess	[color=#79B3F3]您[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，成功驱逐了[color=#E7566B]{{attacker}}[/color]的部队。		[color=#6Baaf0]您[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，成功驱逐了[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-sub_title-ReportWatchAttacker	[color=#6Baaf0]您[/color]瞭望了[color=#ff304e]{{defenser}}[/color]的主城。		[color=#6Baaf0]您[/color]侦查了[color=#ff304e]{{defenser}}[/color]的主城。	
s.文字/邮件-txt-sub_title-ReportWatchDefenser	[color=#ff304e]{{attacker}}[/color]瞭望了[color=#6Baaf0]您[/color]的主城。		[color=#ff304e]{{attacker}}[/color]侦查了[color=#6Baaf0]您[/color]的主城。	
s.文字/邮件-txt-sub_title-XiongNuScore			城主大人，本次抗击匈奴已结束。	
s.文字/邮件-txt-text-AssemblyAdaFail			[color=#6Baaf0]您[/color]参与集结进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗失败。	
s.文字/邮件-txt-text-AssemblyAdaSuccess			[color=#6Baaf0]您[/color]参与集结攻击了[color=#ff304e]{{defenser}}[/color]的主城，战斗胜利。	
s.文字/邮件-txt-text-AssemblyAddFail			[color=#6Baaf0]您[/color]的主城受到[color=#ff304e]{{attacker}}[/color]的集结进攻，防守失败。	
s.文字/邮件-txt-text-AssemblyAddSuccess			[color=#6Baaf0]您[/color]的主城受到[color=#ff304e]{{attacker}}[/color]的集结攻击，防守胜利。	
s.文字/邮件-txt-text-AssemblyAsaFail			[color=#6Baaf0]您[/color]参与集结进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗失败。	
s.文字/邮件-txt-text-AssemblyAsdFail			[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]您[/color]的主城，未能抵御[color=#ff304e]{{attacker}}[/color]的集结攻击。	
s.文字/邮件-txt-text-AssemblyAsdSuccess			[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]您[/color]的主城，成功抵御了[color=#ff304e]{{attacker}}[/color]的集结进攻。	
s.文字/邮件-txt-text-AssemblyAssFail			[color=#6Baaf0]您[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，未能抵御[color=#ff304e]{{attacker}}[/color]的集结攻击。	
s.文字/邮件-txt-text-AssemblyAssSuccess			[color=#6Baaf0]您[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，成功抵御[color=#ff304e]{{attacker}}[/color]的集结进攻。	
s.文字/邮件-txt-text-AssemblyDoneAttacker			[color=#6Baaf0]您[/color]参与的集结部队在[color=#ff304e]{{defenser}}[/color]的主城持续破坏，{{reason}}。	
s.文字/邮件-txt-text-AssemblyDoneDefenser			[color=#ff304e]{{attacker}}[/color]的集结部队在[color=#6Baaf0]您[/color]的主城持续破坏，{{reason}}。	
s.文字/邮件-txt-text-AssemblyExpelAttackerFail			[color=#6Baaf0]您[/color]参与的集结部队破坏[color=#ff304e]{{defenser}}[/color]的主城时被驱逐。	
s.文字/邮件-txt-text-AssemblyExpelAttackerSuccess			[color=#6Baaf0]您[/color]参与的集结部队破坏[color=#ff304e]{{defenser}}[/color]主城时被攻击，战斗胜利。	
s.文字/邮件-txt-text-AssemblyExpelDefenserFail			战斗失败。[color=#6Baaf0]您[/color]未能驱逐[color=#ff304e]{{attacker}}[/color]的集结部队。	
s.文字/邮件-txt-text-AssemblyExpelDefenserSuccess			战斗胜利！[color=#6Baaf0]您[/color]成功驱逐了[color=#ff304e]{{attacker}}[/color]的集结部队。	
s.文字/邮件-txt-text-AssemblySaaFail			[color=#ff304e]{{assister}}[/color]援助了[color=#ff304e]{{defenser}}[/color]的主城，驱逐了[color=#6Baaf0]您[/color]的集结部队。	
s.文字/邮件-txt-text-AssemblySaaSuccess			[color=#ff304e]{{assister}}[/color]援助了[color=#ff304e]{{defenser}}[/color]的主城未能驱逐[color=#6Baaf0]您[/color]参与的集结部队。	
s.文字/邮件-txt-text-AssemblySadFail			[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]您[/color]的主城，未能驱逐[color=#ff304e]{{attacker}}[/color]的集结部队。	
s.文字/邮件-txt-text-AssemblySadSuccess			[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]您[/color]的主城，成功驱逐了[color=#ff304e]{{attacker}}[/color]的集结部队。	
s.文字/邮件-txt-text-AssemblySasFail			[color=#6Baaf0]您[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，未能驱逐[color=#ff304e]{{attacker}}[/color]的集结部队。	
s.文字/邮件-txt-text-AssemblySasSuccess			[color=#6Baaf0]您[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，成功驱逐了[color=#ff304e]{{attacker}}[/color]的集结部队。	
s.文字/邮件-txt-text-BaiZhanJunXianLevelDown	军衔下降为[color=#e2e2e2]{{jun_xian}}[/color]，快去日常-百战千军领取俸禄，继续提升实力吧！		军衔下降为[color=#e2e2e2]{{jun_xian}}[/color]，快去日常-横扫千军领取俸禄，继续提升实力吧！	
s.文字/邮件-txt-text-BaiZhanJunXianLevelKeep	军衔维持为[color=#e2e2e2]{{jun_xian}}[/color]，快去日常-百战千军领取俸禄，继续提升实力吧！		军衔维持为[color=#e2e2e2]{{jun_xian}}[/color]，快去日常-横扫千军领取俸禄，继续提升实力吧！	
s.文字/邮件-txt-text-BaiZhanJunXianLevelMaxKeep	您的军衔为[color=#e2e2e2]{{jun_xian}}[/color]，已经天下无敌了!快去日常-百战千军领取俸禄吧！		您的军衔为[color=#e2e2e2]{{jun_xian}}[/color]，已经天下无敌了!快去日常-横扫千军领取俸禄吧！	
s.文字/邮件-txt-text-BaiZhanJunXianLevelUp	军衔提升为[color=#e2e2e2]{{jun_xian}}[/color]，请再接再厉，快去日常-百战千军领取俸禄吧！		军衔提升为[color=#e2e2e2]{{jun_xian}}[/color]，请再接再厉，快去日常-横扫千军领取俸禄吧！	
s.文字/邮件-txt-text-BuyDaillyBargainSuccess			[color=#ff304e]{{name}}[/color]已购买成功，奖励已发放！	
s.文字/邮件-txt-text-CopyDefenserBeenKilled	您设置的分身队伍驻防时被敌人[color=#e2e2e2]消灭[/color]，请注意调整驻防部队。		您设置的分身队伍驻防时被敌人[color=#e2e2e2]消灭[/color]，请注意调整驻防部队。
提示：
分身队伍只在无队伍驻防或者驻防队伍出征中时才会生效。
分身队伍被攻击后会损失兵力，且不能出征，不能补兵，不能编辑阵型，不能撤防，属性不会变化。
分身队伍持续时间结束后，自动消失。
同时只能有一个分身队伍，再次设置将替换原有的分身队伍。	
s.文字/邮件-txt-text-CopyDefenserExpired	您设置的分身队伍由于生效时间结束，已[color=#e2e2e2]自动消失[/color]，请注意调整驻防部队。		您设置的分身队伍由于生效时间结束，已[color=#e2e2e2]自动消失[/color]，请注意调整驻防部队。
提示：
分身队伍只在无队伍驻防或者驻防队伍出征中时才会生效。
分身队伍被攻击后会损失兵力，且不能出征，不能补兵，不能编辑阵型，不能撤防，属性不会变化。
分身队伍持续时间结束后，自动消失。
同时只能有一个分身队伍，再次设置将替换原有的分身队伍。	
s.文字/邮件-txt-text-CountryChangeNameFail			国君{{hero}} 更改国号失败。	
s.文字/邮件-txt-text-CountryChangeNameSucc			您所在国的国君{{hero}}成功将国号由 {{old_name}} 更改为 {{new_name}}。	
s.文字/邮件-txt-text-CountryDestroy			{{guild_country}}国{{guild}} 占领了本国的都城{{mingc}}城。国家官职全部失效。本国所有联盟通过声望排名活动获得奖励减半！/r/n本国联盟可以通过名城战夺回{{mingc}}城。本国联盟进攻{{mingc}}城时，进攻阵营中本国玩家鼓舞效果翻倍，舍命一击效果提升翻倍！	
s.文字/邮件-txt-text-CountryOfficialAppoint			{{hero}} 任命您为{{official}}！	
s.文字/邮件-txt-text-CountryOfficialDepose			{{hero}} 解除了您的{{official}}职位！	
s.文字/邮件-txt-text-FirstBeenRob	您的主城被[color=#e2e2e2]破坏[/color]了，繁荣度有受损，当繁荣度降为0时，主城将会流亡。		您的主城被[color=#e2e2e2]破坏[/color]了，繁荣度有受损，当繁荣度降为0时，主城将会流亡。
主城流亡，将在随机坐标重建，不影响城池数据。
如何恢复繁荣度：
通过迁城，可快速恢复繁荣度。
迁城状态下，可从领民进贡中领取繁荣度。
使用点券，可立即恢复繁荣度。
进入冬天，繁荣度恢复速度提高1倍。	
s.文字/邮件-txt-text-FirstProtectRemoved	您已[color=#e2e2e2]脱离新手保护[/color]，正式踏入七雄争霸的纷乱世界。		您已[color=#e2e2e2]脱离新手保护[/color]，正式踏入七雄争霸的纷乱世界。
从现在开始，您可以：
进攻其他玩家，获取资源和宝物。
与联盟携手合作，争夺名城，称霸天下。
乱世中实力是决定一切的关键，要想提升实力，可以查看【变强】。
如果遇到强大的敌人，也可以使用【免战牌】、【随机迁城令】暂避锋芒。	
s.文字/邮件-txt-text-FirstTowerFail	千机楼是君主战斗队伍验证实力，获取武将装备的地方。高处不胜寒，闯千机楼的过程并不是一帆风顺。武将可以通过转职卡转换职业，更换自身定位，让队伍阵型更佳完美搭配。		千机楼是君主战斗队伍验证实力，获取武将装备的地方。高处不胜寒，闯千机楼的过程并不是一帆风顺。武将可以通过调整阵型，让队伍完美搭配，发挥最强战力。	
s.文字/邮件-txt-text-GuildBeKickedOut	由于您近期表现不佳，已被{{country}}{{leader}}踢出了联盟。请您不要灰心，可以加入本国其它联盟，或者更换国家。加入到其它6国的联盟。		由于您近期表现不佳，已被[color=#6Baaf0]{{country}}{{leader}}[/color]踢出了联盟。请您不要灰心，可以加入本国其它联盟，或者更换国家。加入到其它6国的联盟。	
s.文字/邮件-txt-text-GuildBigBox	系统为您补发了未及时领取的联盟大宝箱奖励！		系统为您补发了未及时领取的[color=#e2e2e2]联盟大宝箱[/color]奖励！	
s.文字/邮件-txt-text-GuildChangeCountry			你的联盟所属国由{{old_name}}国 转换为{{new_name}}国。您个人的所属国也同时转换。	
s.文字/邮件-txt-text-GuildClassLevelDown	{{class_level}} {{name}} 将您的联盟职位由 {{old_class_level}} 降为 {{new_class_level}} 职位。		{{class_level}}[color=#6Baaf0]{{name}}[/color]将您的联盟职位由[color=#e2e2e2]{{old_class_level}}[/color]降为[color=#e2e2e2]{{new_class_level}}[/color]。	
s.文字/邮件-txt-text-GuildClassLevelUp	由于您表现出色，{{class_level}} {{name}} 任命您为联盟{{new_class_level}}。		由于您表现出色，{{class_level}}[color=#6Baaf0]{{name}}[/color]任命您为联盟[color=#e2e2e2]{{new_class_level}}[/color]。	
s.文字/邮件-txt-text-GuildConveneLeader	盟主[color=#6Baaf0]{{name}}[/color]邀请您迁城到他的主城附近[color=#ff304e]{{pos}}[/color]，一同并肩作战！		盟主[color=#6Baaf0]{{name}}[/color]邀请您迁城到他的主城附近[color=#ff304e]{{pos}}[/color]，一同并肩作战！
使用联盟迁城令可以直接把城池迁到盟主身边
联盟迁城令不足时可以使用高级迁城令	
s.文字/邮件-txt-text-GuildConveneOfficer	联盟官员[color=#6Baaf0]{{name}}[/color]邀请您迁城[color=#ff304e]{{pos}}[/color]，一同并肩作战！		联盟官员[color=#6Baaf0]{{name}}[/color]邀请您迁城[color=#ff304e]{{pos}}[/color]，一同并肩作战！
可以使用高级迁城令前往	
s.文字/邮件-txt-text-GuildEventPrize	恭喜您获得联盟礼包！		由于您离开了联盟，系统为您补发了未领取的联盟礼包奖励。	
s.文字/邮件-txt-text-GuildFirstJoin	恭喜您加入联盟，获得[color=#e2e2e2]200[/color]点券奖励！		恭喜您加入联盟，获得[color=#e2e2e2]200[/color]点券奖励！
盟友可以互助，减少建筑工和研究者的疲劳时间。
联盟成员可以领取联盟礼包。
联盟捐献获得的贡献，可以在商店兑换资源道具。
成员可以享受联盟科技带来的各类增益效果。	
s.文字/邮件-txt-text-GuildFirstJoinNpc	欢迎加入系统联盟。		欢迎加入系统联盟。
系统联盟为游戏内本身存在的联盟，盟主有系统配置。
系统盟主会在每日14:00根据所有成员7日贡献，为排名靠前的成员提升职位。
系统盟主会主动发起盟主竞选，票数最高的成员将成为新的盟主。	
s.文字/邮件-txt-text-GuildLeaderChanged	[color=#6Baaf0]{{name}}[/color]将[color=#ff304e]盟主[/color]禅让给了[color=#6Baaf0]{{leader}}[/color]，希望新的盟主能带领联盟创造新的辉煌。		[color=#6Baaf0]{{name}}[/color]将盟主禅让给了[color=#6Baaf0]{{leader}}[/color]，希望新的盟主能带领联盟创造新的辉煌。	
s.文字/邮件-txt-text-GuildLeaderGenerated	恭喜{{name}}众望所归，通过票选成为新的联盟盟主。		恭喜[color=#6Baaf0]{{name}}[/color]众望所归，通过票选成为新的联盟[color=#e2e2e2]盟主[/color]。	
s.文字/邮件-txt-text-GuildMcWarApplyAtkFail	您的联盟申请挑战{{mingc}}名城失败，申请消耗的{{amount}}虎符已经返还至联盟。		您的联盟申请挑战[color=#ff304e]{{mingc}}[/color]失败，申请消耗的[color=#e2e2e2]{{amount}}[/color]虎符已返还至联盟。	
s.文字/邮件-txt-text-GuildMcWarApplyAtkSucc	名城战申请阶段结束，您的联盟成为{{mingc}}城 的进攻联盟。当前为名城报名协助阶段，在该阶段，您可以联系其它联盟参与协助本联盟争夺{{mingc}}城。		您的联盟申请挑战[color=#ff304e]{{mingc}}[/color]成功，当前为名城报名协助阶段，在该阶段，您可以联系其它联盟参与助攻。	
s.文字/邮件-txt-text-GuildPaySalary	联盟盟主{{leader}}对所有成员发放了工资，请查收。		联盟盟主[color=#6Baaf0]{{leader}}[/color]对所有成员发放了工资，请查收。	
s.文字/邮件-txt-text-GuildReceiveYinliangFromGuild			{{guild}}联盟的盟主{{leader}}赠送了{{amount}}银两给本联盟。	
s.文字/邮件-txt-text-GuildSendYinliangToMember	联盟盟主{{leader}}赠送{{amount}}银两，请查收。		联盟盟主[color=#6Baaf0]{{leader}}[/color]赠送[color=#e2e2e2]{{amount}}[/color]银两，请查收。	
s.文字/邮件-txt-text-GuildTaskEvaluatePrize			您的联盟上周完成联盟任务数量{{num}}，获得[color=#ff304e]{{name}}[/color]评价。您作为联盟{{class_name}}获得以下奖励！	
s.文字/邮件-txt-text-HebiBeRobbedPrize	您在合成[color=#e2e2e2]【{{goods}}】[/color]的过程中，遭到[color=#ff304e]{{attacker}}[/color]干扰，失去了部分奖励。		您在与[color=#6Baaf0]{{name}}[/color]合成[color=#e2e2e2]【{{goods}}】[/color]的过程中，遭到[color=#ff304e]{{attacker}}[/color]干扰，失去了部分奖励。	
s.文字/邮件-txt-text-HebiCompletePrize	恭喜您成功合成[color=#e2e2e2]【{{goods}}】[/color]，获得了丰富奖励。		恭喜您与[color=#6Baaf0]{{name}}[/color]成功合成[color=#e2e2e2]【{{goods}}】[/color]，获得了丰富奖励。	
s.文字/邮件-txt-text-HebiCopyBeRobbedPrize			您用分身在合成{{goods}}的过程中，遭到[color=#E7566B]{{attacker}}[/color]干扰，失去了部分奖励。	
s.文字/邮件-txt-text-HebiCopyCompletePrize			恭喜您使用分身成功合成{{goods}}，获得了丰富奖励。	
s.文字/邮件-txt-text-HebiRobPrize	您[color=#e2e2e2]成功干扰[/color]了合璧，得到丰富奖励。		您[color=#e2e2e2]成功干扰[/color]了[color=#ff304e]{{name}}[/color]与[color=#ff304e]{{hero_name}}[/color]合璧，得到丰富奖励。	
s.文字/邮件-txt-text-HebiRoomBeenRobbed	您所在的合璧房间，被[color=#E7566B]{{attacker}}[/color]占位。		您所在的合璧房间，被[color=#ff304e]{{attacker}}[/color]占位。	
s.文字/邮件-txt-text-McBuildGuildMemberPrize	营建成功，请查收奖励！		{{guild}}今日在 {{mingc}} 共营建{{count}}次，参与营建的成员获得以下奖励。联盟成员营建同一个名城的次数越多，获得的奖励越多	
s.文字/邮件-txt-text-ReportAdaFail	[color=#79B3F3]{{attacker}}[/color]进攻了[color=#E7566B]{{defenser}}[/color]的主城，战斗失败。		[color=#6Baaf0]{{attacker}}[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗失败。	
s.文字/邮件-txt-text-ReportAdaSuccess	[color=#79B3F3]{{attacker}}[/color]进攻了[color=#E7566B]{{defenser}}[/color]的主城，战斗胜利。		[color=#6Baaf0]{{attacker}}[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗胜利。	
s.文字/邮件-txt-text-ReportAddFail	[color=#79B3F3]{{defenser}}[/color]的主城受到[color=#E7566B]{{attacker}}[/color]的进攻，防守失败。		[color=#6Baaf0]{{defenser}}[/color]的主城受到[color=#ff304e]{{attacker}}[/color]的进攻，防守失败。	
s.文字/邮件-txt-text-ReportAddSuccess	[color=#79B3F3]{{defenser}}[/color]的主城受到[color=#E7566B]{{attacker}}[/color]的攻击，防守胜利。		[color=#6Baaf0]{{defenser}}[/color]的主城受到[color=#ff304e]{{attacker}}[/color]的攻击，防守胜利。	
s.文字/邮件-txt-text-ReportAsaFail	[color=#79B3F3]{{attacker}}[/color]进攻了[color=#E7566B]{{defenser}}[/color]的主城，战斗失败。		[color=#6Baaf0]{{attacker}}[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗失败。	
s.文字/邮件-txt-text-ReportAsaSuccess	[color=#79B3F3]{{attacker}}[/color]进攻了[color=#E7566B]{{defenser}}[/color]的主城，战斗胜利。		[color=#6Baaf0]{{attacker}}[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗胜利。	
s.文字/邮件-txt-text-ReportAsdFail	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，未能抵御[color=#E7566B]{{attacker}}[/color]的进攻。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，未能抵御[color=#ff304e]{{attacker}}[/color]的进攻。	
s.文字/邮件-txt-text-ReportAsdSuccess	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，成功抵御了[color=#E7566B]{{attacker}}[/color]的进攻。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，成功抵御了[color=#ff304e]{{attacker}}[/color]的进攻。	
s.文字/邮件-txt-text-ReportAssFail	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，未能抵御[color=#E7566B]{{attacker}}[/color]的进攻。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，未能抵御[color=#ff304e]{{attacker}}[/color]的进攻。	
s.文字/邮件-txt-text-ReportAssSuccess	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，成功抵御了[color=#E7566B]{{attacker}}[/color]的进攻。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，成功抵御了[color=#ff304e]{{attacker}}[/color]的进攻。	
s.文字/邮件-txt-text-ReportBaozRepatriateMoving	您的队伍前往探索[color=#ff304e]{{defenser}}[/color]，被守卫消灭者[color=#ff304e]{{killer}}[/color]遣返。		您的队伍前往探索[color=#ff304e]{{defenser}}[/color]，被守卫消灭者[color=#ff304e]{{killer}}[/color]遣返。
提示：殷墟守卫消灭者将控制该殷墟10分钟，期间可遣返其它前来探索的队伍。	
s.文字/邮件-txt-text-ReportBaozRepatriateRobber	您的队伍探索[color=#ff304e]{{defenser}}[/color]时，被守卫消灭者[color=#ff304e]{{killer}}[/color]遣返。		您的队伍探索[color=#ff304e]{{defenser}}[/color]时，被守卫消灭者[color=#ff304e]{{killer}}[/color]遣返。
提示：殷墟守卫消灭者将控制该殷墟10分钟，期间可遣返其它前来探索的队伍。	
s.文字/邮件-txt-text-ReportDoneAttacker	[color=#79B3F3]{{attacker}}[/color]在[color=#E7566B]{{defenser}}[/color]的主城持续破坏，{{reason}}。		[color=#6Baaf0]{{attacker}}[/color]在[color=#ff304e]{{defenser}}[/color]的主城持续破坏，{{reason}}。	
s.文字/邮件-txt-text-ReportDoneBaoz	[color=#79B3F3]{{attacker}}[/color]探索了[color=#E7566B]{{defenser}}[/color]。		[color=#6Baaf0]{{attacker}}[/color]探索了[color=#ff304e]{{defenser}}[/color]。	
s.文字/邮件-txt-text-ReportDoneBaozBack	由于目标殷墟已有4名其它君主正在掠夺，队伍{{num}}返回。		由于目标殷墟已有4名其它君主正在探索，队伍{{num}}返回。	
s.文字/邮件-txt-text-ReportDoneDefenser	[color=#E7566B]{{attacker}}[/color]在[color=#79B3F3]{{defenser}}[/color]的主城持续破坏，{{reason}}。		[color=#ff304e]{{attacker}}[/color]在[color=#6Baaf0]{{defenser}}[/color]的主城持续破坏，{{reason}}。	
s.文字/邮件-txt-text-ReportExpelAttackerFail	[color=#79B3F3]{{attacker}}[/color]的部队破坏[color=#E7566B]{{defenser}}[/color]的主城时被驱逐。		[color=#6Baaf0]{{attacker}}[/color]的部队破坏[color=#ff304e]{{defenser}}[/color]的主城时被驱逐。	
s.文字/邮件-txt-text-ReportExpelAttackerSuccess	[color=#79B3F3]{{attacker}}[/color]的部队破坏[color=#E7566B]{{defenser}}[/color]主城时被攻击，战斗胜利。		[color=#6Baaf0]{{attacker}}[/color]的部队破坏[color=#ff304e]{{defenser}}[/color]主城时被攻击，战斗胜利。	
s.文字/邮件-txt-text-ReportExpelDefenserFail	战斗失败。[color=#79B3F3]{{defenser}}[/color]未能驱逐[color=#E7566B]{{attacker}}[/color]的部队。		战斗失败。[color=#6Baaf0]{{defenser}}[/color]未能驱逐[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-text-ReportExpelDefenserSuccess	战斗胜利！[color=#79B3F3]{{defenser}}[/color]成功驱逐了[color=#E7566B]{{attacker}}[/color]的部队。		战斗胜利！[color=#6Baaf0]{{defenser}}[/color]成功驱逐了[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-text-ReportSaaFail	[color=#E7566B]{{assister}}[/color]援助了[color=#E7566B]{{defenser}}[/color]的主城，驱逐了[color=#79B3F3]{{attacker}}[/color]的部队。		[color=#ff304e]{{assister}}[/color]援助了[color=#ff304e]{{defenser}}[/color]的主城，驱逐了[color=#6Baaf0]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-text-ReportSaaSuccess	[color=#E7566B]{{assister}}[/color]援助了[color=#E7566B]{{defenser}}[/color]的主城未能驱逐[color=#79B3F3]{{attacker}}[/color]的部队。		[color=#ff304e]{{assister}}[/color]援助了[color=#ff304e]{{defenser}}[/color]的主城未能驱逐[color=#6Baaf0]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-text-ReportSadFail	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，未能驱逐[color=#E7566B]{{attacker}}[/color]的部队。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，未能驱逐[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-text-ReportSadSuccess	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，成功驱逐了[color=#E7566B]{{attacker}}[/color]的部队。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，成功驱逐了[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-text-ReportSasFail	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，未能驱逐[color=#E7566B]{{attacker}}[/color]的部队。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，未能驱逐[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-text-ReportSasSuccess	[color=#79B3F3]{{assister}}[/color]援助了[color=#79B3F3]{{defenser}}[/color]的主城，成功驱逐了[color=#E7566B]{{attacker}}[/color]的部队。		[color=#6Baaf0]{{assister}}[/color]援助了[color=#6Baaf0]{{defenser}}[/color]的主城，成功驱逐了[color=#ff304e]{{attacker}}[/color]的部队。	
s.文字/邮件-txt-text-ReportWatchAttacker	[color=#6Baaf0]{{attacker}}[/color]瞭望了[color=#ff304e]{{defenser}}[/color]的主城。		[color=#6Baaf0]{{attacker}}[/color]侦查了[color=#ff304e]{{defenser}}[/color]的主城。	
s.文字/邮件-txt-text-ReportWatchDefenser	[color=#ff304e]{{attacker}}[/color]瞭望了[color=#6Baaf0]{{defenser}}[/color]的主城。		[color=#ff304e]{{attacker}}[/color]侦查了[color=#6Baaf0]{{defenser}}[/color]的主城。	
s.文字/邮件-txt-text-SurveyMail			感谢各位主公参加本次测试，同时感谢您为我们游戏提出的宝贵意见和建议。这是我们精心准备的礼包，祝您游戏愉快！	
s.文字/邮件-txt-text-XiongNuResistSuc	本次抗击匈奴已结束，匈奴大本营被我方联盟攻破。联盟增加声望{{prestige}},所有联盟成员获得额外奖励。		本次抗击匈奴已结束，匈奴大本营被我方联盟攻破。联盟增加声望[color=#e2e2e2]{{prestige}}[/color],所有联盟成员获得额外奖励。	
s.文字/邮件-txt-text-XiongNuScore	本次抗击匈奴已结束。		本次抗击匈奴已结束。
消灭匈奴部队：[color=#e2e2e2]{{wipe_out_count}}[/color]支
活动评价：[color=#e2e2e2]{{score_name}}[/color]
获得联盟声望：[color=#e2e2e2]{{prestige}}[/color]
此外，所有联盟成员获得额外奖励。	
s.文字/邮件-txt-title-AssemblyAdaFail			进攻失败	
s.文字/邮件-txt-title-AssemblyAdaSuccess			进攻胜利	
s.文字/邮件-txt-title-AssemblyAddFail			防守失败	
s.文字/邮件-txt-title-AssemblyAddSuccess			防守胜利	
s.文字/邮件-txt-title-AssemblyAsaFail			进攻失败	
s.文字/邮件-txt-title-AssemblyAsdFail			盟友援助失败	
s.文字/邮件-txt-title-AssemblyAsdSuccess			盟友援助胜利	
s.文字/邮件-txt-title-AssemblyAssFail			援助失败	
s.文字/邮件-txt-title-AssemblyAssSuccess			援助胜利	
s.文字/邮件-txt-title-AssemblyDoneAttacker			破坏结束	
s.文字/邮件-txt-title-AssemblyDoneDefenser			遭受破坏	
s.文字/邮件-txt-title-AssemblyExpelAttackerFail			战斗失败	
s.文字/邮件-txt-title-AssemblyExpelAttackerSuccess			战斗胜利	
s.文字/邮件-txt-title-AssemblyExpelDefenserFail			战斗失败	
s.文字/邮件-txt-title-AssemblyExpelDefenserSuccess			战斗胜利	
s.文字/邮件-txt-title-AssemblySaaFail			战斗失败	
s.文字/邮件-txt-title-AssemblySaaSuccess			战斗胜利	
s.文字/邮件-txt-title-AssemblySadFail			盟友援助失败	
s.文字/邮件-txt-title-AssemblySadSuccess			盟友援助胜利	
s.文字/邮件-txt-title-AssemblySasFail			援助失败	
s.文字/邮件-txt-title-AssemblySasSuccess			援助胜利	
s.文字/邮件-txt-title-BaiZhanJunXianLevelDown	[color=#f8efca,#e2b47e]军衔下降[/color]		军衔下降	
