Id	未解锁时的图标，配置icon.txt 中的id	解锁时的图标，配置icon.txt 中的id	建筑类型，配置    SI_TU_FU = 30; // 司徒府    ZHU_BI_CHANG = 31; // 铸币厂    CAI_SHI_CHANGE = 32; // 采石场    JI_XIA_XUE_GONG = 33; // 稷下学宫    LU_BAN_GONG_FANG = 34; // 鲁班工坊    SI_MA_FU = 40; // 司马府    SHEN_SHE_YING = 41; // 神射营    HU_BEN_YING = 42; // 虎贲营    CHENG_FANG_JI_GUAN = 43; // 城防机关    YU_BEI_BING_SUO = 44; // 预备兵所	等级	建筑总体描述
2079	城防机关	城防机关	CHENG_FANG_JI_GUAN	29	每小时修炼经验[color=#2cd230]+%d%%[/color]
2080	城防机关	城防机关	CHENG_FANG_JI_GUAN	30	每小时修炼经验[color=#2cd230]+%d%%[/color]
2081	城防机关	城防机关	CHENG_FANG_JI_GUAN	31	每小时修炼经验[color=#2cd230]+%d%%[/color]
2082	城防机关	城防机关	CHENG_FANG_JI_GUAN	32	每小时修炼经验[color=#2cd230]+%d%%[/color]
2083	城防机关	城防机关	CHENG_FANG_JI_GUAN	33	每小时修炼经验[color=#2cd230]+%d%%[/color]
2084	城防机关	城防机关	CHENG_FANG_JI_GUAN	34	每小时修炼经验[color=#2cd230]+%d%%[/color]
2085	城防机关	城防机关	CHENG_FANG_JI_GUAN	35	每小时修炼经验[color=#2cd230]+%d%%[/color]
2086	城防机关	城防机关	CHENG_FANG_JI_GUAN	36	每小时修炼经验[color=#2cd230]+%d%%[/color]
2087	城防机关	城防机关	CHENG_FANG_JI_GUAN	37	每小时修炼经验[color=#2cd230]+%d%%[/color]
2088	城防机关	城防机关	CHENG_FANG_JI_GUAN	38	每小时修炼经验[color=#2cd230]+%d%%[/color]
2089	城防机关	城防机关	CHENG_FANG_JI_GUAN	39	每小时修炼经验[color=#2cd230]+%d%%[/color]
2090	城防机关	城防机关	CHENG_FANG_JI_GUAN	40	每小时修炼经验[color=#2cd230]+%d%%[/color]
2091	城防机关	城防机关	CHENG_FANG_JI_GUAN	41	每小时修炼经验[color=#2cd230]+%d%%[/color]
2092	城防机关	城防机关	CHENG_FANG_JI_GUAN	42	每小时修炼经验[color=#2cd230]+%d%%[/color]
2093	城防机关	城防机关	CHENG_FANG_JI_GUAN	43	每小时修炼经验[color=#2cd230]+%d%%[/color]
2094	城防机关	城防机关	CHENG_FANG_JI_GUAN	44	每小时修炼经验[color=#2cd230]+%d%%[/color]
2095	城防机关	城防机关	CHENG_FANG_JI_GUAN	45	每小时修炼经验[color=#2cd230]+%d%%[/color]
2096	城防机关	城防机关	CHENG_FANG_JI_GUAN	46	每小时修炼经验[color=#2cd230]+%d%%[/color]
2097	城防机关	城防机关	CHENG_FANG_JI_GUAN	47	每小时修炼经验[color=#2cd230]+%d%%[/color]
2098	城防机关	城防机关	CHENG_FANG_JI_GUAN	48	每小时修炼经验[color=#2cd230]+%d%%[/color]
2099	城防机关	城防机关	CHENG_FANG_JI_GUAN	49	每小时修炼经验[color=#2cd230]+%d%%[/color]
2100	城防机关	城防机关	CHENG_FANG_JI_GUAN	50	每小时修炼经验[color=#2cd230]+%d%%[/color]
					
2101	预备兵所	预备兵所	YU_BEI_BING_SUO	1	每小时产兵[color=#2cd230]+%d[/color]
2102	预备兵所	预备兵所	YU_BEI_BING_SUO	2	每小时产兵[color=#2cd230]+%d[/color]
2103	预备兵所	预备兵所	YU_BEI_BING_SUO	3	每小时产兵[color=#2cd230]+%d[/color]
2104	预备兵所	预备兵所	YU_BEI_BING_SUO	4	每小时产兵[color=#2cd230]+%d[/color]
2105	预备兵所	预备兵所	YU_BEI_BING_SUO	5	每小时产兵[color=#2cd230]+%d[/color]
2106	预备兵所	预备兵所	YU_BEI_BING_SUO	6	每小时产兵[color=#2cd230]+%d[/color]
2107	预备兵所	预备兵所	YU_BEI_BING_SUO	7	每小时产兵[color=#2cd230]+%d[/color]
2108	预备兵所	预备兵所	YU_BEI_BING_SUO	8	每小时产兵[color=#2cd230]+%d[/color]
2109	预备兵所	预备兵所	YU_BEI_BING_SUO	9	每小时产兵[color=#2cd230]+%d[/color]
2110	预备兵所	预备兵所	YU_BEI_BING_SUO	10	每小时产兵[color=#2cd230]+%d[/color]
2111	预备兵所	预备兵所	YU_BEI_BING_SUO	11	每小时产兵[color=#2cd230]+%d[/color]
2112	预备兵所	预备兵所	YU_BEI_BING_SUO	12	每小时产兵[color=#2cd230]+%d[/color]
2113	预备兵所	预备兵所	YU_BEI_BING_SUO	13	每小时产兵[color=#2cd230]+%d[/color]
2114	预备兵所	预备兵所	YU_BEI_BING_SUO	14	每小时产兵[color=#2cd230]+%d[/color]
2115	预备兵所	预备兵所	YU_BEI_BING_SUO	15	每小时产兵[color=#2cd230]+%d[/color]
2116	预备兵所	预备兵所	YU_BEI_BING_SUO	16	每小时产兵[color=#2cd230]+%d[/color]
2117	预备兵所	预备兵所	YU_BEI_BING_SUO	17	每小时产兵[color=#2cd230]+%d[/color]
2118	预备兵所	预备兵所	YU_BEI_BING_SUO	18	每小时产兵[color=#2cd230]+%d[/color]
2119	预备兵所	预备兵所	YU_BEI_BING_SUO	19	每小时产兵[color=#2cd230]+%d[/color]
2120	预备兵所	预备兵所	YU_BEI_BING_SUO	20	每小时产兵[color=#2cd230]+%d[/color]
2121	预备兵所	预备兵所	YU_BEI_BING_SUO	21	每小时产兵[color=#2cd230]+%d[/color]
2122	预备兵所	预备兵所	YU_BEI_BING_SUO	22	每小时产兵[color=#2cd230]+%d[/color]
2123	预备兵所	预备兵所	YU_BEI_BING_SUO	23	每小时产兵[color=#2cd230]+%d[/color]
2124	预备兵所	预备兵所	YU_BEI_BING_SUO	24	每小时产兵[color=#2cd230]+%d[/color]
2125	预备兵所	预备兵所	YU_BEI_BING_SUO	25	每小时产兵[color=#2cd230]+%d[/color]
2126	预备兵所	预备兵所	YU_BEI_BING_SUO	26	每小时产兵[color=#2cd230]+%d[/color]
2127	预备兵所	预备兵所	YU_BEI_BING_SUO	27	每小时产兵[color=#2cd230]+%d[/color]
2128	预备兵所	预备兵所	YU_BEI_BING_SUO	28	每小时产兵[color=#2cd230]+%d[/color]
2129	预备兵所	预备兵所	YU_BEI_BING_SUO	29	每小时产兵[color=#2cd230]+%d[/color]
2130	预备兵所	预备兵所	YU_BEI_BING_SUO	30	每小时产兵[color=#2cd230]+%d[/color]
2131	预备兵所	预备兵所	YU_BEI_BING_SUO	31	每小时产兵[color=#2cd230]+%d[/color]
2132	预备兵所	预备兵所	YU_BEI_BING_SUO	32	每小时产兵[color=#2cd230]+%d[/color]
2133	预备兵所	预备兵所	YU_BEI_BING_SUO	33	每小时产兵[color=#2cd230]+%d[/color]
2134	预备兵所	预备兵所	YU_BEI_BING_SUO	34	每小时产兵[color=#2cd230]+%d[/color]
2135	预备兵所	预备兵所	YU_BEI_BING_SUO	35	每小时产兵[color=#2cd230]+%d[/color]
2136	预备兵所	预备兵所	YU_BEI_BING_SUO	36	每小时产兵[color=#2cd230]+%d[/color]
2137	预备兵所	预备兵所	YU_BEI_BING_SUO	37	每小时产兵[color=#2cd230]+%d[/color]
2138	预备兵所	预备兵所	YU_BEI_BING_SUO	38	每小时产兵[color=#2cd230]+%d[/color]
2139	预备兵所	预备兵所	YU_BEI_BING_SUO	39	每小时产兵[color=#2cd230]+%d[/color]
2140	预备兵所	预备兵所	YU_BEI_BING_SUO	40	每小时产兵[color=#2cd230]+%d[/color]
2141	预备兵所	预备兵所	YU_BEI_BING_SUO	41	每小时产兵[color=#2cd230]+%d[/color]
2142	预备兵所	预备兵所	YU_BEI_BING_SUO	42	每小时产兵[color=#2cd230]+%d[/color]
2143	预备兵所	预备兵所	YU_BEI_BING_SUO	43	每小时产兵[color=#2cd230]+%d[/color]
2144	预备兵所	预备兵所	YU_BEI_BING_SUO	44	每小时产兵[color=#2cd230]+%d[/color]
2145	预备兵所	预备兵所	YU_BEI_BING_SUO	45	每小时产兵[color=#2cd230]+%d[/color]
2146	预备兵所	预备兵所	YU_BEI_BING_SUO	46	每小时产兵[color=#2cd230]+%d[/color]
2147	预备兵所	预备兵所	YU_BEI_BING_SUO	47	每小时产兵[color=#2cd230]+%d[/color]
2148	预备兵所	预备兵所	YU_BEI_BING_SUO	48	每小时产兵[color=#2cd230]+%d[/color]
2149	预备兵所	预备兵所	YU_BEI_BING_SUO	49	每小时产兵[color=#2cd230]+%d[/color]
2150	预备兵所	预备兵所	YU_BEI_BING_SUO	50	每小时产兵[color=#2cd230]+%d[/color]
					
2151	神射营	神射营	SHEN_SHE_YING	1	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2152	神射营	神射营	SHEN_SHE_YING	2	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2153	神射营	神射营	SHEN_SHE_YING	3	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2154	神射营	神射营	SHEN_SHE_YING	4	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2155	神射营	神射营	SHEN_SHE_YING	5	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2156	神射营	神射营	SHEN_SHE_YING	6	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2157	神射营	神射营	SHEN_SHE_YING	7	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2158	神射营	神射营	SHEN_SHE_YING	8	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2159	神射营	神射营	SHEN_SHE_YING	9	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2160	神射营	神射营	SHEN_SHE_YING	10	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2161	神射营	神射营	SHEN_SHE_YING	11	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2162	神射营	神射营	SHEN_SHE_YING	12	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2163	神射营	神射营	SHEN_SHE_YING	13	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2164	神射营	神射营	SHEN_SHE_YING	14	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2165	神射营	神射营	SHEN_SHE_YING	15	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2166	神射营	神射营	SHEN_SHE_YING	16	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2167	神射营	神射营	SHEN_SHE_YING	17	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2168	神射营	神射营	SHEN_SHE_YING	18	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2169	神射营	神射营	SHEN_SHE_YING	19	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2170	神射营	神射营	SHEN_SHE_YING	20	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2171	神射营	神射营	SHEN_SHE_YING	21	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2172	神射营	神射营	SHEN_SHE_YING	22	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2173	神射营	神射营	SHEN_SHE_YING	23	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2174	神射营	神射营	SHEN_SHE_YING	24	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2175	神射营	神射营	SHEN_SHE_YING	25	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2176	神射营	神射营	SHEN_SHE_YING	26	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2177	神射营	神射营	SHEN_SHE_YING	27	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2178	神射营	神射营	SHEN_SHE_YING	28	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2179	神射营	神射营	SHEN_SHE_YING	29	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2180	神射营	神射营	SHEN_SHE_YING	30	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2181	神射营	神射营	SHEN_SHE_YING	31	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2182	神射营	神射营	SHEN_SHE_YING	32	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2183	神射营	神射营	SHEN_SHE_YING	33	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2184	神射营	神射营	SHEN_SHE_YING	34	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2185	神射营	神射营	SHEN_SHE_YING	35	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2186	神射营	神射营	SHEN_SHE_YING	36	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2187	神射营	神射营	SHEN_SHE_YING	37	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2188	神射营	神射营	SHEN_SHE_YING	38	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2189	神射营	神射营	SHEN_SHE_YING	39	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2190	神射营	神射营	SHEN_SHE_YING	40	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2191	神射营	神射营	SHEN_SHE_YING	41	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2192	神射营	神射营	SHEN_SHE_YING	42	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2193	神射营	神射营	SHEN_SHE_YING	43	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2194	神射营	神射营	SHEN_SHE_YING	44	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2195	神射营	神射营	SHEN_SHE_YING	45	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2196	神射营	神射营	SHEN_SHE_YING	46	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2197	神射营	神射营	SHEN_SHE_YING	47	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2198	神射营	神射营	SHEN_SHE_YING	48	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2199	神射营	神射营	SHEN_SHE_YING	49	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2200	神射营	神射营	SHEN_SHE_YING	50	弓、器增伤[color=#2cd230]+%.2f%%[/color]
					
2201	神射营	神射营	SHEN_SHE_YING	1	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2202	神射营	神射营	SHEN_SHE_YING	2	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2203	神射营	神射营	SHEN_SHE_YING	3	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2204	神射营	神射营	SHEN_SHE_YING	4	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2205	神射营	神射营	SHEN_SHE_YING	5	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2206	神射营	神射营	SHEN_SHE_YING	6	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2207	神射营	神射营	SHEN_SHE_YING	7	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2208	神射营	神射营	SHEN_SHE_YING	8	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2209	神射营	神射营	SHEN_SHE_YING	9	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2210	神射营	神射营	SHEN_SHE_YING	10	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2211	神射营	神射营	SHEN_SHE_YING	11	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2212	神射营	神射营	SHEN_SHE_YING	12	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2213	神射营	神射营	SHEN_SHE_YING	13	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2214	神射营	神射营	SHEN_SHE_YING	14	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2215	神射营	神射营	SHEN_SHE_YING	15	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2216	神射营	神射营	SHEN_SHE_YING	16	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2217	神射营	神射营	SHEN_SHE_YING	17	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2218	神射营	神射营	SHEN_SHE_YING	18	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2219	神射营	神射营	SHEN_SHE_YING	19	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2220	神射营	神射营	SHEN_SHE_YING	20	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2221	神射营	神射营	SHEN_SHE_YING	21	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2222	神射营	神射营	SHEN_SHE_YING	22	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2223	神射营	神射营	SHEN_SHE_YING	23	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2224	神射营	神射营	SHEN_SHE_YING	24	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2225	神射营	神射营	SHEN_SHE_YING	25	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2226	神射营	神射营	SHEN_SHE_YING	26	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2227	神射营	神射营	SHEN_SHE_YING	27	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2228	神射营	神射营	SHEN_SHE_YING	28	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2229	神射营	神射营	SHEN_SHE_YING	29	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2230	神射营	神射营	SHEN_SHE_YING	30	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2231	神射营	神射营	SHEN_SHE_YING	31	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2232	神射营	神射营	SHEN_SHE_YING	32	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2233	神射营	神射营	SHEN_SHE_YING	33	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2234	神射营	神射营	SHEN_SHE_YING	34	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2235	神射营	神射营	SHEN_SHE_YING	35	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2236	神射营	神射营	SHEN_SHE_YING	36	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2237	神射营	神射营	SHEN_SHE_YING	37	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2238	神射营	神射营	SHEN_SHE_YING	38	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2239	神射营	神射营	SHEN_SHE_YING	39	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2240	神射营	神射营	SHEN_SHE_YING	40	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2241	神射营	神射营	SHEN_SHE_YING	41	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2242	神射营	神射营	SHEN_SHE_YING	42	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2243	神射营	神射营	SHEN_SHE_YING	43	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2244	神射营	神射营	SHEN_SHE_YING	44	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2245	神射营	神射营	SHEN_SHE_YING	45	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2246	神射营	神射营	SHEN_SHE_YING	46	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2247	神射营	神射营	SHEN_SHE_YING	47	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2248	神射营	神射营	SHEN_SHE_YING	48	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2249	神射营	神射营	SHEN_SHE_YING	49	弓、器增伤[color=#2cd230]+%.2f%%[/color]
2250	神射营	神射营	SHEN_SHE_YING	50	弓、器增伤[color=#2cd230]+%.2f%%[/color]
					
2251	虎贲营	虎贲营	HU_BEN_YING	1	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2252	虎贲营	虎贲营	HU_BEN_YING	2	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2253	虎贲营	虎贲营	HU_BEN_YING	3	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2254	虎贲营	虎贲营	HU_BEN_YING	4	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2255	虎贲营	虎贲营	HU_BEN_YING	5	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2256	虎贲营	虎贲营	HU_BEN_YING	6	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2257	虎贲营	虎贲营	HU_BEN_YING	7	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2258	虎贲营	虎贲营	HU_BEN_YING	8	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2259	虎贲营	虎贲营	HU_BEN_YING	9	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2260	虎贲营	虎贲营	HU_BEN_YING	10	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2261	虎贲营	虎贲营	HU_BEN_YING	11	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2262	虎贲营	虎贲营	HU_BEN_YING	12	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2263	虎贲营	虎贲营	HU_BEN_YING	13	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2264	虎贲营	虎贲营	HU_BEN_YING	14	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2265	虎贲营	虎贲营	HU_BEN_YING	15	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2266	虎贲营	虎贲营	HU_BEN_YING	16	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2267	虎贲营	虎贲营	HU_BEN_YING	17	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2268	虎贲营	虎贲营	HU_BEN_YING	18	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2269	虎贲营	虎贲营	HU_BEN_YING	19	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2270	虎贲营	虎贲营	HU_BEN_YING	20	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2271	虎贲营	虎贲营	HU_BEN_YING	21	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2272	虎贲营	虎贲营	HU_BEN_YING	22	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2273	虎贲营	虎贲营	HU_BEN_YING	23	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2274	虎贲营	虎贲营	HU_BEN_YING	24	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2275	虎贲营	虎贲营	HU_BEN_YING	25	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2276	虎贲营	虎贲营	HU_BEN_YING	26	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2277	虎贲营	虎贲营	HU_BEN_YING	27	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2278	虎贲营	虎贲营	HU_BEN_YING	28	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2279	虎贲营	虎贲营	HU_BEN_YING	29	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2280	虎贲营	虎贲营	HU_BEN_YING	30	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2281	虎贲营	虎贲营	HU_BEN_YING	31	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2282	虎贲营	虎贲营	HU_BEN_YING	32	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2283	虎贲营	虎贲营	HU_BEN_YING	33	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2284	虎贲营	虎贲营	HU_BEN_YING	34	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2285	虎贲营	虎贲营	HU_BEN_YING	35	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2286	虎贲营	虎贲营	HU_BEN_YING	36	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2287	虎贲营	虎贲营	HU_BEN_YING	37	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2288	虎贲营	虎贲营	HU_BEN_YING	38	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2289	虎贲营	虎贲营	HU_BEN_YING	39	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2290	虎贲营	虎贲营	HU_BEN_YING	40	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2291	虎贲营	虎贲营	HU_BEN_YING	41	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2292	虎贲营	虎贲营	HU_BEN_YING	42	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2293	虎贲营	虎贲营	HU_BEN_YING	43	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2294	虎贲营	虎贲营	HU_BEN_YING	44	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2295	虎贲营	虎贲营	HU_BEN_YING	45	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2296	虎贲营	虎贲营	HU_BEN_YING	46	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2297	虎贲营	虎贲营	HU_BEN_YING	47	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2298	虎贲营	虎贲营	HU_BEN_YING	48	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2299	虎贲营	虎贲营	HU_BEN_YING	49	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2300	虎贲营	虎贲营	HU_BEN_YING	50	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
					
2301	虎贲营	虎贲营	HU_BEN_YING	1	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2302	虎贲营	虎贲营	HU_BEN_YING	2	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2303	虎贲营	虎贲营	HU_BEN_YING	3	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2304	虎贲营	虎贲营	HU_BEN_YING	4	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2305	虎贲营	虎贲营	HU_BEN_YING	5	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2306	虎贲营	虎贲营	HU_BEN_YING	6	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2307	虎贲营	虎贲营	HU_BEN_YING	7	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2308	虎贲营	虎贲营	HU_BEN_YING	8	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2309	虎贲营	虎贲营	HU_BEN_YING	9	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2310	虎贲营	虎贲营	HU_BEN_YING	10	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2311	虎贲营	虎贲营	HU_BEN_YING	11	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2312	虎贲营	虎贲营	HU_BEN_YING	12	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2313	虎贲营	虎贲营	HU_BEN_YING	13	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2314	虎贲营	虎贲营	HU_BEN_YING	14	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2315	虎贲营	虎贲营	HU_BEN_YING	15	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2316	虎贲营	虎贲营	HU_BEN_YING	16	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2317	虎贲营	虎贲营	HU_BEN_YING	17	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2318	虎贲营	虎贲营	HU_BEN_YING	18	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2319	虎贲营	虎贲营	HU_BEN_YING	19	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2320	虎贲营	虎贲营	HU_BEN_YING	20	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2321	虎贲营	虎贲营	HU_BEN_YING	21	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2322	虎贲营	虎贲营	HU_BEN_YING	22	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2323	虎贲营	虎贲营	HU_BEN_YING	23	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2324	虎贲营	虎贲营	HU_BEN_YING	24	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2325	虎贲营	虎贲营	HU_BEN_YING	25	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2326	虎贲营	虎贲营	HU_BEN_YING	26	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
2327	虎贲营	虎贲营	HU_BEN_YING	27	步、骑、车减伤[color=#2cd230]+%.2f%%[/color]
