"id,5-6位编码表示建筑，前1-2为表示建筑类型，后两位表示建筑等级"	名字	类型    GUAN_FU = 2; // 官府    CANG_KU = 3; // 仓库    JIU_GUAN = 4; // 酒馆    JUN_YING = 5; // 军营    CHENG_QIANG = 6; // 城墙    SHU_YUAN = 7; // 书院    WAI_SHI_YUAN = 8; // 外使院    TIE_JIANG_PU = 9; // 铁匠铺    XIU_LIAN_GUAN = 10; // 修炼馆    SHI_CHANG = 11; // 市场    XING_YING = 12; // 行营    GOLD_PRODUCER = 21; // 金币产出    FOOD_PRODUCER = 22; // 食物产出    WOOD_PRODUCER = 23; // 木头产出    STONE_PRODUCER = 24; // 石头产出    SI_TU_FU = 30; // 司徒府    ZHU_BI_CHANG = 31; // 铸币厂    CAI_SHI_CHANGE = 32; // 采石场    JI_XIA_XUE_GONG = 33; // 稷下学宫    LU_BAN_GONG_FANG = 34; // 鲁班工坊    SI_MA_FU = 40; // 司马府    SHEN_SHE_YING = 41; // 神射营    HU_BEN_YING = 42; // 虎贲营    CHENG_FANG_JI_GUAN = 43; // 城防机关    YU_BEI_BING_SUO = 44; // 预备兵所	等级	升级所需建筑队时间	繁荣度	君主经验	升级消耗的资源，关联Cost表	前置建筑	要求主城等级		effect，关联domestic/effect.txt表	建筑效果描述	建筑功能按钮图标	模型	建筑效果描述	解锁预览	升级预览											
50022	军营22	JUN_YING	22	23.73h	3410	8	50022	20022			50022	每小时产兵提升|2040|2160;兵力上限提升|4.1万|4.3万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]2040[/color]\n兵力上限提升[color=#ffea8a]4.1万	27级解锁5阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升2040（升级[color=#0cb93b]+120[/color]） \n兵力上限提升4.1万（升级[color=#0cb93b]+2400[/color]） \n27级解锁5阶士兵 											
50023	军营23	JUN_YING	23	28.09h	3680	8	50023	20023			50023	每小时产兵提升|2160|2280;兵力上限提升|4.3万|4.6万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]2160[/color]\n兵力上限提升[color=#ffea8a]4.3万	27级解锁5阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升2160（升级[color=#0cb93b]+120[/color]） \n兵力上限提升4.3万（升级[color=#0cb93b]+2400[/color]） \n27级解锁5阶士兵 											
50024	军营24	JUN_YING	24	33.08h	3960	8	50024	20024			50024	每小时产兵提升|2280|2400;兵力上限提升|4.6万|4.8万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]2280[/color]\n兵力上限提升[color=#ffea8a]4.6万	27级解锁5阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升2280（升级[color=#0cb93b]+120[/color]） \n兵力上限提升4.6万（升级[color=#0cb93b]+2400[/color]） \n27级解锁5阶士兵 											
50025	军营25	JUN_YING	25	39.33h	4250	9	50025	20025			50025	每小时产兵提升|2400|2520;兵力上限提升|4.8万|5万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]2400[/color]\n兵力上限提升[color=#ffea8a]4.8万	27级解锁5阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升2400（升级[color=#0cb93b]+120[/color]） \n兵力上限提升4.8万（升级[color=#0cb93b]+2400[/color]） \n27级解锁5阶士兵 											
50026	军营26	JUN_YING	26	46.74h	4550	9	50026	20026			50026	每小时产兵提升|2520|2640;兵力上限提升|5万|5.3万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]2520[/color]\n兵力上限提升[color=#ffea8a]5万	27级解锁5阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升2520（升级[color=#0cb93b]+120[/color]） \n兵力上限提升5万（升级[color=#0cb93b]+2400[/color]） \n27级解锁5阶士兵 											
50027	军营27	JUN_YING	27	56h	4860	9	50027	20027			50027	每小时产兵提升|2640|2760;兵力上限提升|5.3万|5.5万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]2640[/color]\n兵力上限提升[color=#ffea8a]5.3万	32级解锁6阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升2640（升级[color=#0cb93b]+120[/color]） \n兵力上限提升5.3万（升级[color=#0cb93b]+2400[/color]） \n32级解锁6阶士兵  											
50028	军营28	JUN_YING	28	67.97h	5180	10	50028	20028			50028	每小时产兵提升|2760|2880;兵力上限提升|5.5万|5.8万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]2760[/color]\n兵力上限提升[color=#ffea8a]5.5万	32级解锁6阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升2760（升级[color=#0cb93b]+120[/color]） \n兵力上限提升5.5万（升级[color=#0cb93b]+2400[/color]） \n32级解锁6阶士兵  											
50029	军营29	JUN_YING	29	99.84h	5510	10	50029	20029			50029	每小时产兵提升|2880|3000;兵力上限提升|5.8万|6万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]2880[/color]\n兵力上限提升[color=#ffea8a]5.8万	32级解锁6阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升2880（升级[color=#0cb93b]+120[/color]） \n兵力上限提升5.8万（升级[color=#0cb93b]+2400[/color]） \n32级解锁6阶士兵  											
50030	军营30	JUN_YING	30	146.91h	5850	10	50030	20030			50030	每小时产兵提升|3000|3150;兵力上限提升|6万|6.3万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]3000[/color]\n兵力上限提升[color=#ffea8a]6万	32级解锁6阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升3000（升级[color=#0cb93b]+150[/color]） \n兵力上限提升6万（升级[color=#0cb93b]+3000[/color]） \n32级解锁6阶士兵  											
50031	军营31	JUN_YING	31	216.87h	6200	11	50031	20031			50031	每小时产兵提升|3150|3300;兵力上限提升|6.3万|6.6万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]3150[/color]\n兵力上限提升[color=#ffea8a]6.3万	32级解锁6阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升3150（升级[color=#0cb93b]+150[/color]） \n兵力上限提升6.3万（升级[color=#0cb93b]+3000[/color]） \n32级解锁6阶士兵  											
50032	军营32	JUN_YING	32	322.04h	6560	11	50032	20032			50032	每小时产兵提升|3300|3450;兵力上限提升|6.6万|6.9万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]3300[/color]\n兵力上限提升[color=#ffea8a]6.6万	37级解锁7阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升3300（升级[color=#0cb93b]+150[/color]） \n兵力上限提升6.6万（升级[color=#0cb93b]+3000[/color]） \n37级解锁7阶士兵 											
50033	军营33	JUN_YING	33	423.23h	6930	11	50033	20033			50033	每小时产兵提升|3450|3600;兵力上限提升|6.9万|7.2万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]3450[/color]\n兵力上限提升[color=#ffea8a]6.9万	37级解锁7阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升3450（升级[color=#0cb93b]+150[/color]） \n兵力上限提升6.9万（升级[color=#0cb93b]+3000[/color]） \n37级解锁7阶士兵 											
50034	军营34	JUN_YING	34	482.82h	7310	12	50034	20034			50034	每小时产兵提升|3600|3750;兵力上限提升|7.2万|7.5万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]3600[/color]\n兵力上限提升[color=#ffea8a]7.2万	37级解锁7阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升3600（升级[color=#0cb93b]+150[/color]） \n兵力上限提升7.2万（升级[color=#0cb93b]+3000[/color]） \n37级解锁7阶士兵 											
50035	军营35	JUN_YING	35	542.77h	7700	12	50035	20035			50035	每小时产兵提升|3750|3900;兵力上限提升|7.5万|7.8万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]3750[/color]\n兵力上限提升[color=#ffea8a]7.5万	37级解锁7阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升3750（升级[color=#0cb93b]+150[/color]） \n兵力上限提升7.5万（升级[color=#0cb93b]+3000[/color]） \n37级解锁7阶士兵 											
50036	军营36	JUN_YING	36	602.39h	8100	12	50036	20036			50036	每小时产兵提升|3900|4050;兵力上限提升|7.8万|8.1万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]3900[/color]\n兵力上限提升[color=#ffea8a]7.8万	37级解锁7阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升3900（升级[color=#0cb93b]+150[/color]） \n兵力上限提升7.8万（升级[color=#0cb93b]+3000[/color]） \n37级解锁7阶士兵 											
50037	军营37	JUN_YING	37	662.01h	8510	13	50037	20037			50037	每小时产兵提升|4050|4200;兵力上限提升|8.1万|8.4万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]4050[/color]\n兵力上限提升[color=#ffea8a]8.1万	42级解锁8阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升4050（升级[color=#0cb93b]+150[/color]） \n兵力上限提升8.1万（升级[color=#0cb93b]+3000[/color]） \n42级解锁8阶士兵  											
50038	军营38	JUN_YING	38	721.64h	8930	13	50038	20038			50038	每小时产兵提升|4200|4350;兵力上限提升|8.4万|8.7万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]4200[/color]\n兵力上限提升[color=#ffea8a]8.4万	42级解锁8阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升4200（升级[color=#0cb93b]+150[/color]） \n兵力上限提升8.4万（升级[color=#0cb93b]+3000[/color]） \n42级解锁8阶士兵  											
50039	军营39	JUN_YING	39	781.28h	9360	13	50039	20039			50039	每小时产兵提升|4350|4500;兵力上限提升|8.7万|9万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]4350[/color]\n兵力上限提升[color=#ffea8a]8.7万	42级解锁8阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升4350（升级[color=#0cb93b]+150[/color]） \n兵力上限提升8.7万（升级[color=#0cb93b]+3000[/color]） \n42级解锁8阶士兵  											
50040	军营40	JUN_YING	40	842.13h	9800	14	50040	20040			50040	每小时产兵提升|4500|4650;兵力上限提升|9万|9.3万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]4500[/color]\n兵力上限提升[color=#ffea8a]9万	42级解锁8阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升4500（升级[color=#0cb93b]+150[/color]） \n兵力上限提升9万（升级[color=#0cb93b]+3000[/color]） \n42级解锁8阶士兵  											
50041	军营41	JUN_YING	41	942.6h	10250	14	50041	20041			50041	每小时产兵提升|4650|4800;兵力上限提升|9.3万|9.6万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]4650[/color]\n兵力上限提升[color=#ffea8a]9.3万	42级解锁8阶士兵  	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升4650（升级[color=#0cb93b]+150[/color]） \n兵力上限提升9.3万（升级[color=#0cb93b]+3000[/color]） \n42级解锁8阶士兵  											
50042	军营42	JUN_YING	42	1043.87h	10710	14	50042	20042			50042	每小时产兵提升|4800|4950;兵力上限提升|9.6万|9.9万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]4800[/color]\n兵力上限提升[color=#ffea8a]9.6万	47级解锁9阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升4800（升级[color=#0cb93b]+150[/color]） \n兵力上限提升9.6万（升级[color=#0cb93b]+3000[/color]） \n47级解锁9阶士兵 											
50043	军营43	JUN_YING	43	1145.15h	11180	15	50043	20043			50043	每小时产兵提升|4950|5100;兵力上限提升|9.9万|10.2万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]4950[/color]\n兵力上限提升[color=#ffea8a]9.9万	47级解锁9阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升4950（升级[color=#0cb93b]+150[/color]） \n兵力上限提升9.9万（升级[color=#0cb93b]+3000[/color]） \n47级解锁9阶士兵 											
50044	军营44	JUN_YING	44	1246.44h	11660	15	50044	20044			50044	每小时产兵提升|5100|5250;兵力上限提升|10.2万|10.5万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]5100[/color]\n兵力上限提升[color=#ffea8a]10.2万	47级解锁9阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升5100（升级[color=#0cb93b]+150[/color]） \n兵力上限提升10.2万（升级[color=#0cb93b]+3000[/color]） \n47级解锁9阶士兵 											
50045	军营45	JUN_YING	45	1348.18h	12160	15	50045	20045			50045	每小时产兵提升|5250|5400;兵力上限提升|10.5万|10.8万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]5250[/color]\n兵力上限提升[color=#ffea8a]10.5万	47级解锁9阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升5250（升级[color=#0cb93b]+150[/color]） \n兵力上限提升10.5万（升级[color=#0cb93b]+3000[/color]） \n47级解锁9阶士兵 											
50046	军营46	JUN_YING	46	1449.5h	12680	16	50046	20046			50046	每小时产兵提升|5400|5550;兵力上限提升|10.8万|11.1万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]5400[/color]\n兵力上限提升[color=#ffea8a]10.8万	47级解锁9阶士兵 	[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升5400（升级[color=#0cb93b]+150[/color]） \n兵力上限提升10.8万（升级[color=#0cb93b]+3000[/color]） \n47级解锁9阶士兵 											
50047	军营47	JUN_YING	47	1550.82h	13220	16	50047	20047			50047	每小时产兵提升|5550|5700;兵力上限提升|11.1万|11.4万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]5550[/color]\n兵力上限提升[color=#ffea8a]11.1万		[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升5550（升级[color=#0cb93b]+150[/color]） \n兵力上限提升11.1万（升级[color=#0cb93b]+3000[/color]） 											
50048	军营48	JUN_YING	48	1652.16h	13780	16	50048	20048			50048	每小时产兵提升|5700|5850;兵力上限提升|11.4万|11.7万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]5700[/color]\n兵力上限提升[color=#ffea8a]11.4万		[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升5700（升级[color=#0cb93b]+150[/color]） \n兵力上限提升11.4万（升级[color=#0cb93b]+3000[/color]） 											
50049	军营49	JUN_YING	49	1753.5h	14370	17	50049	20049			50049	每小时产兵提升|5850|6000;兵力上限提升|11.7万|12万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]5850[/color]\n兵力上限提升[color=#ffea8a]11.7万		[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升5850（升级[color=#0cb93b]+150[/color]） \n兵力上限提升11.7万（升级[color=#0cb93b]+3000[/color]） 											
50050	军营50	JUN_YING	50	1855.33h	15000	17	50050	20050			50050	每小时产兵提升|6000;兵力上限提升|12万	军营征兵图标	4003	每小时产兵提升[color=#ffea8a]6000[/color]\n兵力上限提升[color=#ffea8a]12万		[color=#ffea8a]增加产兵速度与士兵上限[/color]\n每小时产兵提升6000\n兵力上限提升12万\n											
																												
60001	城墙1	cheng_qiang	1		50	1	60001	20001			60001	床弩前3次攻击每次消灭|12|24;城墙耐久|2万|4万	城墙守城图标	5001	床弩前3次攻击每次消灭[color=#ffea8a]12[/color]\n城墙耐久[color=#ffea8a]2万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭12（升级[color=#0cb93b]+12[/color]）\n城墙耐久2万（升级[color=#0cb93b]+2万[/color]） 											
60002	城墙2	cheng_qiang	2	0.005h	110	1	60002	20002			60002	床弩前3次攻击每次消灭|24|36;城墙耐久|4万|6万	城墙守城图标	5001	床弩前3次攻击每次消灭[color=#ffea8a]24[/color]\n城墙耐久[color=#ffea8a]4万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭24（升级[color=#0cb93b]+12[/color]）\n城墙耐久4万（升级[color=#0cb93b]+2万[/color]） 											
60003	城墙3	cheng_qiang	3	0.006h	180	1	60003	20003			60003	床弩前3次攻击每次消灭|36|48;城墙耐久|6万|8万	城墙守城图标	5001	床弩前3次攻击每次消灭[color=#ffea8a]36[/color]\n城墙耐久[color=#ffea8a]6万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭36（升级[color=#0cb93b]+12[/color]）\n城墙耐久6万（升级[color=#0cb93b]+2万[/color]） 											
60004	城墙4	cheng_qiang	4	0.007h	260	2	60004	20004			60004	床弩前3次攻击每次消灭|48|60;城墙耐久|8万|10万	城墙守城图标	5001	床弩前3次攻击每次消灭[color=#ffea8a]48[/color]\n城墙耐久[color=#ffea8a]8万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭48（升级[color=#0cb93b]+12[/color]）\n城墙耐久8万（升级[color=#0cb93b]+2万[/color]） 											
60005	城墙5	cheng_qiang	5	0.008h	350	2	60005	20005			60005	床弩前3次攻击每次消灭|60|72;城墙耐久|10万|12万	城墙守城图标	5003	床弩前3次攻击每次消灭[color=#ffea8a]60[/color]\n城墙耐久[color=#ffea8a]10万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭60（升级[color=#0cb93b]+12[/color]）\n城墙耐久10万（升级[color=#0cb93b]+2万[/color]） 											
60006	城墙6	cheng_qiang	6	0.009h	450	2	60006	20006			60006	床弩前3次攻击每次消灭|72|84;城墙耐久|12万|14万	城墙守城图标	5003	床弩前3次攻击每次消灭[color=#ffea8a]72[/color]\n城墙耐久[color=#ffea8a]12万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭72（升级[color=#0cb93b]+12[/color]）\n城墙耐久12万（升级[color=#0cb93b]+2万[/color]） 											
60007	城墙7	cheng_qiang	7	0.01h	560	3	60007	20007			60007	床弩前3次攻击每次消灭|84|96;城墙耐久|14万|16万	城墙守城图标	5003	床弩前3次攻击每次消灭[color=#ffea8a]84[/color]\n城墙耐久[color=#ffea8a]14万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭84（升级[color=#0cb93b]+12[/color]）\n城墙耐久14万（升级[color=#0cb93b]+2万[/color]） 											
60008	城墙8	cheng_qiang	8	0.12h	680	3	60008	20008			60008	床弩前3次攻击每次消灭|96|108;城墙耐久|16万|18万	城墙守城图标	5004	床弩前3次攻击每次消灭[color=#ffea8a]96[/color]\n城墙耐久[color=#ffea8a]16万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭96（升级[color=#0cb93b]+12[/color]）\n城墙耐久16万（升级[color=#0cb93b]+2万[/color]） 											
60009	城墙9	cheng_qiang	9	0.25h	810	3	60009	20009			60009	床弩前3次攻击每次消灭|108|120;城墙耐久|18万|20万	城墙守城图标	5004	床弩前3次攻击每次消灭[color=#ffea8a]108[/color]\n城墙耐久[color=#ffea8a]18万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭108（升级[color=#0cb93b]+12[/color]）\n城墙耐久18万（升级[color=#0cb93b]+2万[/color]） 											
60010	城墙10	cheng_qiang	10	0.4h	950	4	60010	20010			60010	床弩前3次攻击每次消灭|120|132;城墙耐久|20万|22万	城墙守城图标	5004	床弩前3次攻击每次消灭[color=#ffea8a]120[/color]\n城墙耐久[color=#ffea8a]20万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭120（升级[color=#0cb93b]+12[/color]）\n城墙耐久20万（升级[color=#0cb93b]+2万[/color]） 											
60011	城墙11	cheng_qiang	11	0.55h	1100	4	60011	20011			60011	床弩前3次攻击每次消灭|132|144;城墙耐久|22万|24万	城墙守城图标	5004	床弩前3次攻击每次消灭[color=#ffea8a]132[/color]\n城墙耐久[color=#ffea8a]22万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭132（升级[color=#0cb93b]+12[/color]）\n城墙耐久22万（升级[color=#0cb93b]+2万[/color]） 											
60012	城墙12	cheng_qiang	12	0.87h	1260	4	60012	20012			60012	床弩前3次攻击每次消灭|144|156;城墙耐久|24万|26万	城墙守城图标	5005	床弩前3次攻击每次消灭[color=#ffea8a]144[/color]\n城墙耐久[color=#ffea8a]24万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭144（升级[color=#0cb93b]+12[/color]）\n城墙耐久24万（升级[color=#0cb93b]+2万[/color]） 											
60013	城墙13	cheng_qiang	13	1.09h	1430	5	60013	20013			60013	床弩前3次攻击每次消灭|156|168;城墙耐久|26万|28万	城墙守城图标	5005	床弩前3次攻击每次消灭[color=#ffea8a]156[/color]\n城墙耐久[color=#ffea8a]26万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭156（升级[color=#0cb93b]+12[/color]）\n城墙耐久26万（升级[color=#0cb93b]+2万[/color]） 											
60014	城墙14	cheng_qiang	14	1.24h	1610	5	60014	20014			60014	床弩前3次攻击每次消灭|168|200;城墙耐久|28万|35万	城墙守城图标	5005	床弩前3次攻击每次消灭[color=#ffea8a]168[/color]\n城墙耐久[color=#ffea8a]28万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭168（升级[color=#0cb93b]+32[/color]）\n城墙耐久28万（升级[color=#0cb93b]+7万[/color]） 											
60015	城墙15	cheng_qiang	15	1.7h	1800	5	60015	20015			60015	床弩前3次攻击每次消灭|200|240;城墙耐久|35万|45万	城墙守城图标	5005	床弩前3次攻击每次消灭[color=#ffea8a]200[/color]\n城墙耐久[color=#ffea8a]35万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭200（升级[color=#0cb93b]+40[/color]）\n城墙耐久35万（升级[color=#0cb93b]+10万[/color]） 											
60016	城墙16	cheng_qiang	16	1.97h	2000	6	60016	20016			60016	床弩前3次攻击每次消灭|240|280;城墙耐久|45万|55万	城墙守城图标	5007	床弩前3次攻击每次消灭[color=#ffea8a]240[/color]\n城墙耐久[color=#ffea8a]45万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭240（升级[color=#0cb93b]+40[/color]）\n城墙耐久45万（升级[color=#0cb93b]+10万[/color]） 											
60017	城墙17	cheng_qiang	17	2.34h	2210	6	60017	20017			60017	床弩前3次攻击每次消灭|280|320;城墙耐久|55万|90万	城墙守城图标	5007	床弩前3次攻击每次消灭[color=#ffea8a]280[/color]\n城墙耐久[color=#ffea8a]55万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭280（升级[color=#0cb93b]+40[/color]）\n城墙耐久55万（升级[color=#0cb93b]+35万[/color]） 											
60018	城墙18	cheng_qiang	18	2.62h	2430	6	60018	20018			60018	床弩前3次攻击每次消灭|320|360;城墙耐久|90万|120万	城墙守城图标	5007	床弩前3次攻击每次消灭[color=#ffea8a]320[/color]\n城墙耐久[color=#ffea8a]90万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭320（升级[color=#0cb93b]+40[/color]）\n城墙耐久90万（升级[color=#0cb93b]+30万[/color]） 											
60019	城墙19	cheng_qiang	19	3.1h	2660	7	60019	20019			60019	床弩前3次攻击每次消灭|360|400;城墙耐久|120万|140万	城墙守城图标	5007	床弩前3次攻击每次消灭[color=#ffea8a]360[/color]\n城墙耐久[color=#ffea8a]120万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭360（升级[color=#0cb93b]+40[/color]）\n城墙耐久120万（升级[color=#0cb93b]+20万[/color]） 											
60020	城墙20	cheng_qiang	20	4.25h	2900	7	60020	20020			60020	床弩前3次攻击每次消灭|400|440;城墙耐久|140万|160万	城墙守城图标	5007	床弩前3次攻击每次消灭[color=#ffea8a]400[/color]\n城墙耐久[color=#ffea8a]140万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭400（升级[color=#0cb93b]+40[/color]）\n城墙耐久140万（升级[color=#0cb93b]+20万[/color]） 											
60021	城墙21	cheng_qiang	21	4.97h	3150	7	60021	20021			60021	床弩前3次攻击每次消灭|440|480;城墙耐久|160万|230万	城墙守城图标	5008	床弩前3次攻击每次消灭[color=#ffea8a]440[/color]\n城墙耐久[color=#ffea8a]160万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭440（升级[color=#0cb93b]+40[/color]）\n城墙耐久160万（升级[color=#0cb93b]+70万[/color]） 											
60022	城墙22	cheng_qiang	22	5.53h	3410	8	60022	20022			60022	床弩前3次攻击每次消灭|480|520;城墙耐久|230万|290万	城墙守城图标	5008	床弩前3次攻击每次消灭[color=#ffea8a]480[/color]\n城墙耐久[color=#ffea8a]230万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭480（升级[color=#0cb93b]+40[/color]）\n城墙耐久230万（升级[color=#0cb93b]+60万[/color]） 											
60023	城墙23	cheng_qiang	23	6.39h	3680	8	60023	20023			60023	床弩前3次攻击每次消灭|520|560;城墙耐久|290万|350万	城墙守城图标	5008	床弩前3次攻击每次消灭[color=#ffea8a]520[/color]\n城墙耐久[color=#ffea8a]290万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭520（升级[color=#0cb93b]+40[/color]）\n城墙耐久290万（升级[color=#0cb93b]+60万[/color]） 											
60024	城墙24	cheng_qiang	24	7.18h	3960	8	60024	20024			60024	床弩前3次攻击每次消灭|560|600;城墙耐久|350万|410万	城墙守城图标	5008	床弩前3次攻击每次消灭[color=#ffea8a]560[/color]\n城墙耐久[color=#ffea8a]350万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭560（升级[color=#0cb93b]+40[/color]）\n城墙耐久350万（升级[color=#0cb93b]+60万[/color]） 											
60025	城墙25	cheng_qiang	25	8.53h	4250	9	60025	20025			60025	床弩前3次攻击每次消灭|600|640;城墙耐久|410万|590万	城墙守城图标	5009	床弩前3次攻击每次消灭[color=#ffea8a]600[/color]\n城墙耐久[color=#ffea8a]410万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭600（升级[color=#0cb93b]+40[/color]）\n城墙耐久410万（升级[color=#0cb93b]+180万[/color]） 											
60026	城墙26	cheng_qiang	26	9.64h	4550	9	60026	20026			60026	床弩前3次攻击每次消灭|640|680;城墙耐久|590万|680万	城墙守城图标	5009	床弩前3次攻击每次消灭[color=#ffea8a]640[/color]\n城墙耐久[color=#ffea8a]590万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭640（升级[color=#0cb93b]+40[/color]）\n城墙耐久590万（升级[color=#0cb93b]+90万[/color]） 											
60027	城墙27	cheng_qiang	27	11.2h	4860	9	60027	20027			60027	床弩前3次攻击每次消灭|680|720;城墙耐久|680万|770万	城墙守城图标	5009	床弩前3次攻击每次消灭[color=#ffea8a]680[/color]\n城墙耐久[color=#ffea8a]680万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭680（升级[color=#0cb93b]+40[/color]）\n城墙耐久680万（升级[color=#0cb93b]+90万[/color]） 											
60028	城墙28	cheng_qiang	28	14.07h	5180	10	60028	20028			60028	床弩前3次攻击每次消灭|720|760;城墙耐久|770万|860万	城墙守城图标	5010	床弩前3次攻击每次消灭[color=#ffea8a]720[/color]\n城墙耐久[color=#ffea8a]770万		[color=#ffea8a]驻防队伍，保护城池[/color]\n前3次攻击每次消灭720（升级[color=#0cb93b]+40[/color]）\n城墙耐久770万（升级[color=#0cb93b]+90万[/color]） 											
