id	名称	仓库金币容量	粮食	木材	石料	仓库保护容量		产出资源类型	资源产出量，每小时	资源点存储上限		军营士兵容量	军营士兵产量，每小时	军营强征士兵数	新兵产量，每小时	新兵最大容量	伤兵容量	增加招募的士兵数量		远程兵种加的属性	近战兵种加的属性		兵种	兵种	兵种	兵种属性	士兵负载	给所有兵种加的属性		修炼馆产出基数，每小时	修炼馆容量基数	修炼馆每小时产出经验	修炼馆加成系数		减少建筑cd，填0.1表示减少10%的cd	减少科技cd，填0.1表示减少10%的cd	建筑队疲劳时间	科技队疲劳时间		行营繁荣度上限	行营抢修值上限		主城城墙固定伤害	主城城墙属性	行营城墙固定伤害	行营城墙属性		求助减少CD	求助最大被帮助次数	联盟捐献次数		农场产出资源类型	农场产出加成，千分比		官府税收，金币	粮食	木材	石料		驻守附加属性	协防附加属性	镜像驻守附加属性		建筑消耗减少	科技消耗减少		建筑	科技	修炼	农铜	农石	税铜	税石	
340013	库府13	1600000	1600000	1600000	1600000																																																																					
340014	库府14	1800000	1800000	1800000	1800000																																																																					
340015	库府15	2000000	2000000	2000000	2000000																																																																					
340016	库府16	2200000	2200000	2200000	2200000																																																																					
340017	库府17	2400000	2400000	2400000	2400000																																																																					
340018	库府18	2600000	2600000	2600000	2600000																																																																					
340019	库府19	2800000	2800000	2800000	2800000																																																																					
340020	库府20	3200000	3200000	3200000	3200000																																																																					
340021	库府21	3600000	3600000	3600000	3600000																																																																					
340022	库府22	4000000	4000000	4000000	4000000																																																																					
340023	库府23	4400000	4400000	4400000	4400000																																																																					
340024	库府24	4800000	4800000	4800000	4800000																																																																					
340025	库府25	5200000	5200000	5200000	5200000																																																																					
340026	库府26	5600000	5600000	5600000	5600000																																																																					
340027	库府27	6000000	6000000	6000000	6000000																																																																					
340028	库府28	6400000	6400000	6400000	6400000																																																																					
340029	库府29	6800000	6800000	6800000	6800000																																																																					
340030	库府30	8000000	8000000	8000000	8000000																																																																					
340031	库府31	9200000	9200000	9200000	9200000																																																																					
340032	库府32	10400000	10400000	10400000	10400000																																																																					
340033	库府33	11600000	11600000	11600000	11600000																																																																					
340034	库府34	12800000	12800000	12800000	12800000																																																																					
340035	库府35	14000000	14000000	14000000	14000000																																																																					
340036	库府36	18000000	18000000	18000000	18000000																																																																					
340037	库府37	24000000	24000000	24000000	24000000																																																																					
340038	库府38	30000000	30000000	30000000	30000000																																																																					
340039	库府39	36000000	36000000	36000000	36000000																																																																					
340040	库府40	42000000	42000000	42000000	42000000																																																																					
340041	库府41	48000000	48000000	48000000	48000000																																																																					
340042	库府42	56000000	56000000	56000000	56000000																																																																					
340043	库府43	68000000	68000000	68000000	68000000																																																																					
340044	库府44	80000000	80000000	80000000	80000000																																																																					
340045	库府45	92000000	92000000	92000000	92000000																																																																					
340046	库府46	104000000	104000000	104000000	104000000																																																																					
340047	库府47	116000000	116000000	116000000	116000000																																																																					
340048	库府48	128000000	128000000	128000000	128000000																																																																					
340049	库府49	140000000	140000000	140000000	140000000																																																																					
340050	库府50	160000000	160000000	160000000	160000000																																																																					
																																																																										
330001	匠工所1																																																															0.002										
330002	匠工所2																																																															0.004										
330003	匠工所3																																																															0.006										
330004	匠工所4																																																															0.008										
330005	匠工所5																																																															0.01										
330006	匠工所6																																																															0.012										
330007	匠工所7																																																															0.014										
330008	匠工所8																																																															0.016										
330009	匠工所9																																																															0.018										
330010	匠工所10																																																															0.02										
330011	匠工所11																																																															0.022										
330012	匠工所12																																																															0.024										
330013	匠工所13																																																															0.026										
330014	匠工所14																																																															0.028										
330015	匠工所15																																																															0.03										
330016	匠工所16																																																															0.032										
330017	匠工所17																																																															0.034										
330018	匠工所18																																																															0.036										
330019	匠工所19																																																															0.038										
330020	匠工所20																																																															0.04										
330021	匠工所21																																																															0.042										
330022	匠工所22																																																															0.044										
330023	匠工所23																																																															0.046										
330024	匠工所24																																																															0.048										
330025	匠工所25																																																															0.05										
330026	匠工所26																																																															0.052										
330027	匠工所27																																																															0.054										
330028	匠工所28																																																															0.056										
330029	匠工所29																																																															0.058										
330030	匠工所30																																																															0.06										
330031	匠工所31																																																															0.062										
330032	匠工所32																																																															0.064										
330033	匠工所33																																																															0.066										
330034	匠工所34																																																															0.068										
330035	匠工所35																																																															0.07										
330036	匠工所36																																																															0.072										
330037	匠工所37																																																															0.074										
330038	匠工所38																																																															0.076										
330039	匠工所39																																																															0.078										
330040	匠工所40																																																															0.08										
330041	匠工所41																																																															0.082										
330042	匠工所42																																																															0.084										
330043	匠工所43																																																															0.086										
330044	匠工所44																																																															0.088										
330045	匠工所45																																																															0.09										
330046	匠工所46																																																															0.092										
330047	匠工所47																																																															0.094										
330048	匠工所48																																																															0.096										
330049	匠工所49																																																															0.098										
330050	匠工所50																																																															0.1										
																																																																										
310001	铸币厂1							gold	1%	1%																																										gold	50%																					
310002	铸币厂2							gold	2%	2%																																										gold	55%																					
310003	铸币厂3							gold	3%	3%																																										gold	60%																					
310004	铸币厂4							gold	4%	4%																																										gold	65%																					
310005	铸币厂5							gold	6%	6%																																										gold	70%																					
310006	铸币厂6							gold	7%	7%																																										gold	75%																					
310007	铸币厂7							gold	8%	8%																																										gold	80%																					
310008	铸币厂8							gold	9%	9%																																										gold	85%																					
310009	铸币厂9							gold	10%	10%																																										gold	90%																					
310010	铸币厂10							gold	12%	12%																																										gold	95%																					
310011	铸币厂11							gold	13%	13%																																										gold	100%																					
310012	铸币厂12							gold	14%	14%																																										gold	105%																					
310013	铸币厂13							gold	15%	15%																																										gold	110%																					
310014	铸币厂14							gold	16%	16%																																										gold	115%																					
310015	铸币厂15							gold	18%	18%																																										gold	120%																					
310016	铸币厂16							gold	19%	19%																																										gold	125%																					
310017	铸币厂17							gold	20%	20%																																										gold	130%																					
310018	铸币厂18							gold	21%	21%																																										gold	135%																					
310019	铸币厂19							gold	22%	22%																																										gold	140%																					
310020	铸币厂20							gold	24%	24%																																										gold	145%																					
310021	铸币厂21							gold	25%	25%																																										gold	150%																					
310022	铸币厂22							gold	26%	26%																																										gold	155%																					
310023	铸币厂23							gold	27%	27%																																										gold	160%																					
310024	铸币厂24							gold	28%	28%																																										gold	165%																					
310025	铸币厂25							gold	30%	30%																																										gold	170%																					
310026	铸币厂26							gold	31%	31%																																										gold	175%																					
310027	铸币厂27							gold	32%	32%																																										gold	180%																					
310028	铸币厂28							gold	33%	33%																																										gold	185%																					
310029	铸币厂29							gold	34%	34%																																										gold	190%																					
310030	铸币厂30							gold	36%	36%																																										gold	195%																					
310031	铸币厂31							gold	37%	37%																																										gold	200%																					
310032	铸币厂32							gold	38%	38%																																										gold	205%																					
310033	铸币厂33							gold	39%	39%																																										gold	210%																					
310034	铸币厂34							gold	40%	40%																																										gold	215%																					
310035	铸币厂35							gold	42%	42%																																										gold	220%																					
310036	铸币厂36							gold	43%	43%																																										gold	225%																					
310037	铸币厂37							gold	44%	44%																																										gold	230%																					
310038	铸币厂38							gold	45%	45%																																										gold	235%																					
310039	铸币厂39							gold	46%	46%																																										gold	240%																					
310040	铸币厂40							gold	48%	48%																																										gold	245%																					
310041	铸币厂41							gold	49%	49%																																										gold	250%																					
310042	铸币厂42							gold	50%	50%																																										gold	255%																					
310043	铸币厂43							gold	51%	51%																																										gold	260%																					
310044	铸币厂44							gold	52%	52%																																										gold	265%																					
310045	铸币厂45							gold	54%	54%																																										gold	270%																					
310046	铸币厂46							gold	55%	55%																																										gold	275%																					
310047	铸币厂47							gold	56%	56%																																										gold	280%																					
310048	铸币厂48							gold	57%	57%																																										gold	285%																					
310049	铸币厂49							gold	58%	58%																																										gold	290%																					
310050	铸币厂50							gold	60%	60%																																										gold	300%																					
																																																																										
320001	采石场1							stone	1%	1%																																										stone	50%																					
320002	采石场2							stone	2%	2%																																										stone	55%																					
320003	采石场3							stone	3%	3%																																										stone	60%																					
320004	采石场4							stone	4%	4%																																										stone	65%																					
320005	采石场5							stone	6%	6%																																										stone	70%																					
320006	采石场6							stone	7%	7%																																										stone	75%																					
320007	采石场7							stone	8%	8%																																										stone	80%																					
320008	采石场8							stone	9%	9%																																										stone	85%																					
320009	采石场9							stone	10%	10%																																										stone	90%																					
320010	采石场10							stone	12%	12%																																										stone	95%																					
320011	采石场11							stone	13%	13%																																										stone	100%																					
320012	采石场12							stone	14%	14%																																										stone	105%																					
320013	采石场13							stone	15%	15%																																										stone	110%																					
320014	采石场14							stone	16%	16%																																										stone	115%																					
320015	采石场15							stone	18%	18%																																										stone	120%																					
320016	采石场16							stone	19%	19%																																										stone	125%																					
320017	采石场17							stone	20%	20%																																										stone	130%																					
320018	采石场18							stone	21%	21%																																										stone	135%																					
320019	采石场19							stone	22%	22%																																										stone	140%																					
320020	采石场20							stone	24%	24%																																										stone	145%																					
320021	采石场21							stone	25%	25%																																										stone	150%																					
320022	采石场22							stone	26%	26%																																										stone	155%																					
320023	采石场23							stone	27%	27%																																										stone	160%																					
320024	采石场24							stone	28%	28%																																										stone	165%																					
320025	采石场25							stone	30%	30%																																										stone	170%																					
320026	采石场26							stone	31%	31%																																										stone	175%																					
320027	采石场27							stone	32%	32%																																										stone	180%																					
320028	采石场28							stone	33%	33%																																										stone	185%																					
320029	采石场29							stone	34%	34%																																										stone	190%																					
320030	采石场30							stone	36%	36%																																										stone	195%																					
320031	采石场31							stone	37%	37%																																										stone	200%																					
320032	采石场32							stone	38%	38%																																										stone	205%																					
320033	采石场33							stone	39%	39%																																										stone	210%																					
320034	采石场34							stone	40%	40%																																										stone	215%																					
320035	采石场35							stone	42%	42%																																										stone	220%																					
320036	采石场36							stone	43%	43%																																										stone	225%																					
320037	采石场37							stone	44%	44%																																										stone	230%																					
320038	采石场38							stone	45%	45%																																										stone	235%																					
320039	采石场39							stone	46%	46%																																										stone	240%																					
320040	采石场40							stone	48%	48%																																										stone	245%																					
320041	采石场41							stone	49%	49%																																										stone	250%																					
320042	采石场42							stone	50%	50%																																										stone	255%																					
320043	采石场43							stone	51%	51%																																										stone	260%																					
320044	采石场44							stone	52%	52%																																										stone	265%																					
320045	采石场45							stone	54%	54%																																										stone	270%																					
320046	采石场46							stone	55%	55%																																										stone	275%																					
320047	采石场47							stone	56%	56%																																										stone	280%																					
320048	采石场48							stone	57%	57%																																										stone	285%																					
320049	采石场49							stone	58%	58%																																										stone	290%																					
320050	采石场50							stone	60%	60%																																										stone	300%																					
																																																																										
400001	司马府1																											400001																																														
400002	司马府2																											400002																																														
400003	司马府3																											400003																																														
400004	司马府4																											400004																																														
400005	司马府5																											400005																																														
400006	司马府6																											400006																																														
400007	司马府7																											400007																																														
400008	司马府8																											400008																																														
400009	司马府9																											400009																																														
400010	司马府10																											400010																																														
400011	司马府11																											400011																																														
400012	司马府12																											400012																																														
400013	司马府13																											400013																																														
400014	司马府14																											400014																																														
400015	司马府15																											400015																																														
400016	司马府16																											400016																																														
400017	司马府17																											400017																																														
400018	司马府18																											400018																																														
400019	司马府19																											400019																																														
400020	司马府20																											400020																																														
400021	司马府21																											400021																																														
400022	司马府22																											400022																																														
400023	司马府23																											400023																																														
400024	司马府24																											400024																																														
400025	司马府25																											400025																																														
400026	司马府26																											400026																																														
400027	司马府27																											400027																																														
400028	司马府28																											400028																																														
400029	司马府29																											400029																																														
400030	司马府30																											400030																																														
400031	司马府31																											400031																																														
400032	司马府32																											400032																																														
400033	司马府33																											400033																																														
400034	司马府34																											400034																																														
400035	司马府35																											400035																																														
400036	司马府36																											400036																																														
400037	司马府37																											400037																																														
400038	司马府38																											400038																																														
400039	司马府39																											400039																																														
400040	司马府40																											400040																																														
400041	司马府41																											400041																																														
400042	司马府42																											400042																																														
400043	司马府43																											400043																																														
400044	司马府44																											400044																																														
400045	司马府45																											400045																																														
400046	司马府46																											400046																																														
400047	司马府47																											400047																																														
400048	司马府48																											400048																																														
400049	司马府49																											400049																																														
400050	司马府50																											400050																																														
410001	神射营1																			410001																																																						
410002	神射营2																			410002																																																						
410003	神射营3																			410003																																																						
410004	神射营4																			410004																																																						
410005	神射营5																			410005																																																						
410006	神射营6																			410006																																																						
410007	神射营7																			410007																																																						
410008	神射营8																			410008																																																						
410009	神射营9																			410009																																																						
410010	神射营10																			410010																																																						
410011	神射营11																			410011																																																						
410012	神射营12																			410012																																																						
410013	神射营13																			410013																																																						
410014	神射营14																			410014																																																						
410015	神射营15																			410015																																																						
410016	神射营16																			410016																																																						
410017	神射营17																			410017																																																						
410018	神射营18																			410018																																																						
410019	神射营19																			410019																																																						
410020	神射营20																			410020																																																						
410021	神射营21																			410021																																																						
410022	神射营22																			410022																																																						
410023	神射营23																			410023																																																						
410024	神射营24																			410024																																																						
410025	神射营25																			410025																																																						
410026	神射营26																			410026																																																						
410027	神射营27																			410027																																																						
410028	神射营28																			410028																																																						
410029	神射营29																			410029																																																						
410030	神射营30																			410030																																																						
410031	神射营31																			410031																																																						
410032	神射营32																			410032																																																						
410033	神射营33																			410033																																																						
410034	神射营34																			410034																																																						
410035	神射营35																			410035																																																						
410036	神射营36																			410036																																																						
410037	神射营37																			410037																																																						
410038	神射营38																			410038																																																						
410039	神射营39																			410039																																																						
410040	神射营40																			410040																																																						
410041	神射营41																			410041																																																						
410042	神射营42																			410042																																																						
410043	神射营43																			410043																																																						
410044	神射营44																			410044																																																						
410045	神射营45																			410045																																																						
410046	神射营46																			410046																																																						
410047	神射营47																			410047																																																						
410048	神射营48																			410048																																																						
410049	神射营49																			410049																																																						
410050	神射营50																			410050																																																						
420001	虎贲营1																				420001																																																					
420002	虎贲营2																				420002																																																					
420003	虎贲营3																				420003																																																					
420004	虎贲营4																				420004																																																					
420005	虎贲营5																				420005																																																					
420006	虎贲营6																				420006																																																					
420007	虎贲营7																				420007																																																					
420008	虎贲营8																				420008																																																					
420009	虎贲营9																				420009																																																					
420010	虎贲营10																				420010																																																					
420011	虎贲营11																				420011																																																					
420012	虎贲营12																				420012																																																					
420013	虎贲营13																				420013																																																					
420014	虎贲营14																				420014																																																					
420015	虎贲营15																				420015																																																					
420016	虎贲营16																				420016																																																					
420017	虎贲营17																				420017																																																					
420018	虎贲营18																				420018																																																					
420019	虎贲营19																				420019																																																					
420020	虎贲营20																				420020																																																					
420021	虎贲营21																				420021																																																					
420022	虎贲营22																				420022																																																					
420023	虎贲营23																				420023																																																					
420024	虎贲营24																				420024																																																					
420025	虎贲营25																				420025																																																					
420026	虎贲营26																				420026																																																					
420027	虎贲营27																				420027																																																					
420028	虎贲营28																				420028																																																					
420029	虎贲营29																				420029																																																					
420030	虎贲营30																				420030																																																					
420031	虎贲营31																				420031																																																					
420032	虎贲营32																				420032																																																					
420033	虎贲营33																				420033																																																					
420034	虎贲营34																				420034																																																					
420035	虎贲营35																				420035																																																					
420036	虎贲营36																				420036																																																					
420037	虎贲营37																				420037																																																					
420038	虎贲营38																				420038																																																					
420039	虎贲营39																				420039																																																					
420040	虎贲营40																				420040																																																					
420041	虎贲营41																				420041																																																					
420042	虎贲营42																				420042																																																					
420043	虎贲营43																				420043																																																					
420044	虎贲营44																				420044																																																					
420045	虎贲营45																				420045																																																					
420046	虎贲营46																				420046																																																					
420047	虎贲营47																				420047																																																					
420048	虎贲营48																				420048																																																					
420049	虎贲营49																				420049																																																					
420050	虎贲营50																				420050																																																					
430001	讲武堂1																																0.01																																									
430002	讲武堂2																																0.02																																									
430003	讲武堂3																																0.03																																									
430004	讲武堂4																																0.04																																									
430005	讲武堂5																																0.05																																									
430006	讲武堂6																																0.06																																									
430007	讲武堂7																																0.07																																									
430008	讲武堂8																																0.08																																									
430009	讲武堂9																																0.09																																									
430010	讲武堂10																																0.1																																									
430011	讲武堂11																																0.11																																									
430012	讲武堂12																																0.12																																									
430013	讲武堂13																																0.13																																									
430014	讲武堂14																																0.14																																									
430015	讲武堂15																																0.15																																									
430016	讲武堂16																																0.16																																									
430017	讲武堂17																																0.17																																									
430018	讲武堂18																																0.18																																									
430019	讲武堂19																																0.19																																									
430020	讲武堂20																																0.2																																									
430021	讲武堂21																																0.21																																									
430022	讲武堂22																																0.22																																									
430023	讲武堂23																																0.23																																									
430024	讲武堂24																																0.24																																									
430025	讲武堂25																																0.25																																									
430026	讲武堂26																																0.26																																									
430027	讲武堂27																																0.27																																									
430028	讲武堂28																																0.28																																									
430029	讲武堂29																																0.29																																									
430030	讲武堂30																																0.3																																									
430031	讲武堂31																																0.31																																									
430032	讲武堂32																																0.32																																									
430033	讲武堂33																																0.33																																									
430034	讲武堂34																																0.34																																									
430035	讲武堂35																																0.35																																									
430036	讲武堂36																																0.36																																									
430037	讲武堂37																																0.37																																									
430038	讲武堂38																																0.38																																									
430039	讲武堂39																																0.39																																									
430040	讲武堂40																																0.4																																									
430041	讲武堂41																																0.41																																									
430042	讲武堂42																																0.42																																									
430043	讲武堂43																																0.43																																									
430044	讲武堂44																																0.44																																									
430045	讲武堂45																																0.45																																									
430046	讲武堂46																																0.46																																									
430047	讲武堂47																																0.47																																									
430048	讲武堂48																																0.48																																									
430049	讲武堂49																																0.49																																									
430050	讲武堂50																																0.5																																									
440001	预备兵所1											720	36	144				36																																																								
440002	预备兵所2											1440	72	288				72																																																								
440003	预备兵所3											2160	108	432				108																																																								
440004	预备兵所4											2880	144	576				144																																																								
440005	预备兵所5											3600	180	720				180																																																								
440006	预备兵所6											4320	216	864				216																																																								
440007	预备兵所7											5040	252	1008				252																																																								
440008	预备兵所8											5760	288	1152				288																																																								
440009	预备兵所9											6480	324	1296				324																																																								
440010	预备兵所10											7200	360	1440				360																																																								
440011	预备兵所11											7920	396	1584				396																																																								
440012	预备兵所12											8640	432	1728				432																																																								
440013	预备兵所13											9360	468	1872				468																																																								
440014	预备兵所14											10080	504	2016				504																																																								
440015	预备兵所15											10800	540	2160				540																																																								
440016	预备兵所16											11520	576	2304				576																																																								
440017	预备兵所17											12240	612	2448				612																																																								
440018	预备兵所18											12960	648	2592				648																																																								
440019	预备兵所19											13680	684	2736				684																																																								
440020	预备兵所20											14400	720	2880				720																																																								
440021	预备兵所21											15600	780	3120				780																																																								
440022	预备兵所22											16800	840	3360				840																																																								
440023	预备兵所23											18000	900	3600				900																																																								
440024	预备兵所24											19200	960	3840				960																																																								
440025	预备兵所25											20400	1020	4080				1020																																																								
440026	预备兵所26											21600	1080	4320				1080																																																								
440027	预备兵所27											22800	1140	4560				1140																																																								
440028	预备兵所28											24000	1200	4800				1200																																																								
440029	预备兵所29											25200	1260	5040				1260																																																								
440030	预备兵所30											26400	1320	5280				1320																																																								
440031	预备兵所31											27600	1380	5520				1380																																																								
440032	预备兵所32											28800	1440	5760				1440																																																								
440033	预备兵所33											30000	1500	6000				1500																																																								
440034	预备兵所34											31200	1560	6240				1560																																																								
440035	预备兵所35											32400	1620	6480				1620																																																								
440036	预备兵所36											33600	1680	6720				1680																																																								
440037	预备兵所37											34800	1740	6960				1740																																																								
440038	预备兵所38											36000	1800	7200				1800																																																								
440039	预备兵所39											37200	1860	7440				1860																																																								
440040	预备兵所40											38400	1920	7680				1920																																																								
440041	预备兵所41											39600	1980	7920				1980																																																								
440042	预备兵所42											40800	2040	8160				2040																																																								
440043	预备兵所43											42000	2100	8400				2100																																																								
440044	预备兵所44											43200	2160	8640				2160																																																								
