任务序号，从1开始连续配置	1	任务内容	任务图标	任务目标	奖励	成就类型，做完A做B，成就类型一致	做完这个成就任务，下一个成就任务，0表示做完该任务没有下一个成就任务了	星数，从1开始	总共的星数，用来计算总共多少星，从1开始	任务品质 	排序	
62102	左右逢源2	拥有5个好友	ui://Library/Image_FunctionIcon_Team	62102	62102	21	62103	2	2	1	21	
62103	左右逢源3	拥有10个好友	ui://Library/Image_FunctionIcon_Team	62103	62103	21	62104	3	3	2	21	
62104	左右逢源4	拥有20个好友	ui://Library/Image_FunctionIcon_Team	62104	62104	21	62105	4	4	2	21	
62105	左右逢源5	拥有30个好友	ui://Library/Image_FunctionIcon_Team	62105	62105	21	0	5	5	3	21	
												
62201	协助密室1	协助通关密室5次	ui://Library/Image_FunctionIcon_Room1000Tower	62201	62201	22	62202	1	1	1	22	
62202	协助密室2	协助通关密室10次	ui://Library/Image_FunctionIcon_Room1000Tower	62202	62202	22	62203	2	2	1	22	
62203	协助密室3	协助通关密室35次	ui://Library/Image_FunctionIcon_Room1000Tower	62203	62203	22	62204	3	3	1	22	
62204	协助密室4	协助通关密室45次	ui://Library/Image_FunctionIcon_Room1000Tower	62204	62204	22	62205	4	4	2	22	
62205	协助密室5	协助通关密室60次	ui://Library/Image_FunctionIcon_Room1000Tower	62205	62205	22	62206	5	5	2	22	
62206	协助密室6	协助通关密室300次	ui://Library/Image_FunctionIcon_Room1000Tower	62206	62206	22	62207	1	6	2	22	
62207	协助密室7	协助通关密室300次	ui://Library/Image_FunctionIcon_Room1000Tower	62207	62207	22	62208	2	7	3	22	
62208	协助密室8	协助通关密室300次	ui://Library/Image_FunctionIcon_Room1000Tower	62208	62208	22	62209	3	8	3	22	
62209	协助密室9	协助通关密室600次	ui://Library/Image_FunctionIcon_Room1000Tower	62209	62209	22	62210	4	9	3	22	
62210	协助密室10	协助通关密室750次	ui://Library/Image_FunctionIcon_Room1000Tower	62210	62210	22	0	5	10	3	22	
												
62301	广纳贤才1	拥有1个武将	ui://Library/Image_FunctionIcon_General_ReLife	62301	62301	23	62302	1	1	1	23	
62302	广纳贤才2	拥有3个武将	ui://Library/Image_FunctionIcon_General_ReLife	62302	62302	23	62303	2	2	1	23	
62303	广纳贤才3	拥有5个武将	ui://Library/Image_FunctionIcon_General_ReLife	62303	62303	23	62304	3	3	1	23	
62304	广纳贤才4	拥有10个武将	ui://Library/Image_FunctionIcon_General_ReLife	62304	62304	23	62305	4	4	2	23	
62305	广纳贤才5	拥有15个武将	ui://Library/Image_FunctionIcon_General_ReLife	62305	62305	23	62306	5	5	2	23	
62306	广纳贤才6	拥有20个武将	ui://Library/Image_FunctionIcon_General_ReLife	62306	62306	23	62307	1	6	2	23	
62307	广纳贤才7	拥有25个武将	ui://Library/Image_FunctionIcon_General_ReLife	62307	62307	23	62308	2	7	3	23	
62308	广纳贤才8	拥有30个武将	ui://Library/Image_FunctionIcon_General_ReLife	62308	62308	23	62309	3	8	3	23	
62309	广纳贤才9	拥有35个武将	ui://Library/Image_FunctionIcon_General_ReLife	62309	62309	23	62310	4	9	3	23	
62310	广纳贤才10	拥有40个武将	ui://Library/Image_FunctionIcon_General_ReLife	62310	62310	23	0	5	10	3	23	
												
62401	战力提升1	战斗力达到1万	ui://Library/Image_FunctionIcon_100battle	62401	62401	24	62402	1	1	1	24	
62402	战力提升2	战斗力达到3万	ui://Library/Image_FunctionIcon_100battle	62402	62402	24	62403	2	2	1	24	
62403	战力提升3	战斗力达到5万	ui://Library/Image_FunctionIcon_100battle	62403	62403	24	62404	3	3	1	24	
62404	战力提升4	战斗力达到10万	ui://Library/Image_FunctionIcon_100battle	62404	62404	24	62405	4	4	2	24	
62405	战力提升5	战斗力达到20万	ui://Library/Image_FunctionIcon_100battle	62405	62405	24	62406	5	5	2	24	
62406	战力提升6	战斗力达到30万	ui://Library/Image_FunctionIcon_100battle	62406	62406	24	62407	1	6	2	24	
62407	战力提升7	战斗力达到50万	ui://Library/Image_FunctionIcon_100battle	62407	62407	24	62408	2	7	3	24	
62408	战力提升8	战斗力达到100万	ui://Library/Image_FunctionIcon_100battle	62408	62408	24	62409	3	8	3	24	
62409	战力提升9	战斗力达到500万	ui://Library/Image_FunctionIcon_100battle	62409	62409	24	62410	4	9	3	24	
62410	战力提升10	战斗力达到1000万	ui://Library/Image_FunctionIcon_100battle	62410	62410	24	0	5	10	3	24	
												
62501	守军悍将1	防守消灭士兵1000	ui://Library/Image_FunctionIcon_General_Soul	62501	62501	25	62502	1	1	1	25	
62502	守军悍将2	防守消灭士兵5000	ui://Library/Image_FunctionIcon_General_Soul	62502	62502	25	62503	2	2	1	25	
62503	守军悍将3	防守消灭士兵1万	ui://Library/Image_FunctionIcon_General_Soul	62503	62503	25	62504	3	3	1	25	
62504	守军悍将4	防守消灭士兵5万	ui://Library/Image_FunctionIcon_General_Soul	62504	62504	25	62505	4	4	2	25	
62505	守军悍将5	防守消灭士兵10万	ui://Library/Image_FunctionIcon_General_Soul	62505	62505	25	62506	5	5	2	25	
62506	守军悍将6	防守消灭士兵50万	ui://Library/Image_FunctionIcon_General_Soul	62506	62506	25	62507	1	6	2	25	
62507	守军悍将7	防守消灭士兵100万	ui://Library/Image_FunctionIcon_General_Soul	62507	62507	25	62508	2	7	3	25	
62508	守军悍将8	防守消灭士兵500万	ui://Library/Image_FunctionIcon_General_Soul	62508	62508	25	62509	3	8	3	25	
62509	守军悍将9	防守消灭士兵1000万	ui://Library/Image_FunctionIcon_General_Soul	62509	62509	25	62510	4	9	3	25	
62510	守军悍将10	防守消灭士兵5000万	ui://Library/Image_FunctionIcon_General_Soul	62510	62510	25	0	5	10	3	25	
												
62601	群雄会武1	群雄会武达到350分	ui://Library/Image_FunctionIcon_Goal	62601	62601	26	62602	1	1	1	26	
62602	群雄会武2	群雄会武达到400分	ui://Library/Image_FunctionIcon_Goal	62602	62602	26	62603	2	2	1	26	
62603	群雄会武3	群雄会武达到500分	ui://Library/Image_FunctionIcon_Goal	62603	62603	26	62604	3	3	1	26	
62604	群雄会武4	群雄会武达到700分	ui://Library/Image_FunctionIcon_Goal	62604	62604	26	62605	4	4	2	26	
62605	群雄会武5	群雄会武达到900分	ui://Library/Image_FunctionIcon_Goal	62605	62605	26	62606	5	5	2	26	
62606	群雄会武6	群雄会武达到1200分	ui://Library/Image_FunctionIcon_Goal	62606	62606	26	62607	1	6	2	26	
62607	群雄会武7	群雄会武达到2000分	ui://Library/Image_FunctionIcon_Goal	62607	62607	26	62608	2	7	3	26	
62608	群雄会武8	群雄会武达到3000分	ui://Library/Image_FunctionIcon_Goal	62608	62608	26	62609	3	8	3	26	
62609	群雄会武9	群雄会武达到4000分	ui://Library/Image_FunctionIcon_Goal	62609	62609	26	62610	4	9	3	26	
62610	群雄会武10	群雄会武达到5000分	ui://Library/Image_FunctionIcon_Goal	62610	62610	26	0	5	10	3	26	
												
62701	武将升星1	将1个武将提升至2星	ui://Library/Image_FunctionIcon_Goal	62701	62601	27	62702	1	1	1	27	
62702	武将升星2	将2个武将提升至2星	ui://Library/Image_FunctionIcon_Goal	62702	62602	27	62703	2	2	1	27	
62703	武将升星3	将3个武将提升至2星	ui://Library/Image_FunctionIcon_Goal	62703	62603	27	62704	3	3	1	27	
62704	武将升星4	将4个武将提升至3星	ui://Library/Image_FunctionIcon_Goal	62704	62604	27	62705	4	4	2	27	
62705	武将升星5	将5个武将提升至3星	ui://Library/Image_FunctionIcon_Goal	62705	62605	27	62706	5	5	2	27	
62706	武将升星6	将6个武将提升至3星	ui://Library/Image_FunctionIcon_Goal	62706	62606	27	62707	1	6	2	27	
62707	武将升星7	将7个武将提升至4星	ui://Library/Image_FunctionIcon_Goal	62707	62607	27	62708	2	7	3	27	
62708	武将升星8	将8个武将提升至4星	ui://Library/Image_FunctionIcon_Goal	62708	62608	27	62709	3	8	3	27	
62709	武将升星9	将9个武将提升至5星	ui://Library/Image_FunctionIcon_Goal	62709	62609	27	62710	4	9	3	27	
62710	武将升星10	将10个武将提升至5星	ui://Library/Image_FunctionIcon_Goal	62710	62610	27	0	5	10	3	27	
