Id	任务类型	任务参数			完成时更新进度		说明		
62310	TASK_TARGET_CAPTAIN_COUNT	40					拥有40个名士。		
									
62401	TASK_TARGET_TEAM_POWER	10000					战斗力达到1万。		
62402	TASK_TARGET_TEAM_POWER	30000					战斗力达到3万。		
62403	TASK_TARGET_TEAM_POWER	50000					战斗力达到5万。		
62404	TASK_TARGET_TEAM_POWER	100000					战斗力达到10万。		
62405	TASK_TARGET_TEAM_POWER	200000					战斗力达到20万。		
62406	TASK_TARGET_TEAM_POWER	300000					战斗力达到30万。		
62407	TASK_TARGET_TEAM_POWER	500000					战斗力达到50万。		
62408	TASK_TARGET_TEAM_POWER	1000000					战斗力达到100万。		
62409	TASK_TARGET_TEAM_POWER	5000000					战斗力达到500万。		
62410	TASK_TARGET_TEAM_POWER	10000000					战斗力达到1000万。		
									
62501	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	1000					防守消灭敌方士兵1000。		
62502	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	5000					防守消灭敌方士兵5000。		
62503	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	10000					防守消灭敌方士兵10000。		
62504	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	50000					防守消灭敌方士兵50000。		
62505	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	100000					防守消灭敌方士兵100000。		
62506	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	500000					防守消灭敌方士兵500000。		
62507	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	1000000					防守消灭敌方士兵1000000。		
62508	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	5000000					防守消灭敌方士兵5000000。		
62509	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	10000000					防守消灭敌方士兵10000000。		
62510	TASK_TARGET_ACCUM_DEFENSE_KILL_SOLDIER	50000000					防守消灭敌方士兵50000000。		
									
62601	TASK_TARGET_XUANYUAN_SCORE	350					轩辕会武达到350分。		
62602	TASK_TARGET_XUANYUAN_SCORE	400					轩辕会武达到400分。		
62603	TASK_TARGET_XUANYUAN_SCORE	500					轩辕会武达到500分。		
62604	TASK_TARGET_XUANYUAN_SCORE	700					轩辕会武达到700分。		
62605	TASK_TARGET_XUANYUAN_SCORE	900					轩辕会武达到900分。		
62606	TASK_TARGET_XUANYUAN_SCORE	1200					轩辕会武达到1200分。		
62607	TASK_TARGET_XUANYUAN_SCORE	2000					轩辕会武达到2000分。		
62608	TASK_TARGET_XUANYUAN_SCORE	3000					轩辕会武达到3000分。		
62609	TASK_TARGET_XUANYUAN_SCORE	4000					轩辕会武达到4000分。		
62610	TASK_TARGET_XUANYUAN_SCORE	5000					轩辕会武达到5000分。		
									
62701	TASK_TARGET_CAPTAIN_UPSTAR	1	2				将1个武将提升至2星		
62702	TASK_TARGET_CAPTAIN_UPSTAR	2	2				将2个武将提升至2星		
62703	TASK_TARGET_CAPTAIN_UPSTAR	3	2				将3个武将提升至2星		
62704	TASK_TARGET_CAPTAIN_UPSTAR	4	3				将4个武将提升至3星		
62705	TASK_TARGET_CAPTAIN_UPSTAR	5	3				将5个武将提升至3星		
62706	TASK_TARGET_CAPTAIN_UPSTAR	6	3				将6个武将提升至3星		
62707	TASK_TARGET_CAPTAIN_UPSTAR	7	4				将7个武将提升至4星		
62708	TASK_TARGET_CAPTAIN_UPSTAR	8	4				将8个武将提升至4星		
62709	TASK_TARGET_CAPTAIN_UPSTAR	9	5				将9个武将提升至5星		
62710	TASK_TARGET_CAPTAIN_UPSTAR	10	5				将10个武将提升至5星		
									
70101	TASK_TARGET_BASE_LEVEL	3					主城达成3级		
70102	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10209					通关列传第2章		
70103	2	8					开启崛起第8篇		
70201	TASK_TARGET_BASE_LEVEL	4					主城达成4级		
70202	15	20					战胜千机楼20层		
70203	TASK_TARGET_DEFENSER_FIGHTING	15000					防守战力达到15000		
70301	TASK_TARGET_BASE_LEVEL	5					主城达成5级		
70302	TASK_TARGET_ROB_NPC_BAOWU	20					从殷墟获取20个宝物		
70303	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10409					通关列传第4章		
70401	TASK_TARGET_BASE_LEVEL	6					主城达成6级		
70402	TASK_TARGET_XUANYUAN_SCORE	450					群雄会武达到450分		
70403	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	1	5				战胜野外势力50级		
70501	TASK_TARGET_BASE_LEVEL	7					主城达成7级		
70502	TASK_TARGET_KILL_JUN_TUAN	30					战胜军团怪物30次		
70503	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10509					通关列传第5章		
70601	TASK_TARGET_BASE_LEVEL	8					主城达到8级		
70602	TASK_TARGET_ACCUM_MC_WAR_KILL_SOLDIER	1000000					名城战消灭敌军100万		
70603	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	1	8				战胜野外势力80级		
70701	TASK_TARGET_BASE_LEVEL	9							
70801	TASK_TARGET_BASE_LEVEL	10							
70901	TASK_TARGET_BASE_LEVEL	11							
71001	TASK_TARGET_BASE_LEVEL	12							
71101	TASK_TARGET_BASE_LEVEL	13							
71201	TASK_TARGET_BASE_LEVEL	14							
71301	TASK_TARGET_BASE_LEVEL	15							
71401	TASK_TARGET_TEAM_POWER	10000000							
									
80001	TASK_TARGET_UPGRADE_BUILDING_LEVEL	3				1	完成3次建筑升级		
80002	TASK_TARGET_UPGRADE_TECH_LEVEL	1				1	完成1次科技升级		
80003	TASK_TARGET_COLLECT_XIU_LIAN_EXP	1				1	在修炼馆领取1次修炼经验		
80004	32	2				1	完成2次装备锻造		
80005	TASK_TARGET_JIU_GUAN_CONSULT	3				1	在驿站进行3次请教		
80006	TASK_TARGET_FARM_HARVEST_TIMES	1				1	在农场收获1次资源		
80007	TASK_TARGET_ACCUM_FARM_STEAL	1				1	在其他玩家农场偷取1次资源		
80008	TASK_TARGET_ADD_CAPTAIN_SOLDIER	1				1	给武将补充1次兵力		
80009	TASK_TARGET_INVADE_MULTI_LEVEL_MONSTER	3				1	讨伐野外势力3次		
80010	TASK_TARGET_UNLOCK_BAOWU	2				1	开启宝藏2次		
80011	TASK_TARGET_BAOWU_SELL	1	1			1			
80012	TASK_TARGET_CHALLENGE_TOWER	1				1	挑战1次千重楼守卫		
80013	TASK_TARGET_ZHANJIANG_START_TIMES	1				1	开启1次过关斩将		
80014	TASK_TARGET_CHALLENGE_BAI_ZHAN	5				1	完成5次百战千军		
80015	TASK_TARGET_HELP_GUILD_MEMBER	3				1	帮助盟友加速3次		
80016	TASK_TARGET_GUILD_DONATE	3				1	联盟捐献3次		
80017	TASK_TARGET_BUY_GOODS	1	1			1	在贡献商店进行1次道具兑换		
80018	TASK_TARGET_TREASURY_TREE	1				1	照顾摇钱树1次		
80019	TASK_TARGET_STRATEGY_USE	1				1	使用君主策略1次		
80020	TASK_TARGET_WORKER_SPEED_UP	1				1	使用1次加速道具		
80021	TASK_TARGET_FISHING	2				1	完成2次钓鱼		
80022	TASK_TARGET_ACCUM_AUTO_DUNGEON	1				1	进行1次列传扫荡		
80023	TASK_TARGET_CHALLENGE_SECRET_TOWER	1				1	战胜1次重楼密室		
80024	TASK_TARGET_HELP_SECRET_TOWER	1				1	协助重楼密室1次		
80025	TASK_TARGET_SMELT_EQUIP	1				1	熔炼1次装备		
80026	TASK_TARGET_HEBI	3				1	完成3次天命合璧		
80027	TASK_TARGET_XUANYUAN_SCORE	1				1	挑战1次轩辕会武		
									
									
									
									
									
									
90101	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10209			1		通关名士列传第2章		
90102	TASK_TARGET_HISTORY_CHALLENGE_SECRET_TOWER	1	1				战胜20层密室		
90103	TASK_TARGET_HELP_GUILD_MEMBER	100					帮助盟友100次		
90104	TASK_TARGET_ACCUM_FARM_STEAL	5000					农场累积偷取5000资源		
90105	TASK_TARGET_COMPLETE_ZHENG_WU	5					完成君主任务5次		
90106	TASK_TARGET_ACCUM_BAI_ZHAN	5					参与百战千军5次		
90107	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1	1				1个武将官职封为校尉		
90108	TASK_TARGET_BASE_LEVEL	5					主城升至5级		
									
90201	TASK_TARGET_TOWER_FLOOR	30					战胜重楼30层		
90202	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	1	4				战胜野外势力40级		
90203	TASK_TARGET_ACCUM_GUILD_DONATE	10					联盟捐献10次		
90204	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	20					战胜野外势力20次		
90205	TASK_TARGET_ACCUM_AUTO_DUNGEON	25					扫荡名士列传25次		
90206	TASK_TARGET_UNLOCK_BAOWU	6					开启宝藏6次		
90207	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	10	1				10件装备强化至半星		
90208	TASK_TARGET_TECH_LEVEL	10005003					建筑术升至3级		
									
90301	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10509			1		通关名士列传第5章		
90302	TASK_TARGET_ZHANJIANG_GUANQIA_COMPLETE	103					战胜过关斩将第一章关卡3		
90303	TASK_TARGET_HELP_GUILD_MEMBER	300					帮助盟友300次		
90304	TASK_TARGET_ACCUM_COUNT_DOWN_PRIZE	45					领民进贡45次		
90305	TASK_TARGET_BUILD_EQUIP	60					铁匠铺锻造60件装备		
90306	TASK_TARGET_ACCUM_CONSULT	15					驿站请教名士15次		
90307	TASK_TARGET_SOLDIER_LEVEL	3					士兵升至3阶		
90308	TASK_TARGET_BASE_LEVEL	6					主城升至6级		
									
90401	TASK_TARGET_TOWER_FLOOR	40					战胜重楼40层		
90402	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	1	6				战胜野外势力50级		
90403	TASK_TARGET_ACCUM_GUILD_DONATE	25					联盟捐献25次		
90404	TASK_TARGET_ACCUM_FISHING	60					钓鱼60次		
90405	TASK_TARGET_ACCUM_BUY_GOODS	20	1				贡献商店兑换物品20次		
90406	TASK_TARGET_FARM_HARVEST	1000000					农场收获资源100万		
90407	TASK_TARGET_X_EQIUP_LEVEL_Y	5	25				5件装备升至25级		
90408	TASK_TARGET_TECH_LEVEL	10003010					统御术升至10级		
									
90501	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10609			1		通关名士列传第6章		
90502	TASK_TARGET_ZHANJIANG_GUANQIA_COMPLETE	104					战胜过关斩将第一章关卡4		
90503	TASK_TARGET_HELP_GUILD_MEMBER	500					帮助盟友500次		
90504	TASK_TARGET_ACCUM_FARM_STEAL	100000					农场累积偷取10万资源		
90505	TASK_TARGET_COMPLETE_ZHENG_WU	80					完成君主任务80次		
90506	TASK_TARGET_XUANYUAN_SCORE	350					轩辕会武达到350分		
90507	TASK_TARGET_CAPTAIN_ABILITY_EXP	1	16				1个名士升至2阶1星		
90508	TASK_TARGET_TECH_LEVEL	10005004					建筑术升至4级		
									
90601	TASK_TARGET_TOWER_FLOOR	45					战胜重楼45层		
90602	TASK_TARGET_HISTORY_CHALLENGE_SECRET_TOWER	1	2				战胜40层密室		
90603	TASK_TARGET_ACCUM_GUILD_DONATE	40					联盟捐献40次		
90604	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	65					战胜野外势力65次		
90605	TASK_TARGET_ACCUM_AUTO_DUNGEON	120					扫荡名士列传120次		
90606	TASK_TARGET_HEBI	10					天命合璧10次。		
90607	TASK_TARGET_CAPTAIN_ABILITY_EXP	5	18				1个武将成长值达到16		
90608	TASK_TARGET_TECH_LEVEL	10003011					统御术升至11级		
									
90701	TASK_TARGET_ZHANJIANG_GUANQIA_COMPLETE	105					战胜过关斩将第一章关卡5		
90702	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10709			1		通关名士列传第7章		
90703	TASK_TARGET_HELP_GUILD_MEMBER	700					帮助盟友700次		
90704	TASK_TARGET_ACCUM_COUNT_DOWN_PRIZE	100					领民进贡100次		
90705	TASK_TARGET_BUILD_EQUIP	150					铁匠铺锻造150件装备		
90706	TASK_TARGET_ACCUM_CONSULT	40					驿站请教名士40次		
90707	TASK_TARGET_X_EQIUP_QUALITY_Y	20	5				穿戴紫色装备20件		
90708	TASK_TARGET_BASE_LEVEL	7					主城升至7级		
									
90801	TASK_TARGET_TOWER_FLOOR	50					战胜重楼50层		
90802	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	1	7				战胜野外势力60级		
90803	TASK_TARGET_ACCUM_GUILD_DONATE	60					联盟捐献60次		
90804	TASK_TARGET_ACCUM_FISHING	120					钓鱼120次		
90805	TASK_TARGET_ACCUM_BUY_GOODS	50	1				贡献商店兑换物品50次		
90806	TASK_TARGET_FARM_HARVEST	3000000					农场累积收获资源300万		
90807	TASK_TARGET_X_EQIUP_REFINE_LEVEL_Y	5	3				5件装备强化至1星半		
90808	TASK_TARGET_BUILDING_LEVEL	23	guan_fu				官府等级升至23级		
									
									
101	TASK_TARGET_BAOWU_SELL	1	2			1	出售1个1级以上（大于等于2级）的宝物（活跃度任务测试）		
102	TASK_TARGET_BAOWU_SELL	2	3				出售2个2级以上（大于等于3级）的宝物（成就任务测试）		
103	TASK_TARGET_BAOWU_SELL	3	1				出售3个任意（大于等于1级）的宝物		
									
1001	1	5					主城提升至5级		主城提升至5级
1002	1	10					主城提升至10级		主城提升至10级
1003	1	15					主城提升至15级		主城提升至15级
1004	1	20					主城提升至20级		主城提升至20级
1005	1	25					主城提升至25级		主城提升至25级
1006	1	30					主城提升至30级		主城提升至30级
1007	1	35					主城提升至35级		主城提升至35级
1008	1	40					主城提升至40级		主城提升至40级
1009	1	45					主城提升至45级		主城提升至45级
1010	1	50					主城提升至50级		主城提升至50级
									
1101	TASK_TARGET_HERO_LEVEL	10					君主等级提升至10级		君主等级提升至10级
1102	TASK_TARGET_HERO_LEVEL	20					君主等级提升至20级		君主等级提升至20级
1103	TASK_TARGET_HERO_LEVEL	30					君主等级提升至30级		君主等级提升至30级
1104	TASK_TARGET_HERO_LEVEL	40					君主等级提升至40级		君主等级提升至40级
1105	TASK_TARGET_HERO_LEVEL	50					君主等级提升至50级		君主等级提升至50级
1106	TASK_TARGET_HERO_LEVEL	60					君主等级提升至60级		君主等级提升至60级
1107	TASK_TARGET_HERO_LEVEL	70					君主等级提升至70级		君主等级提升至70级
1108	TASK_TARGET_HERO_LEVEL	80					君主等级提升至80级		君主等级提升至80级
1109	TASK_TARGET_HERO_LEVEL	90					君主等级提升至90级		君主等级提升至90级
1110	TASK_TARGET_HERO_LEVEL	100					君主等级提升至100级		君主等级提升至100级
									
									
1201	15	5					千机楼挑战层数提升至5层		千机楼挑战层数提升至5层
1202	15	10					千机楼挑战层数提升至10层		千机楼挑战层数提升至10层
1203	15	15					千机楼挑战层数提升至15层		千机楼挑战层数提升至15层
1204	15	20					千机楼挑战层数提升至20层		千机楼挑战层数提升至20层
1205	15	25					千机楼挑战层数提升至25层		千机楼挑战层数提升至25层
1206	15	30					千机楼挑战层数提升至30层		千机楼挑战层数提升至30层
1207	15	35					千机楼挑战层数提升至35层		千机楼挑战层数提升至35层
1208	15	40					千机楼挑战层数提升至40层		千机楼挑战层数提升至40层
1209	15	45					千机楼挑战层数提升至45层		千机楼挑战层数提升至45层
1210	15	50					千机楼挑战层数提升至50层		千机楼挑战层数提升至50层
							千机楼挑战层数提升至层		千机楼挑战层数提升至层
