id		掉落，可以不配置，不配置就是用后面的奖励	奖励，必需配置，前面配置了plunder，那么这里就是展示奖励	联盟奖励组，只要配了就会给
12410601			12410601	
12410602			12410602	
12410603			12410603	
12410604			12410604	
12410605			12410605	
12410606			12410606	
12410607			12410607	
12410608			12410608	
12410609			12410609	
12410610			12410610	
12410611			12410611	
12410612			12410612	
12410613			12410613	
12410614			12410614	
12410615			12410615	
				
11606001	vip商城		11606001	
11606003			11606003	
11606005			11606005	
11606007			11606007	
11606009			11606009	
11606011			11606011	
11606013			11606013	
11606015			11606015	
11606017			11606017	
11606019			11606019	
11606021			11606021	
11606023			11606023	
11606025			11606025	
11606027			11606027	
11606029			11606029	
11606031			11606031	
11606033			11606033	
11606035			11606035	
11606037			11606037	
11606039			11606039	
11606041			11606041	
11606043			11606043	
11606045			11606045	
11606047			11606047	
11606049			11606049	
				
52401		52401	52401	
