id	sm	金	粮食	木材	石料	金（安全）	粮食	木材	石料	君主经验	元宝	银两	玉璧	玉石矿	繁荣度	vip经验(前端展示用)	物品配置	物品id	物品个数	物品id	物品个数	物品id	物品个数	物品id	物品个数											装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数		武将经验显示		将魂id，配置 captain_soul.txt中的id	奖励的将魂数量	将魂id，配置 captain_soul.txt中的id	奖励的将魂数量		宝石id	宝石数量	宝石id	宝石数量	宝石id	宝石数量				宝物id	宝物数量		展示排序，关联展示排序.txt的id	点券	联盟贡献		联盟条件奖励		体力
11504102																		10009	1																																																									
11504103																		10009	2																																																									
11504104																		10009	1																																																									
11504105																		10009	1																																																									
11504106																		10009	2																																																									
11504107																		10009	1																																																									
11504108																		10009	1																																																									
11504109																		10009	2																																																									
11505101																		10009	2																																																									
11505102																		10009	2																																																									
11505103																		10009	3																																																									
11505104																		10009	2																																																									
11505105																		10009	2																																																									
11505106																		10009	3																																																									
11505107																		10009	2																																																									
11505108																		10009	2																																																									
11505109																		10009	3																																																									
11506101																		10009	2																																																									
11506102																		10009	2																																																									
11506103																		10009	3																																																									
11506104																		10009	2																																																									
11506105																		10009	2																																																									
11506106																		10009	3																																																									
11506107																		10009	2																																																									
11506108																		10009	2																																																									
11506109																		10009	3																																																									
11507101																		10009	2																																																									
11507102																		10009	2																																																									
11507103																		10009	3																																																									
11507104																		10009	2																																																									
11507105																		10009	2																																																									
11507106																		10009	3																																																									
11507107																		10009	2																																																									
11507108																		10009	2																																																									
11507109																		10009	3																																																									
11508101																		10009	2																																																									
11508102																		10009	2																																																									
11508103																		10009	3																																																									
11508104																		10009	2																																																									
11508105																		10009	2																																																									
11508106																		10009	3																																																									
11508107																		10009	2																																																									
11508108																		10009	2																																																									
11508109																		10009	3																																																									
11509101																		10009	3																																																									
11509102																		10009	3																																																									
11509103																		10010	1																																																									
11509104																		10009	3																																																									
11509105																		10009	3																																																									
11509106																		10010	1																																																									
11509107																		10009	3																																																									
11509108																		10009	3																																																									
11509109																		10010	1																																																									
11510101																		10009	3																																																									
11510102																		10009	3																																																									
11510103																		10010	1																																																									
11510104																		10009	3																																																									
11510105																		10009	3																																																									
11510106																		10010	1																																																									
11510107																		10009	3																																																									
11510108																		10009	3																																																									
11510109																		10010	1																																																									
																																																																												
11501001	幻境展示																	20001	1																																100																			1						
11501002																		20001	1																																100																			1						
11501003																		20001	1																																100																			1						
11501004																		20001	1																																100																			1						
11501005																		20001	1																																100																			1						
11501006																		20001	1																																100																			1						
11501007																		20001	1																																100																			1						
11501008																		20001	1																																100																			1						
11501009																		20001	1																																100																			1						
11502001																		20001	2																																120																			1						
11502002																		20001	2																																120																			1						
11502003																		20001	2																																120																			1						
11502004																		20001	2																																120																			1						
11502005																		20001	2																																120																			1						
11502006																		20001	2																																120																			1						
11502007																		20001	2																																120																			1						
11502008																		20001	2																																120																			1						
11502009																		20001	2																																120																			1						
11503001																		20001	3																																140																			1						
11503002																		20001	3																																140																			1						
11503003																		20001	3																																140																			1						
11503004																		20001	3																																140																			1						
11503005																		20001	3																																140																			1						
11503006																		20001	3																																140																			1						
11503007																		20001	3																																140																			1						
11503008																		20001	3																																140																			1						
11503009																		20001	3																																140																			1						
11504001																		20001	4																																160																			1						
11504002																		20001	4																																160																			1						
11504003																		20001	4																																160																			1						
11504004																		20001	4																																160																			1						
11504005																		20001	4																																160																			1						
11504006																		20001	4																																160																			1						
11504007																		20001	4																																160																			1						
11504008																		20001	4																																160																			1						
11504009																		20001	4																																160																			1						
11505001																		20001	5																																180																			1						
11505002																		20001	5																																180																			1						
11505003																		20001	5																																180																			1						
11505004																		20001	5																																180																			1						
11505005																		20001	5																																180																			1						
11505006																		20001	5																																180																			1						
11505007																		20001	5																																180																			1						
11505008																		20001	5																																180																			1						
11505009																		20001	5																																180																			1						
11506001																		20001	6																																200																			1						
11506002																		20001	6																																200																			1						
11506003																		20001	6																																200																			1						
11506004																		20001	6																																200																			1						
11506005																		20001	6																																200																			1						
11506006																		20001	6																																200																			1						
11506007																		20001	6																																200																			1						
11506008																		20001	6																																200																			1						
11506009																		20001	6																																200																			1						
11507001																		20001	7																																220																			1						
11507002																		20001	7																																220																			1						
11507003																		20001	7																																220																			1						
11507004																		20001	7																																220																			1						
11507005																		20001	7																																220																			1						
11507006																		20001	7																																220																			1						
11507007																		20001	7																																220																			1						
11507008																		20001	7																																220																			1						
11507009																		20001	7																																220																			1						
11508001																		20001	8																																240																			1						
11508002																		20001	8																																240																			1						
11508003																		20001	8																																240																			1						
11508004																		20001	8																																240																			1						
11508005																		20001	8																																240																			1						
11508006																		20001	8																																240																			1						
11508007																		20001	8																																240																			1						
11508008																		20001	8																																240																			1						
11508009																		20001	8																																240																			1						
11509001																		20001	9																																260																			1						
11509002																		20001	9																																260																			1						
11509003																		20001	9																																260																			1						
11509004																		20001	9																																260																			1						
11509005																		20001	9																																260																			1						
11509006																		20001	9																																260																			1						
11509007																		20001	9																																260																			1						
11509008																		20001	9																																260																			1						
11509009																		20001	9																																260																			1						
11510001																		20001	10																																280																			1						
11510002																		20001	10																																280																			1						
11510003																		20001	10																																280																			1						
11510004																		20001	10																																280																			1						
11510005																		20001	10																																280																			1						
11510006																		20001	10																																280																			1						
11510007																		20001	10																																280																			1						
11510008																		20001	10																																280																			1						
11510009																		20001	10																																280																			1						
																																																																												
11501100																		20003	10																																																			1	20					
11501200																		61001	6																																																			1	50					
11502100																		20003	13																																																			1	20					
11502200																		80020	1																																																			1	30					
11502300																		61017	4																																																			1	50					
11503100																		20004	5																																																			1	20					
11503200																		80020	1																																																			1	30					
11503300																		61018	4																																																			1	50					
11504100																		10010	2																																																			1	20					
11504200																		20004	5																																																			1	30					
11504300																		80020	1																																																			1	50					
11505100																		10010	2																																																			1	20					
11505200																		20004	5																																																			1	30					
11505300																		80020	1																																																			1	50					
11506100																		10010	2																																																			1	20					
11506200																		20004	5																																																			1	30					
11506300																		80020	1																																																			1	50					
11507100																		10010	2																																																			1	20					
11507200																		20004	5																																																			1	30					
11507300																		80020	1																																																			1	50					
11508100																		10010	2																																																			1	20					
11508200																		20004	5																																																			1	30					
11508300																		80020	1																																																			1	50					
11509100																		10010	2																																																			1	20					
11509200																		20004	5																																																			1	30					
11509300																		80020	1																																																			1	50					
11510100																		10010	2																																																			1	20					
11510200																		20004	5																																																			1	30					
11510300																		80020	1																																																			1	50					
																																																																												
13501001	精英展示																	20001	6																																200																									
13501002																		20001	6	61022	1																														200																									
13501003																		20001	6																																200																									
13501004																		20001	6																																200																									
13501005																		20001	6																																200																									
13501006																		20001	6	61001	1																														200																									
13501007																		20001	6																																200																									
13501008																		20001	6																																200																									
13501009																		20001	6																																200																									
13502001																		20001	8																																240																									
13502002																		20001	8																																240																									
13502003																		20001	8	61039	1																														240																									
13502004																		20001	8																																240																									
13502005																		20001	8																																240																									
13502006																		20001	8	61040	1																														240																									
13502007																		20001	8																																240																									
13502008																		20001	8																																240																									
13502009																		20001	8	61017	1																														240																									
13503001																		20001	10																																280																									
13503002																		20001	10																																280																									
13503003																		20001	10	61015	1																														280																									
13503004																		20001	10																																280																									
13503005																		20001	10																																280																									
13503006																		20001	10	61037	1																														280																									
13503007																		20001	10																																280																									
13503008																		20001	10																																280																									
13503009																		20001	10	61018	1																														280																									
13504001																		20001	12																																320																									
13504002																		20001	12																																320																									
13504003																		20001	12	61004	1																														320																									
13504004																		20001	12																																320																									
13504005																		20001	12																																320																									
13504006																		20001	12	61013	1																														320																									
13504007																		20001	12																																320																									
13504008																		20001	12																																320																									
13504009																		20001	12	61026	1																														320																									
13505001																		20001	14																																360																									
13505002																		20001	14																																360																									
13505003																		20001	14	61012	1																														360																									
13505004																		20001	14																																360																									
13505005																		20001	14																																360																									
13505006																		20001	14	61006	1																														360																									
13505007																		20001	14																																360																									
13505008																		20001	14																																360																									
13505009																		20001	14	61016	1																														360																									
13506001																		20001	16																																400																									
13506002																		20001	16																																400																									
13506003																		20001	16	61024	1																														400																									
13506004																		20001	16																																400																									
13506005																		20001	16																																400																									
13506006																		20001	16	61008	1																														400																									
13506007																		20001	16																																400																									
13506008																		20001	16																																400																									
13506009																		20001	16	61002	1																														400																									
13507001																		20001	18																																440																									
13507002																		20001	18																																440																									
13507003																		20001	18	61004	1																														440																									
13507004																		20001	18																																440																									
13507005																		20001	18																																440																									
13507006																		20001	18	61026	1																														440																									
13507007																		20001	18																																440																									
13507008																		20001	18																																440																									
13507009																		20001	18	61019	1																														440																									
13508001																		20001	20																																480																									
13508002																		20001	20																																480																									
13508003																		20001	20	61013	1																														480																									
13508004																		20001	20																																480																									
13508005																		20001	20																																480																									
13508006																		20001	20	61018	1																														480																									
13508007																		20001	20																																480																									
13508008																		20001	20																																480																									
13508009																		20001	20	61035	1																														480																									
13509001																		20001	22																																520																									
13509002																		20001	22																																520																									
13509003																		20001	22	61018	1																														520																									
13509004																		20001	22																																520																									
13509005																		20001	22																																520																									
13509006																		20001	22	61006	1																														520																									
13509007																		20001	22																																520																									
13509008																		20001	22																																520																									
13509009																		20001	22	61036	1																														520																									
13510001																		20001	24																																560																									
13510002																		20001	24																																560																									
13510003																		20001	24	61024	1																														560																									
13510004																		20001	24																																560																									
13510005																		20001	24																																560																									
13510006																		20001	24	61008	1																														560																									
13510007																		20001	24																																560																									
13510008																		20001	24																																560																									
13510009																		20001	24	61027	1																														560																									
																																																																												
13501100																		20004	3																																																			1	30					
13501200																		80020	2																																																			1	70					
13502100																		10010	2																																																			1	30					
13502200																		20004	4																																																			1	50					
13502300																		80020	2																																																			1	70					
13503100																		10010	2																																																			1	30					
13503200																		20004	5																																																			1	50					
13503300																		80020	2																																																			1	70					
13504100																		10010	2																																																			1	30					
13504200																		20004	5																																																			1	50					
13504300																		80020	2																																																			1	70					
13505100																		10010	2																																																			1	30					
13505200																		20004	5																																																			1	50					
13505300																		80020	2																																																			1	70					
13506100																		10010	2																																																			1	30					
13506200																		20004	5																																																			1	50					
13506300																		80020	2																																																			1	70					
13507100																		10010	2																																																			1	30					
13507200																		20004	5																																																			1	50					
13507300																		80020	2																																																			1	70					
13508100																		10010	2																																																			1	30					
13508200																		20004	5																																																			1	50					
13508300																		80020	2																																																			1	70					
13509100																		10010	2																																																			1	30					
13509200																		20004	5																																																			1	50					
13509300																		80020	2																																																			1	70					
13510100																		10010	2																																																			1	30					
13510200																		20004	5																																																			1	50					
13510300																		80020	2																																																			1	70					
																																																																												
11800001	暴民奖励	2500			2500	2500			2500																																																													1						
11800002		5000			5000	5000			5000																																																													1						
11800003		10000			10000	10000			10000																																																													1						
																																																																												
																																																																												
11905001	重复将魂																	20002	4																																																			1						
11905002																		20003	3																																																			1						
11905003																		20004	3																																																			1						
																																																																												
10205501	星神																																			10205501	1																																	1						
10205502																																				10205502	1																																	1						
10205503																																				10205503	1																																	1						
10205504																																				10205504	1																																	1						
10205505																																				10205505	1																																	1						
10205506																																				10205506	1																																	1						
10205507																																				10205507	1																																	1						
																																																																												
11701001	讨伐野怪胜利展示																	10009	1																																																			1						
11701002																		50102	1																																																			1						
11701003																		50103	1																																																			1						
11701004																		50103	1																																																			1						
11701005																		50103	1																																																			1						
11701006																		50103	1																																																			1						
11701007																		50103	1																																																			1						
11701008																		80030	1																																																			1						
11701009																		80030	1																																																			1						
11701010																		80040	1																																																			1						
11701011																		80046	1																																																			1						
11701012																		80046	1																																																			1						
11702001		5000																																																																				1						
11702002																		50102	1																																																			1						
11702003																		50103	1																																																			1						
11702004																		50103	1																																																			1						
11702005																		50103	1																																																			1						
11702006																		50103	1																																																			1						
11702007																		50103	1																																																			1						
11702008																		80030	1																																																			1						
11702009																		80030	1																																																			1						
11702010																		80040	1																																																			1						
11702011																		80046	1																																																			1						
11702012																		80046	1																																																			1						
11703001					5000																																																																	1						
11703002																		50102	1																																																			1						
11703003																		50103	1																																																			1						
11703004																		50103	1																																																			1						
11703005																		50103	1																																																			1						
11703006																		50103	1																																																			1						
11703007																		50103	1																																																			1						
11703008																		80030	1																																																			1						
11703009																		80030	1																																																			1						
11703010																		80040	1																																																			1						
11703011																		80046	1																																																			1						
11703012																		80046	1																																																			1						
11704001																		40001	5																																																			1						
11704002																		50102	1																																																			1						
11704003																		50103	1																																																			1						
11704004																		50103	1																																																			1						
11704005																		50103	1																																																			1						
11704006																		50103	1																																																			1						
11704007																		50103	1																																																			1						
11704008																		80030	1																																																			1						
11704009																		80030	1																																																			1						
11704010																		80040	1																																																			1						
11704011																		80046	1																																																			1						
11704012																		80046	1																																																			1						
																																																																												
11701101	讨伐野怪持续奖励																	10009	1																																																			1						
11701102																		10009	2																																																			1						
11701103																		10009	3																																																			1						
11701104																		10009	4																																																			1						
11701105																		10009	6																																																			1						
11701106																		10009	8																																																			1						
11701107																		10009	10																																																			1						
11701108																		10010	1																																																			1						
11701109																		10010	1	10009	2																																																	1						
11701110																		10010	1	10009	4																																																	1						
11701111																		10010	1	10009	6																																																	1						
11701112																		10010	1	10009	8																																																	1						
11702101		2500				2500																																																																1						
11702102		5000				5000																																																																1						
11702103		7500				7500																																																																1						
11702104		12500				12500																																																																1						
11702105		20000				20000																																																																1						
11702106		30000				30000																																																																1						
11702107		50000				50000																																																																1						
11702108		75000				75000																																																																1						
11702109		100000				100000																																																																1						
11702110		125000				125000																																																																1						
11702111		150000				150000																																																																1						
11702112		175000				175000																																																																1						
11703101					2500				2500																																																													1						
11703102					5000				5000																																																													1						
11703103					7500				7500																																																													1						
11703104					12500				12500																																																													1						
11703105					20000				20000																																																													1						
11703106					30000				30000																																																													1						
11703107					50000				50000																																																													1						
11703108					75000				75000																																																													1						
11703109					100000				100000																																																													1						
11703110					125000				125000																																																													1						
11703111					150000				150000																																																													1						
11703112					175000				175000																																																													1						
11704101																		40001	5																																																			1						
11704102																		40001	15																																																			1						
11704103																		40001	30																																																			1						
11704104																		40001	50																																																			1						
11704105																		40001	70																																																			1						
11704106																		40001	100																																																			1						
11704107																		40001	150																																																			1						
11704108																		40001	200																																																			1						
11704109																		40001	300																																																			1						
11704110																		40001	400																																																			1						
11704111																		40001	600																																																			1						
11704112																		40001	800																																																			1						
																																																																												
																																																																												
12001000	百战																																																																					1	50					
12002000																																																																						1	100					
12003000																																																																						1	150					
12004000																		61028	1																																																			1	250					
12005000																		61028	1																																																			1	350					
12006000																		61028	2																																																			1	450					
12007000																		61028	2																																																			1	600					
12008000																		61028	3																																																			1	800					
																																																																												
12001001	废弃																																																																					1						
12001002																																																																						1						
12001003																																																																						1						
12002001																																																																						1						
12002002																																																																						1						
12002003																																																																						1						
12003001																																																																						1						
12003002																																																																						1						
12003003																																																																						1						
12004001																																																																						1						
12004002																																																																						1						
12004003																																																																						1						
12005001																																																																						1						
12005002																																																																						1						
12005003																																																																						1						
12006001																																																																						1						
12006002																																																																						1						
12006003																																																																						1						
12007001																																																																						1						
12007002																																																																						1						
12007003																																																																						1						
12008001																																																																						1						
12008002																																																																						1						
12008003																																																																						1						
																																																																												
																																																																												
																																																																												
11201001	君主政务	250				250				10																																																												1						
11201002					250				250	10																																																												1						
11201003		250				250				10																																																												1						
11201004					250				250	10																																																												1						
11201005		250				250				10																																																												1						
11201006					500				500	20																																																												1						
11201007		500				500				20																																																												1						
11201008					500				500	20																																																												1						
11201009		500				500				20																																																												1						
11201010					500				500	20																																																												1						
11201011		1000				1000				40																																																												1						
11201012					1000				1000	40																																																												1						
11201013		1000				1000				40																																																												1						
11201014					1000				1000	40																																																												1						
11201015		1000				1000				40																																																												1						
11201016					1500				1500	80																																																												1						
11201017		1500				1500				80																																																												1						
11201018					1500				1500	80																																																												1						
11201019		1500				1500				80																																																												1						
11201020					1500				1500	80																																																												1						
11201021		2500				2500				150																																																												1						
11201022					2500				2500	150																																																												1						
11201023		2500				2500				150																																																												1						
11201024					2500				2500	150																																																												1						
