怪物君主id	名字	icon，配置 icon.txt 中的id	1男0女	等级	武将id，关联monster/captain.txt的id						城墙属性，配置属性.txt 中的id，如果没有城墙，可以不配置	城墙固定伤害，如果没有城墙，可以不配置			怪物攻城奖励，奖励给攻城目标	怪物击杀奖励，奖励给击杀者																
10806001	帝都盟主	吴起	1	30	10501027	10502027	10503027	10504027	10505027																							
10806002	朝阳群众	平原君	1	30	10501028	10502028	10503028	10504028	10505028																							
10806003	老炮儿	鬼谷子	1	30	10501029	10502029	10503029	10504029	10505029																							
10806004	西城大妈	夏姬	0	30	10501030	10502030	10503030	10504030	10505030																							
10807001	四川盟主	张仪	1	30	10501032	10502032	10503032	10504032	10505032																							
10807002	川妹子	夏姬	0	30	10501033	10502033	10503033	10504033	10505033																							
10807003	耙耳朵	赵括	1	30	10501034	10502034	10503034	10504034	10505034																							
10807004	冒菜狂人	商鞅	1	30	10501035	10502035	10503035	10504035	10505035																							
10808001	安徽盟主	乐羊	1	30	10501032	10502032	10503032	10504032	10505032																							
10808002	肥西老徐	伍子胥	1	30	10501033	10502033	10503033	10504033	10505033																							
10808003	李毅大帝	吴起	1	30	10501034	10502034	10503034	10504034	10505034																							
10808004	淮南王	春申君	1	30	10501035	10502035	10503035	10504035	10505035																							
10809001	湖南盟主	田单	1	30	10501037	10502037	10503037	10504037	10505037																							
10809002	辣妹子	东施	0	30	10501038	10502038	10503038	10504038	10505038																							
10809003	恰同学少年	荆轲	1	30	10501039	10502039	10503039	10504039	10505039																							
10809004	臭豆腐摊主	商鞅	1	30	10501040	10502040	10503040	10504040	10505040																							
10810001	海外党大佬	韩非	1	30	10501037	10502037	10503037	10504037	10505037																							
10810002	米帝代表	王翦	1	30	10501038	10502038	10503038	10504038	10505038																							
10810003	腐国代表	田单	1	30	10501039	10502039	10503039	10504039	10505039																							
10810004	土澳代表	吴起	1	30	10501040	10502040	10503040	10504040	10505040																							
10811001	喵星人盟主	赵括	1	30	10501042	10502042	10503042	10504042	10505042																							
10811002	加菲喵	春申君	1	30	10501043	10502043	10503043	10504043	10505043																							
10811003	波斯喵	乐羊	1	30	10501044	10502044	10503044	10504044	10505044																							
10811004	暹罗喵	韩非	1	30	10501045	10502045	10503045	10504045	10505045																							
10812001	汪酱盟主	西门豹	1	30	10501042	10502042	10503042	10504042	10505042																							
10812002	萨摩耶	张仪	1	30	10501043	10502043	10503043	10504043	10505043																							
10812003	泰迪	田忌	1	30	10501044	10502044	10503044	10504044	10505044																							
10812004	哈士奇	伍子胥	1	30	10501045	10502045	10503045	10504045	10505045																							
10813001	夜游神	廉颇	1	30	10501046	10502046	10503046	10504046	10505046																							
10813002	熬夜党	吴起	1	30	10501047	10502047	10503047	10504047	10505047																							
10813003	看剧党	平原君	1	30	10501046	10502046	10503046	10504046	10505046																							
10813004	通宵党	西门豹	1	30	10501047	10502047	10503047	10504047	10505047																							
10814001	周天子	平原君	1	30	10501046	10502046	10503046	10504046	10505046																							
10814002	太师	吴起	1	30	10501047	10502047	10503047	10504047	10505047																							
10814003	司徒	张仪	1	30	10501046	10502046	10503046	10504046	10505046																							
10814004	卿大夫	商鞅	1	30	10501047	10502047	10503047	10504047	10505047																							
10815001	诸侯盟主	平原君	1	30	10501049	10502049	10503049	10504049	10505049																							
10815002	齐国国相	吴起	1	30	10501050	10502050	10503050	10504050	10505050																							
10815003	齐国上卿	张仪	1	30	10501049	10502049	10503049	10504049	10505049																							
10815004	齐国大夫	商鞅	1	30	10501050	10502050	10503050	10504050	10505050																							
10816001	诸侯盟主	平原君	1	30	10501049	10502049	10503049	10504049	10505049																							
10816002	楚国令尹	吴起	1	30	10501050	10502050	10503050	10504050	10505050																							
10816003	楚国柱国	张仪	1	30	10501049	10502049	10503049	10504049	10505049																							
10816004	楚国廷理	乐羊	1	30	10501050	10502050	10503050	10504050	10505050																							
10817001	诸侯盟主	平原君	1	30	10501052	10502052	10503052	10504052	10505052																							
10817002	燕国国相	吴起	1	30	10501053	10502053	10503053	10504053	10505053																							
10817003	燕国上卿	张仪	1	30	10501052	10502052	10503052	10504052	10505052																							
10817004	燕国大夫	商鞅	1	30	10501053	10502053	10503053	10504053	10505053																							
10818001	诸侯盟主	平原君	1	30	10501052	10502052	10503052	10504052	10505052																							
10818002	韩国国相	吴起	1	30	10501053	10502053	10503053	10504053	10505053																							
10818003	韩国上卿	张仪	1	30	10501052	10502052	10503052	10504052	10505052																							
10818004	韩国大夫	商鞅	1	30	10501053	10502053	10503053	10504053	10505053																							
10819001	诸侯盟主	吴起	1	30	10501055	10502055	10503055	10504055	10505055																							
10819002	赵国国相	张仪	1	30	10501056	10502056	10503056	10504056	10505056																							
10819003	赵国上卿	项燕	1	30	10501055	10502055	10503055	10504055	10505055																							
10819004	赵国大夫	西门豹	1	30	10501056	10502056	10503056	10504056	10505056																							
10820001	诸侯盟主	吴起	1	30	10501055	10502055	10503055	10504055	10505055																							
10820002	魏国国相	张仪	1	30	10501056	10502056	10503056	10504056	10505056																							
10820003	魏国上卿	项燕	1	30	10501055	10502055	10503055	10504055	10505055																							
10820004	魏国大夫	西门豹	1	30	10501056	10502056	10503056	10504056	10505056																							
10821001	诸侯盟主	吴起	1	30	10501058	10502058	10503058	10504058	10505058																							
10821002	秦国丞相	张仪	1	30	10501059	10502059	10503059	10504059	10505059																							
10821003	秦国公士	商鞅	1	30	10501058	10502058	10503058	10504058	10505058																							
10821004	秦国庶长	蒙恬	1	30	10501059	10502059	10503059	10504059	10505059																							
																																
12301110	乐羊	乐羊	1	10			12301113																									
12301120	魏击	junzhu1	1	11			12301123																									
12301130	西门豹	西门豹	1	12			12301133																									
12301140	魏成	junzhu5	1	13			12301143																									
12301150	李悝	junzhu6	1	14			12301153																									
12301160	翟璜	junzhu7	1	15			12301163																									
12301170	吴起	吴起	1	16			12301173																									
12301210	龙贾	junzhu3	1	17			12301213																									
12301220	惠施	junzhu11	1	18			12301223																									
12301230	公叔痤	junzhu12	1	19			12301233																									
12301240	魏申	junzhu13	1	20			12301243																									
12301250	魏昂	junzhu14	1	21			12301253																									
12301260	公孙衍	junzhu15	1	22			12301263																									
12301270	庞涓	庞涓	1	23			12301273																									
12301310	田盼	junzhu1	1	24			12301313																									
12301320	田横	junzhu2	1	25			12301323																									
12301330	匡章	junzhu3	1	26			12301333																									
12301340	淖齿 	junzhu4	1	27			12301343																									
12301350	田法章	junzhu5	1	28			12301353																									
12301360	田忌	田忌	1	29			12301363																									
12301370	田单	田单	1	30			12301373																									
12301410	骑劫	junzhu11	1	31			12301413																									
12301420	剧辛	junzhu12	1	32			12301423																									
12301430	粟腹	junzhu13	1	33			12301433																									
12301440	苏代	junzhu14	1	34			12301443																									
12301450	苏秦	苏秦	1	35			12301453																									
12301460	秦开	junzhu1	1	36			12301463																									
12301470	乐毅	乐毅	1	37			12301473																									
12301510	景舍	junzhu1	1	38			12301513																									
12301520	昭阳	junzhu2	1	39			12301523																									
12301530	逢侯丑	junzhu3	1	40			12301533																									
12301540	屈丐	junzhu4	1	41			12301543																									
12301550	李园	junzhu5	1	42			12301553																									
12301560	庄蹻	junzhu6	1	43			12301563																									
12301570	养由基	junzhu7	1	44			12301573																									
12302110	乌获	junzhu1	1	45			12302113																									
12302120	孟贲	junzhu2	1	46			12302123																									
12302130	鲜于	junzhu3	1	47			12302133																									
12302140	休屠王	junzhu4	1	48			12302143																									
12302150	右贤王	junzhu5	1	49			12302153																									
12302160	左贤王	junzhu6	1	50			12302163																									
12302170	冒顿	junzhu15	1	51			12302173																									
12302210	陈庄	junzhu11	1	52			12302213																									
12302220	张若	junzhu12	1	53			12302223																									
12302230	都尉墨	junzhu13	1	54			12302233																									
12302240	魏章	junzhu14	1	55			12302243																									
12302250	甘茂	junzhu15	1	56			12302253																									
12302260	张仪	张仪	1	57			12302263																									
12302270	司马错	junzhu1	1	58			12302273																									
12302310	赵胜	junzhu2	1	59			12302313																									
12302320	黄歇	junzhu3	1	60			12302323																									
12302330	项燕	项燕	1	61			12302333																									
12302340	田文	junzhu5	1	62			12302343																									
12302350	赵奢	赵奢	1	63			12302353																									
12302360	廉颇	廉颇	1	64			12302363																									
12302370	李牧	李牧	1	65			12302373																									
12302410	王离	junzhu12	1	66			12302413																									
12302420	李信	李信	1	67			12302423																									
12302430	蒙恬	蒙恬	1	68			12302433																									
12302440	蒙毅	junzhu14	1	69			12302443																									
12302450	蒙骜	junzhu15	1	70			12302453																									
12302460	王翦	王翦	1	71			12302463																									
12302470	白起	白起	1	72			12302473																									
12302510	赵光	junzhu1	1	73			12302513																									
12302520	屠睢	junzhu2	1	74			12302523																									
12302530	译吁宋	junzhu3	1	75			12302533																									
12302540	赵胡	junzhu4	1	76			12302543																									
12302550	仲始	junzhu5	1	77			12302553																									
12302560	任嚣	junzhu14	1	78			12302563																									
12302570	赵佗	junzhu15	1	79			12302573																									
																																
12401101	匈奴右翼先锋	junzhu11	1	20	124011011	124011012	124011013	124011014	124011015						12401101																	
12401102	匈奴右翼先锋	junzhu12	1	20	124011021	124011022	124011023	124011024	124011025						12401102																	
12401103	匈奴右翼先锋	junzhu15	1	20	124011031	124011032	124011033	124011034	124011035						12401103																	
12401104	匈奴右翼先锋	junzhu13	1	20	124011041	124011042	124011043	124011044	124011045						12401104																	
12401105	匈奴右翼先锋	junzhu12	1	20	124011051	124011052	124011053	124011054	124011055						12401105																	
12401106	匈奴右翼先锋	junzhu15	1	20	124011061	124011062	124011063	124011064	124011065						12401106																	
12401107	匈奴右翼副将	junzhu11	1	20	124011071	124011072	124011073	124011074	124011075						12401107																	
12401108	匈奴右翼副将	junzhu11	1	20	124011081	124011082	124011083	124011084	124011085						12401108																	
12401109	匈奴右翼副将	junzhu12	1	20	124011091	124011092	124011093	124011094	124011095						12401109																	
12401110	匈奴右翼大将	junzhu11	1	20	124011101	124011102	124011103	124011104	124011105						12401110																	
12401201	匈奴左翼先锋	junzhu11	1	20	124012011	124012012	124012013	124012014	124012015						12401201																	
12401202	匈奴左翼先锋	junzhu13	1	20	124012021	124012022	124012023	124012024	124012025						12401202																	
12401203	匈奴左翼先锋	junzhu13	1	20	124012031	124012032	124012033	124012034	124012035						12401203																	
12401204	匈奴左翼先锋	junzhu12	1	20	124012041	124012042	124012043	124012044	124012045						12401204																	
12401205	匈奴左翼先锋	junzhu12	1	20	124012051	124012052	124012053	124012054	124012055						12401205																	
12401206	匈奴左翼先锋	junzhu13	1	20	124012061	124012062	124012063	124012064	124012065						12401206																	
12401207	匈奴左翼副将	junzhu15	1	20	124012071	124012072	124012073	124012074	124012075						12401207																	
12401208	匈奴左翼副将	junzhu11	1	20	124012081	124012082	124012083	124012084	124012085						12401208																	
12401209	匈奴左翼副将	junzhu14	1	20	124012091	124012092	124012093	124012094	124012095						12401209																	
12401210	匈奴左翼大将	junzhu11	1	20	124012101	124012102	124012103	124012104	124012105						12401210																	
12401301	匈奴精英先锋	junzhu12	1	20	124013011	124013012	124013013	124013014	124013015						12401301																	
12401302	匈奴精英先锋	junzhu12	1	20	124013021	124013022	124013023	124013024	124013025						12401302																	
12401303	匈奴精英先锋	junzhu12	1	20	124013031	124013032	124013033	124013034	124013035						12401303																	
12401304	匈奴精英先锋	junzhu13	1	20	124013041	124013042	124013043	124013044	124013045						12401304																	
12401305	匈奴精英先锋	junzhu12	1	20	124013051	124013052	124013053	124013054	124013055						12401305																	
12401306	匈奴精英先锋	junzhu15	1	20	124013061	124013062	124013063	124013064	124013065						12401306																	
12401307	匈奴精英副将	junzhu15	1	20	124013071	124013072	124013073	124013074	124013075						12401307																	
12401308	匈奴精英副将	junzhu12	1	20	124013081	124013082	124013083	124013084	124013085						12401308																	
12401309	匈奴精英副将	junzhu11	1	20	124013091	124013092	124013093	124013094	124013095						12401309																	
12401310	匈奴精英大将	junzhu13	1	20	124013101	124013102	124013103	124013104	124013105						12401310																	
12401401	匈奴主力先锋	junzhu13	1	20	124014011	124014012	124014013	124014014	124014015						12401401																	
12401402	匈奴主力先锋	junzhu15	1	20	124014021	124014022	124014023	124014024	124014025						12401402																	
12401403	匈奴主力先锋	junzhu13	1	20	124014031	124014032	124014033	124014034	124014035						12401403																	
12401404	匈奴主力先锋	junzhu11	1	20	124014041	124014042	124014043	124014044	124014045						12401404																	
12401405	匈奴主力先锋	junzhu14	1	20	124014051	124014052	124014053	124014054	124014055						12401405																	
12401406	匈奴主力先锋	junzhu13	1	20	124014061	124014062	124014063	124014064	124014065						12401406																	
12401407	匈奴主力副将	junzhu15	1	20	124014071	124014072	124014073	124014074	124014075						12401407																	
12401408	匈奴主力副将	junzhu11	1	20	124014081	124014082	124014083	124014084	124014085						12401408																	
12401409	匈奴主力副将	junzhu11	1	20	124014091	124014092	124014093	124014094	124014095						12401409																	
12401410	匈奴主力大将	junzhu11	1	20	124014101	124014102	124014103	124014104	124014105						12401410																	
12401501	匈奴十夫长先锋	junzhu15	1	20	124015011	124015012	124015013	124015014	124015015						12401501																	
12401502	匈奴十夫长先锋	junzhu12	1	20	124015021	124015022	124015023	124015024	124015025						12401502																	
12401503	匈奴十夫长先锋	junzhu14	1	20	124015031	124015032	124015033	124015034	124015035						12401503																	
12401504	匈奴十夫长先锋	junzhu11	1	20	124015041	124015042	124015043	124015044	124015045						12401504																	
12401505	匈奴十夫长先锋	junzhu12	1	20	124015051	124015052	124015053	124015054	124015055						12401505																	
12401506	匈奴十夫长先锋	junzhu11	1	20	124015061	124015062	124015063	124015064	124015065						12401506																	
12401507	匈奴十夫长副将	junzhu15	1	20	124015071	124015072	124015073	124015074	124015075						12401507																	
12401508	匈奴十夫长副将	junzhu14	1	20	124015081	124015082	124015083	124015084	124015085						12401508																	
12401509	匈奴十夫长副将	junzhu14	1	20	124015091	124015092	124015093	124015094	124015095						12401509																	
12401510	匈奴十夫长大将	junzhu13	1	20	124015101	124015102	124015103	124015104	124015105						12401510																	
12402101	匈奴右翼先锋	junzhu14	1	25	124021011	124021012	124021013	124021014	124021015						12402101																	
12402102	匈奴右翼先锋	junzhu11	1	25	124021021	124021022	124021023	124021024	124021025						12402102																	
12402103	匈奴右翼先锋	junzhu13	1	25	124021031	124021032	124021033	124021034	124021035						12402103																	
12402104	匈奴右翼先锋	junzhu15	1	25	124021041	124021042	124021043	124021044	124021045						12402104																	
12402105	匈奴右翼先锋	junzhu15	1	25	124021051	124021052	124021053	124021054	124021055						12402105																	
12402106	匈奴右翼先锋	junzhu12	1	25	124021061	124021062	124021063	124021064	124021065						12402106																	
12402107	匈奴右翼副将	junzhu13	1	25	124021071	124021072	124021073	124021074	124021075						12402107																	
12402108	匈奴右翼副将	junzhu14	1	25	124021081	124021082	124021083	124021084	124021085						12402108																	
12402109	匈奴右翼副将	junzhu12	1	25	124021091	124021092	124021093	124021094	124021095						12402109																	
12402110	匈奴右翼大将	junzhu12	1	25	124021101	124021102	124021103	124021104	124021105						12402110																	
12402201	匈奴左翼先锋	junzhu12	1	25	124022011	124022012	124022013	124022014	124022015						12402201																	
12402202	匈奴左翼先锋	junzhu11	1	25	124022021	124022022	124022023	124022024	124022025						12402202																	
12402203	匈奴左翼先锋	junzhu14	1	25	124022031	124022032	124022033	124022034	124022035						12402203																	
12402204	匈奴左翼先锋	junzhu15	1	25	124022041	124022042	124022043	124022044	124022045						12402204																	
12402205	匈奴左翼先锋	junzhu14	1	25	124022051	124022052	124022053	124022054	124022055						12402205																	
12402206	匈奴左翼先锋	junzhu12	1	25	124022061	124022062	124022063	124022064	124022065						12402206																	
12402207	匈奴左翼副将	junzhu15	1	25	124022071	124022072	124022073	124022074	124022075						12402207																	
12402208	匈奴左翼副将	junzhu14	1	25	124022081	124022082	124022083	124022084	124022085						12402208																	
12402209	匈奴左翼副将	junzhu14	1	25	124022091	124022092	124022093	124022094	124022095						12402209																	
12402210	匈奴左翼大将	junzhu14	1	25	124022101	124022102	124022103	124022104	124022105						12402210																	
12402301	匈奴精英先锋	junzhu14	1	25	124023011	124023012	124023013	124023014	124023015						12402301																	
12402302	匈奴精英先锋	junzhu13	1	25	124023021	124023022	124023023	124023024	124023025						12402302																	
12402303	匈奴精英先锋	junzhu15	1	25	124023031	124023032	124023033	124023034	124023035						12402303																	
12402304	匈奴精英先锋	junzhu12	1	25	124023041	124023042	124023043	124023044	124023045						12402304																	
12402305	匈奴精英先锋	junzhu11	1	25	124023051	124023052	124023053	124023054	124023055						12402305																	
12402306	匈奴精英先锋	junzhu13	1	25	124023061	124023062	124023063	124023064	124023065						12402306																	
12402307	匈奴精英副将	junzhu15	1	25	124023071	124023072	124023073	124023074	124023075						12402307																	
12402308	匈奴精英副将	junzhu15	1	25	124023081	124023082	124023083	124023084	124023085						12402308																	
12402309	匈奴精英副将	junzhu11	1	25	124023091	124023092	124023093	124023094	124023095						12402309																	
12402310	匈奴精英大将	junzhu12	1	25	124023101	124023102	124023103	124023104	124023105						12402310																	
12402401	匈奴主力先锋	junzhu13	1	25	124024011	124024012	124024013	124024014	124024015						12402401																	
12402402	匈奴主力先锋	junzhu15	1	25	124024021	124024022	124024023	124024024	124024025						12402402																	
12402403	匈奴主力先锋	junzhu14	1	25	124024031	124024032	124024033	124024034	124024035						12402403																	
12402404	匈奴主力先锋	junzhu13	1	25	124024041	124024042	124024043	124024044	124024045						12402404																	
12402405	匈奴主力先锋	junzhu11	1	25	124024051	124024052	124024053	124024054	124024055						12402405																	
12402406	匈奴主力先锋	junzhu12	1	25	124024061	124024062	124024063	124024064	124024065						12402406																	
12402407	匈奴主力副将	junzhu14	1	25	124024071	124024072	124024073	124024074	124024075						12402407																	
12402408	匈奴主力副将	junzhu12	1	25	124024081	124024082	124024083	124024084	124024085						12402408																	
12402409	匈奴主力副将	junzhu11	1	25	124024091	124024092	124024093	124024094	124024095						12402409																	
12402410	匈奴主力大将	junzhu11	1	25	124024101	124024102	124024103	124024104	124024105						12402410																	
12402501	匈奴百夫长先锋	junzhu11	1	25	124025011	124025012	124025013	124025014	124025015						12402501																	
12402502	匈奴百夫长先锋	junzhu13	1	25	124025021	124025022	124025023	124025024	124025025						12402502																	
12402503	匈奴百夫长先锋	junzhu13	1	25	124025031	124025032	124025033	124025034	124025035						12402503																	
12402504	匈奴百夫长先锋	junzhu12	1	25	124025041	124025042	124025043	124025044	124025045						12402504																	
12402505	匈奴百夫长先锋	junzhu11	1	25	124025051	124025052	124025053	124025054	124025055						12402505																	
12402506	匈奴百夫长先锋	junzhu11	1	25	124025061	124025062	124025063	124025064	124025065						12402506																	
12402507	匈奴百夫长副将	junzhu14	1	25	124025071	124025072	124025073	124025074	124025075						12402507																	
12402508	匈奴百夫长副将	junzhu15	1	25	124025081	124025082	124025083	124025084	124025085						12402508																	
12402509	匈奴百夫长副将	junzhu15	1	25	124025091	124025092	124025093	124025094	124025095						12402509																	
12402510	匈奴百夫长大将	junzhu11	1	25	124025101	124025102	124025103	124025104	124025105						12402510																	
12403101	匈奴右翼先锋	junzhu11	1	30	124031011	124031012	124031013	124031014	124031015						12403101																	
12403102	匈奴右翼先锋	junzhu11	1	30	124031021	124031022	124031023	124031024	124031025						12403102																	
12403103	匈奴右翼先锋	junzhu14	1	30	124031031	124031032	124031033	124031034	124031035						12403103																	
12403104	匈奴右翼先锋	junzhu15	1	30	124031041	124031042	124031043	124031044	124031045						12403104																	
12403105	匈奴右翼先锋	junzhu11	1	30	124031051	124031052	124031053	124031054	124031055						12403105																	
12403106	匈奴右翼先锋	junzhu13	1	30	124031061	124031062	124031063	124031064	124031065						12403106																	
12403107	匈奴右翼副将	junzhu11	1	30	124031071	124031072	124031073	124031074	124031075						12403107																	
12403108	匈奴右翼副将	junzhu13	1	30	124031081	124031082	124031083	124031084	124031085						12403108																	
12403109	匈奴右翼副将	junzhu15	1	30	124031091	124031092	124031093	124031094	124031095						12403109																	
12403110	匈奴右翼大将	junzhu12	1	30	124031101	124031102	124031103	124031104	124031105						12403110																	
12403201	匈奴左翼先锋	junzhu14	1	30	124032011	124032012	124032013	124032014	124032015						12403201																	
12403202	匈奴左翼先锋	junzhu15	1	30	124032021	124032022	124032023	124032024	124032025						12403202																	
12403203	匈奴左翼先锋	junzhu12	1	30	124032031	124032032	124032033	124032034	124032035						12403203																	
12403204	匈奴左翼先锋	junzhu13	1	30	124032041	124032042	124032043	124032044	124032045						12403204																	
12403205	匈奴左翼先锋	junzhu13	1	30	124032051	124032052	124032053	124032054	124032055						12403205																	
12403206	匈奴左翼先锋	junzhu12	1	30	124032061	124032062	124032063	124032064	124032065						12403206																	
12403207	匈奴左翼副将	junzhu13	1	30	124032071	124032072	124032073	124032074	124032075						12403207																	
12403208	匈奴左翼副将	junzhu13	1	30	124032081	124032082	124032083	124032084	124032085						12403208																	
12403209	匈奴左翼副将	junzhu14	1	30	124032091	124032092	124032093	124032094	124032095						12403209																	
12403210	匈奴左翼大将	junzhu13	1	30	124032101	124032102	124032103	124032104	124032105						12403210																	
12403301	匈奴精英先锋	junzhu12	1	30	124033011	124033012	124033013	124033014	124033015						12403301																	
12403302	匈奴精英先锋	junzhu14	1	30	124033021	124033022	124033023	124033024	124033025						12403302																	
12403303	匈奴精英先锋	junzhu11	1	30	124033031	124033032	124033033	124033034	124033035						12403303																	
12403304	匈奴精英先锋	junzhu15	1	30	124033041	124033042	124033043	124033044	124033045						12403304																	
12403305	匈奴精英先锋	junzhu14	1	30	124033051	124033052	124033053	124033054	124033055						12403305																	
12403306	匈奴精英先锋	junzhu11	1	30	124033061	124033062	124033063	124033064	124033065						12403306																	
12403307	匈奴精英副将	junzhu13	1	30	124033071	124033072	124033073	124033074	124033075						12403307																	
12403308	匈奴精英副将	junzhu11	1	30	124033081	124033082	124033083	124033084	124033085						12403308																	
12403309	匈奴精英副将	junzhu13	1	30	124033091	124033092	124033093	124033094	124033095						12403309																	
12403310	匈奴精英大将	junzhu11	1	30	124033101	124033102	124033103	124033104	124033105						12403310																	
12403401	匈奴主力先锋	junzhu14	1	30	124034011	124034012	124034013	124034014	124034015						12403401																	
12403402	匈奴主力先锋	junzhu11	1	30	124034021	124034022	124034023	124034024	124034025						12403402																	
12403403	匈奴主力先锋	junzhu14	1	30	124034031	124034032	124034033	124034034	124034035						12403403																	
12403404	匈奴主力先锋	junzhu11	1	30	124034041	124034042	124034043	124034044	124034045						12403404																	
12403405	匈奴主力先锋	junzhu11	1	30	124034051	124034052	124034053	124034054	124034055						12403405																	
12403406	匈奴主力先锋	junzhu11	1	30	124034061	124034062	124034063	124034064	124034065						12403406																	
12403407	匈奴主力副将	junzhu15	1	30	124034071	124034072	124034073	124034074	124034075						12403407																	
12403408	匈奴主力副将	junzhu13	1	30	124034081	124034082	124034083	124034084	124034085						12403408																	
12403409	匈奴主力副将	junzhu12	1	30	124034091	124034092	124034093	124034094	124034095						12403409																	
12403410	匈奴主力大将	junzhu15	1	30	124034101	124034102	124034103	124034104	124034105						12403410																	
12403501	匈奴千夫长先锋	junzhu12	1	30	124035011	124035012	124035013	124035014	124035015						12403501																	
12403502	匈奴千夫长先锋	junzhu12	1	30	124035021	124035022	124035023	124035024	124035025						12403502																	
12403503	匈奴千夫长先锋	junzhu15	1	30	124035031	124035032	124035033	124035034	124035035						12403503																	
12403504	匈奴千夫长先锋	junzhu12	1	30	124035041	124035042	124035043	124035044	124035045						12403504																	
12403505	匈奴千夫长先锋	junzhu15	1	30	124035051	124035052	124035053	124035054	124035055						12403505																	
12403506	匈奴千夫长先锋	junzhu13	1	30	124035061	124035062	124035063	124035064	124035065						12403506																	
12403507	匈奴千夫长副将	junzhu12	1	30	124035071	124035072	124035073	124035074	124035075						12403507																	
12403508	匈奴千夫长副将	junzhu12	1	30	124035081	124035082	124035083	124035084	124035085						12403508																	
12403509	匈奴千夫长副将	junzhu15	1	30	124035091	124035092	124035093	124035094	124035095						12403509																	
12403510	匈奴千夫长大将	junzhu13	1	30	124035101	124035102	124035103	124035104	124035105						12403510																	
12404101	匈奴右翼先锋	junzhu13	1	35	124041011	124041012	124041013	124041014	124041015						12404101																	
12404102	匈奴右翼先锋	junzhu13	1	35	124041021	124041022	124041023	124041024	124041025						12404102																	
12404103	匈奴右翼先锋	junzhu13	1	35	124041031	124041032	124041033	124041034	124041035						12404103																	
12404104	匈奴右翼先锋	junzhu13	1	35	124041041	124041042	124041043	124041044	124041045						12404104																	
12404105	匈奴右翼先锋	junzhu13	1	35	124041051	124041052	124041053	124041054	124041055						12404105																	
12404106	匈奴右翼先锋	junzhu13	1	35	124041061	124041062	124041063	124041064	124041065						12404106																	
12404107	匈奴右翼副将	junzhu15	1	35	124041071	124041072	124041073	124041074	124041075						12404107																	
12404108	匈奴右翼副将	junzhu12	1	35	124041081	124041082	124041083	124041084	124041085						12404108																	
12404109	匈奴右翼副将	junzhu15	1	35	124041091	124041092	124041093	124041094	124041095						12404109																	
12404110	匈奴右翼大将	junzhu12	1	35	124041101	124041102	124041103	124041104	124041105						12404110																	
12404201	匈奴左翼先锋	junzhu13	1	35	124042011	124042012	124042013	124042014	124042015						12404201																	
12404202	匈奴左翼先锋	junzhu15	1	35	124042021	124042022	124042023	124042024	124042025						12404202																	
12404203	匈奴左翼先锋	junzhu12	1	35	124042031	124042032	124042033	124042034	124042035						12404203																	
12404204	匈奴左翼先锋	junzhu11	1	35	124042041	124042042	124042043	124042044	124042045						12404204																	
12404205	匈奴左翼先锋	junzhu11	1	35	124042051	124042052	124042053	124042054	124042055						12404205																	
12404206	匈奴左翼先锋	junzhu11	1	35	124042061	124042062	124042063	124042064	124042065						12404206																	
12404207	匈奴左翼副将	junzhu12	1	35	124042071	124042072	124042073	124042074	124042075						12404207																	
12404208	匈奴左翼副将	junzhu12	1	35	124042081	124042082	124042083	124042084	124042085						12404208																	
12404209	匈奴左翼副将	junzhu13	1	35	124042091	124042092	124042093	124042094	124042095						12404209																	
12404210	匈奴左翼大将	junzhu12	1	35	124042101	124042102	124042103	124042104	124042105						12404210																	
12404301	匈奴精英先锋	junzhu13	1	35	124043011	124043012	124043013	124043014	124043015						12404301																	
12404302	匈奴精英先锋	junzhu12	1	35	124043021	124043022	124043023	124043024	124043025						12404302																	
12404303	匈奴精英先锋	junzhu11	1	35	124043031	124043032	124043033	124043034	124043035						12404303																	
12404304	匈奴精英先锋	junzhu15	1	35	124043041	124043042	124043043	124043044	124043045						12404304																	
12404305	匈奴精英先锋	junzhu11	1	35	124043051	124043052	124043053	124043054	124043055						12404305																	
12404306	匈奴精英先锋	junzhu14	1	35	124043061	124043062	124043063	124043064	124043065						12404306																	
12404307	匈奴精英副将	junzhu14	1	35	124043071	124043072	124043073	124043074	124043075						12404307																	
12404308	匈奴精英副将	junzhu14	1	35	124043081	124043082	124043083	124043084	124043085						12404308																	
12404309	匈奴精英副将	junzhu14	1	35	124043091	124043092	124043093	124043094	124043095						12404309																	
12404310	匈奴精英大将	junzhu15	1	35	124043101	124043102	124043103	124043104	124043105						12404310																	
12404401	匈奴主力先锋	junzhu13	1	35	124044011	124044012	124044013	124044014	124044015						12404401																	
12404402	匈奴主力先锋	junzhu14	1	35	124044021	124044022	124044023	124044024	124044025						12404402																	
12404403	匈奴主力先锋	junzhu11	1	35	124044031	124044032	124044033	124044034	124044035						12404403																	
12404404	匈奴主力先锋	junzhu12	1	35	124044041	124044042	124044043	124044044	124044045						12404404																	
12404405	匈奴主力先锋	junzhu15	1	35	124044051	124044052	124044053	124044054	124044055						12404405																	
12404406	匈奴主力先锋	junzhu15	1	35	124044061	124044062	124044063	124044064	124044065						12404406																	
12404407	匈奴主力副将	junzhu15	1	35	124044071	124044072	124044073	124044074	124044075						12404407																	
12404408	匈奴主力副将	junzhu15	1	35	124044081	124044082	124044083	124044084	124044085						12404408																	
12404409	匈奴主力副将	junzhu13	1	35	124044091	124044092	124044093	124044094	124044095						12404409																	
