Id	地点名字	Npc君主，关联monster/master.txt	Npc基地等级	繁荣度上限	0表示主城，1表示行营	持续掠夺多久（0s表示抢一下就走，不进行持续掠夺）	繁荣度损失间隔，多久损失一次繁荣度，0s表示不持续掠夺繁荣度	损失量，每次损失多少繁荣度	持续掠夺间隔，每隔多久持续掠夺一次	增强表现图标		每次持续掠夺获得奖励	获胜抢第一下奖励	每次持续掠夺随机掉落	首次胜利随机掉落	每次持续掠夺条件掉落	首次胜利条件掉落	展示奖励（荣誉地区野怪展示的奖励）		持续掠夺最大人数，0表示不限人数		防守死亡摧毁		防守怪物模型
13600422	22级犬戎大营	13600422	22	100	1	0s	0s	0	3s				13601422		13601422			13600422	13600422	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600423	23级犬戎大营	13600423	23	100	1	0s	0s	0	3s				13601423		13601423			13600423	13600423	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600424	24级犬戎大营	13600424	24	100	1	0s	0s	0	3s				13601424		13601424			13600424	13600424	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600425	25级犬戎大营	13600425	25	100	1	0s	0s	0	3s				13601425		13601425			13600425	13600425	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600501	1级犬戎大营	13600501	1	100	1	0s	0s	0	3s				13601501		13601501			13600501	13600501	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600502	2级犬戎大营	13600502	2	100	1	0s	0s	0	3s				13601502		13601502			13600502	13600502	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600503	3级犬戎大营	13600503	3	100	1	0s	0s	0	3s				13601503		13601503			13600503	13600503	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600504	4级犬戎大营	13600504	4	100	1	0s	0s	0	3s				13601504		13601504			13600504	13600504	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600505	5级犬戎大营	13600505	5	100	1	0s	0s	0	3s				13601505		13601505			13600505	13600505	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600506	6级犬戎大营	13600506	6	100	1	0s	0s	0	3s				13601506		13601506			13600506	13600506	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600507	7级犬戎大营	13600507	7	100	1	0s	0s	0	3s				13601507		13601507			13600507	13600507	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600508	8级犬戎大营	13600508	8	100	1	0s	0s	0	3s				13601508		13601508			13600508	13600508	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600509	9级犬戎大营	13600509	9	100	1	0s	0s	0	3s				13601509		13601509			13600509	13600509	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600510	10级犬戎大营	13600510	10	100	1	0s	0s	0	3s				13601510		13601510			13600510	13600510	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600511	11级犬戎大营	13600511	11	100	1	0s	0s	0	3s				13601511		13601511			13600511	13600511	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600512	12级犬戎大营	13600512	12	100	1	0s	0s	0	3s				13601512		13601512			13600512	13600512	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600513	13级犬戎大营	13600513	13	100	1	0s	0s	0	3s				13601513		13601513			13600513	13600513	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600514	14级犬戎大营	13600514	14	100	1	0s	0s	0	3s				13601514		13601514			13600514	13600514	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600515	15级犬戎大营	13600515	15	100	1	0s	0s	0	3s				13601515		13601515			13600515	13600515	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600516	16级犬戎大营	13600516	16	100	1	0s	0s	0	3s				13601516		13601516			13600516	13600516	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600517	17级犬戎大营	13600517	17	100	1	0s	0s	0	3s				13601517		13601517			13600517	13600517	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600518	18级犬戎大营	13600518	18	100	1	0s	0s	0	3s				13601518		13601518			13600518	13600518	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600519	19级犬戎大营	13600519	19	100	1	0s	0s	0	3s				13601519		13601519			13600519	13600519	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600520	20级犬戎大营	13600520	20	100	1	0s	0s	0	3s				13601520		13601520			13600520	13600520	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600521	21级犬戎大营	13600521	21	100	1	0s	0s	0	3s				13601521		13601521			13600521	13600521	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600522	22级犬戎大营	13600522	22	100	1	0s	0s	0	3s				13601522		13601522			13600522	13600522	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600523	23级犬戎大营	13600523	23	100	1	0s	0s	0	3s				13601523		13601523			13600523	13600523	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600524	24级犬戎大营	13600524	24	100	1	0s	0s	0	3s				13601524		13601524			13600524	13600524	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
13600525	25级犬戎大营	13600525	25	100	1	0s	0s	0	3s				13601525		13601525			13600525	13600525	1	Prefabs/Monster/Cha_WM_Dogarmy_L4			
																								
101	联盟工坊	101	1	100	1	0s	0s	0	3s				11800001					11800001	11800001	1	Prefabs/Scene/DynamicData/Sce_WM_League_01			
