Id				名字	图标	描述	技能分组	技能等级	主动技能	被动技能			内政技能效果	战斗力系数	
13111019	乐毅	S	弓	济水强弓	skill1901	发动强力攻击，对目标造成600%的伤害。	133	1	13111119					10000	造成250%伤害
13112019	乐毅	S	弓	济水强弓	skill1901	发动强力攻击，对目标造成600%的伤害。	1330	2	13112119					10000	造成263%伤害
13113019	乐毅	S	弓	济水强弓	skill1901	发动强力攻击，对目标造成600%的伤害。	1330	3	13113119					10000	造成275%伤害
13114019	乐毅	S	弓	济水强弓	skill1901	发动强力攻击，对目标造成600%的伤害。	1330	4	13114119					10000	造成288%伤害
13115019	乐毅	S	弓	济水强弓	skill1901	发动强力攻击，对目标造成600%的伤害。	1330	5	13115119					10000	造成300%伤害
13141019	乐毅	S	弓	呼应	skill0003	每4次攻击额外造成120%的伤害。当友军身上有护盾时，使自身攻速提升48%，持续30秒。	134	1		13141319				3000	造成100%伤害，攻速提升40%
13142019	乐毅	S	弓	呼应	skill0003	每4次攻击额外造成126%的伤害。当友军身上有护盾时，使自身攻速提升50%，持续30秒。	134	2		13142319				3150	造成105%伤害，攻速提升42%
13143019	乐毅	S	弓	呼应	skill0003	每4次攻击额外造成132%的伤害。当友军身上有护盾时，使自身攻速提升53%，持续30秒。	134	3		13143319				3300	造成110%伤害，攻速提升44%
13144019	乐毅	S	弓	呼应	skill0003	每4次攻击额外造成138%的伤害。当友军身上有护盾时，使自身攻速提升55%，持续30秒。	134	4		13144319				3450	造成115%伤害，攻速提升46%
13145019	乐毅	S	弓	呼应	skill0003	每4次攻击额外造成144%的伤害。当友军身上有护盾时，使自身攻速提升58%，持续30秒。	134	5		13145319				3600	造成120%伤害，攻速提升48%
13111020	田单	S	骑	火牛奇袭	skill2001	对目标造成根据双方总属性计算的360%普攻伤害。立刻使目标陷入眩晕状态5秒，并使其所受伤害提升50%，持续30秒。	135	1	13111120					10000	所受伤害提升67%
13112020	田单	S	骑	火牛奇袭	skill2001	对目标造成根据双方总属性计算的360%普攻伤害。立刻使目标陷入眩晕状态5秒，并使其所受伤害提升50%，持续30秒。	1350	2	13112120					10000	所受伤害提升70%
13113020	田单	S	骑	火牛奇袭	skill2001	对目标造成根据双方总属性计算的360%普攻伤害。立刻使目标陷入眩晕状态5秒，并使其所受伤害提升50%，持续30秒。	1350	3	13113120					10000	所受伤害提升73%
13114020	田单	S	骑	火牛奇袭	skill2001	对目标造成根据双方总属性计算的360%普攻伤害。立刻使目标陷入眩晕状态5秒，并使其所受伤害提升50%，持续30秒。	1350	4	13114120					10000	所受伤害提升77%
13115020	田单	S	骑	火牛奇袭	skill2001	对目标造成根据双方总属性计算的360%普攻伤害。立刻使目标陷入眩晕状态5秒，并使其所受伤害提升50%，持续30秒。	1350	5	13115120					10000	所受伤害提升80%
13141020	田单	S	骑	闪避	skill0018	攻击命中目标时有33%的概率使自身闪避提升48%，持续30秒。	136	1		13141320				3000	闪避提升40%
13142020	田单	S	骑	闪避	skill0018	攻击命中目标时有33%的概率使自身闪避提升50%，持续30秒。	136	2		13142320				3150	闪避提升42%
13143020	田单	S	骑	闪避	skill0018	攻击命中目标时有33%的概率使自身闪避提升53%，持续30秒。	136	3		13143320				3300	闪避提升44%
13144020	田单	S	骑	闪避	skill0018	攻击命中目标时有33%的概率使自身闪避提升55%，持续30秒。	136	4		13144320				3450	闪避提升46%
13145020	田单	S	骑	闪避	skill0018	攻击命中目标时有33%的概率使自身闪避提升58%，持续30秒。	136	5		13145320				3600	闪避提升48%
13111021	赵奢	A	弓	狭路逞勇	skill2101	对目标造成550%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态则额外造成110%伤害。	137	1	13111121					9167	造成225%伤害，额外造成45%
13112021	赵奢	A	弓	狭路逞勇	skill2101	对目标造成550%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态则额外造成110%伤害。	1370	2	13112121					9167	造成236%伤害，额外造成47%
13113021	赵奢	A	弓	狭路逞勇	skill2101	对目标造成550%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态则额外造成110%伤害。	1370	3	13113121					9167	造成248%伤害，额外造成50%
13114021	赵奢	A	弓	狭路逞勇	skill2101	对目标造成550%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态则额外造成110%伤害。	1370	4	13114121					9167	造成259%伤害，额外造成52%
13115021	赵奢	A	弓	狭路逞勇	skill2101	对目标造成550%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态则额外造成110%伤害。	1370	5	13115121					9167	造成270%伤害，额外造成54%
13141021	赵奢	A	弓	强攻	skill0014	攻击命中时有25%的概率造成108%额外伤害。	138	1		13141321				2700	造成额外90%伤害
13142021	赵奢	A	弓	强攻	skill0014	攻击命中时有25%的概率造成113%额外伤害。	138	2		13142321				2835	造成额外95%伤害
13143021	赵奢	A	弓	强攻	skill0014	攻击命中时有25%的概率造成119%额外伤害。	138	3		13143321				2970	造成额外99%伤害
13144021	赵奢	A	弓	强攻	skill0014	攻击命中时有25%的概率造成124%额外伤害。	138	4		13144321				3105	造成额外104%伤害
13145021	赵奢	A	弓	强攻	skill0014	攻击命中时有25%的概率造成130%额外伤害。	138	5		13145321				3240	造成额外108%伤害
13111022	项燕	S	车	世代名将	skill2201	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	139	1	13111122					10000	造成203%伤害
13112022	项燕	S	车	世代名将	skill2201	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	1390	2	13112122					10000	造成213%伤害
13113022	项燕	S	车	世代名将	skill2201	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	1390	3	13113122					10000	造成223%伤害
13114022	项燕	S	车	世代名将	skill2201	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	1390	4	13114122					10000	造成233%伤害
13115022	项燕	S	车	世代名将	skill2201	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	1390	5	13115122					10000	造成243%伤害
13111023	孙膑	S	车	马陵设伏	skill2301	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升80%，持续30秒。	140	1	13111123					10000	所受伤害提升67%
13112023	孙膑	S	车	马陵设伏	skill2301	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升80%，持续30秒。	1400	2	13112123					10000	所受伤害提升70%
13113023	孙膑	S	车	马陵设伏	skill2301	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升80%，持续30秒。	1400	3	13113123					10000	所受伤害提升73%
13114023	孙膑	S	车	马陵设伏	skill2301	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升80%，持续30秒。	1400	4	13114123					10000	所受伤害提升77%
13115023	孙膑	S	车	马陵设伏	skill2301	使技能范围内的敌方怒气最高的军队沉默5秒，并使其所受伤害提升80%，持续30秒。	1400	5	13115123					10000	所受伤害提升80%
13141023	孙膑	S	车	闪避	skill0018	攻击命中时有33%的概率提升自身闪避48%，持续30秒。	141	1		13141323				3000	闪避提升40%
13142023	孙膑	S	车	闪避	skill0018	攻击命中时有33%的概率提升自身闪避50%，持续30秒。	141	2		13142323				3150	闪避提升42%
13143023	孙膑	S	车	闪避	skill0018	攻击命中时有33%的概率提升自身闪避53%，持续30秒。	141	3		13143323				3300	闪避提升44%
13144023	孙膑	S	车	闪避	skill0018	攻击命中时有33%的概率提升自身闪避55%，持续30秒。	141	4		13144323				3450	闪避提升46%
13145023	孙膑	S	车	闪避	skill0018	攻击命中时有33%的概率提升自身闪避58%，持续30秒。	141	5		13145323				3600	闪避提升48%
13111024	乐羊	A	骑	食子破敌	skill2401	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升72%，持续30秒。	142	1	13111124					9167	所受伤害提升60%
13112024	乐羊	A	骑	食子破敌	skill2401	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升72%，持续30秒。	1420	2	13112124					9167	所受伤害提升63%
13113024	乐羊	A	骑	食子破敌	skill2401	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升72%，持续30秒。	1420	3	13113124					9167	所受伤害提升66%
13114024	乐羊	A	骑	食子破敌	skill2401	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升72%，持续30秒。	1420	4	13114124					9167	所受伤害提升69%
13115024	乐羊	A	骑	食子破敌	skill2401	威吓目标，使其陷入怯战状态无法普通攻击，持续5秒，并使其所受伤害提升72%，持续30秒。	1420	5	13115124					9167	所受伤害提升72%
13141024	乐羊	A	骑	强健	skill0013	攻击命中时有33%的概率使自身减伤提升54%，持续30秒。	143	1		13141324				2700	减伤提升45%
13142024	乐羊	A	骑	强健	skill0013	攻击命中时有33%的概率使自身减伤提升57%，持续30秒。	143	2		13142324				2835	减伤提升47%
13143024	乐羊	A	骑	强健	skill0013	攻击命中时有33%的概率使自身减伤提升59%，持续30秒。	143	3		13143324				2970	减伤提升50%
13144024	乐羊	A	骑	强健	skill0013	攻击命中时有33%的概率使自身减伤提升62%，持续30秒。	143	4		13144324				3105	减伤提升52%
13145024	乐羊	A	骑	强健	skill0013	攻击命中时有33%的概率使自身减伤提升65%，持续30秒。	143	5		13145324				3240	减伤提升54%
13111025	蒙恬	S	骑	北地铁骑	skill2501	给2个我方百分比血量最低的单位加上20%最大兵力值的护盾，持续30秒。	144	1	13111125					10000	护盾为最大兵力10.0%
13112025	蒙恬	S	骑	北地铁骑	skill2501	给2个我方百分比血量最低的单位加上20%最大兵力值的护盾，持续30秒。	1440	2	13112125					10000	护盾为最大兵力10.5%
13113025	蒙恬	S	骑	北地铁骑	skill2501	给2个我方百分比血量最低的单位加上20%最大兵力值的护盾，持续30秒。	1440	3	13113125					10000	护盾为最大兵力11.0%
13114025	蒙恬	S	骑	北地铁骑	skill2501	给2个我方百分比血量最低的单位加上20%最大兵力值的护盾，持续30秒。	1440	4	13114125					10000	护盾为最大兵力11.5%
13115025	蒙恬	S	骑	北地铁骑	skill2501	给2个我方百分比血量最低的单位加上20%最大兵力值的护盾，持续30秒。	1440	5	13115125					10000	护盾为最大兵力12.0%
13141025	蒙恬	S	骑	护体	skill0004	攻击命中时有33%的概率使自身减伤提升60%，持续30秒。	145	1		13141325				3000	减伤提升50%
13142025	蒙恬	S	骑	护体	skill0004	攻击命中时有33%的概率使自身减伤提升63%，持续30秒。	145	2		13142325				3150	减伤提升53%
13143025	蒙恬	S	骑	护体	skill0004	攻击命中时有33%的概率使自身减伤提升66%，持续30秒。	145	3		13143325				3300	减伤提升55%
13144025	蒙恬	S	骑	护体	skill0004	攻击命中时有33%的概率使自身减伤提升69%，持续30秒。	145	4		13144325				3450	减伤提升58%
13145025	蒙恬	S	骑	护体	skill0004	攻击命中时有33%的概率使自身减伤提升72%，持续30秒。	145	5		13145325				3600	减伤提升60%
13111026	商鞅	A	车	法家威仪	skill2601	使目标所受伤害提升90%，持续30秒。	146	1	13111126					9167	所受伤害提升75%
13112026	商鞅	A	车	法家威仪	skill2601	使目标所受伤害提升90%，持续30秒。	1460	2	13112126					9167	所受伤害提升79%
13113026	商鞅	A	车	法家威仪	skill2601	使目标所受伤害提升90%，持续30秒。	1460	3	13113126					9167	所受伤害提升83%
13114026	商鞅	A	车	法家威仪	skill2601	使目标所受伤害提升90%，持续30秒。	1460	4	13114126					9167	所受伤害提升86%
13115026	商鞅	A	车	法家威仪	skill2601	使目标所受伤害提升90%，持续30秒。	1460	5	13115126					9167	所受伤害提升90%
13141026	商鞅	A	车	火炽	skill0008	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升14%，并提升自身减伤54%，持续30秒。	147	1		13141326				2700	减伤提升45%
13142026	商鞅	A	车	火炽	skill0008	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升14%，并提升自身减伤57%，持续30秒。	147	2		13142326				2835	减伤提升47%
13143026	商鞅	A	车	火炽	skill0008	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升14%，并提升自身减伤59%，持续30秒。	147	3		13143326				2970	减伤提升50%
13144026	商鞅	A	车	火炽	skill0008	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升14%，并提升自身减伤62%，持续30秒。	147	4		13144326				3105	减伤提升52%
13145026	商鞅	A	车	火炽	skill0008	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升14%，并提升自身减伤65%，持续30秒。	147	5		13145326				3240	减伤提升54%
13111027	信陵君	S	车	人中之龙	skill2701	使附近两个单位受到总属性差计算的216%普攻伤害，并使其所受伤害提升50%，持续30秒。	148	1	13111127					10000	伤害下降83%
13112027	信陵君	S	车	人中之龙	skill2701	使附近两个单位受到总属性差计算的216%普攻伤害，并使其所受伤害提升50%，持续30秒。	1480	2	13112127					10000	伤害下降88%
13113027	信陵君	S	车	人中之龙	skill2701	使附近两个单位受到总属性差计算的216%普攻伤害，并使其所受伤害提升50%，持续30秒。	1480	3	13113127					10000	伤害下降92%
13114027	信陵君	S	车	人中之龙	skill2701	使附近两个单位受到总属性差计算的216%普攻伤害，并使其所受伤害提升50%，持续30秒。	1480	4	13114127					10000	伤害下降96%
13115027	信陵君	S	车	人中之龙	skill2701	使附近两个单位受到总属性差计算的216%普攻伤害，并使其所受伤害提升50%，持续30秒。	1480	5	13115127					10000	伤害下降100%
13141027	信陵君	S	车	引燃	skill0009	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。	149	1		13141327				3000	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。
13142027	信陵君	S	车	引燃	skill0009	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。	1490	2		13142327				3150	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。
13143027	信陵君	S	车	引燃	skill0009	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。	1490	3		13143327				3300	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。
13144027	信陵君	S	车	引燃	skill0009	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。	1490	4		13144327				3450	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。
13145027	信陵君	S	车	引燃	skill0009	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。	1490	5		13145327				3600	攻击有燃烧状态的敌军，剩余燃烧伤害立刻生效。
13111028	高渐离	S	器	易水琴歌	skill2801	对目标造成600%的伤害。	150	1	13111128					10000	造成250%伤害
13112028	高渐离	S	器	易水琴歌	skill2801	对目标造成600%的伤害。	1500	2	13112128					10000	造成263%伤害
13113028	高渐离	S	器	易水琴歌	skill2801	对目标造成600%的伤害。	1500	3	13113128					10000	造成275%伤害
13114028	高渐离	S	器	易水琴歌	skill2801	对目标造成600%的伤害。	1500	4	13114128					10000	造成288%伤害
13115028	高渐离	S	器	易水琴歌	skill2801	对目标造成600%的伤害。	1500	5	13115128					10000	造成300%伤害
13141028	芈月	S	步	激励	skill0005	攻击时，为我方随机目标提升40点怒气。	151	1		13141328				3000	提升80点怒气
13142028	芈月	S	步	激励	skill0005	攻击时，为我方随机目标提升48点怒气。	151	2		13142328				3150	提升88点怒气
13143028	芈月	S	步	激励	skill0005	攻击时，为我方随机目标提升56点怒气。	151	3		13143328				3300	提升96点怒气
13144028	芈月	S	步	激励	skill0005	攻击时，为我方随机目标提升64点怒气。	151	4		13144328				3450	提升104点怒气
13145028	芈月	S	步	激励	skill0005	攻击时，为我方随机目标提升72点怒气。	151	5		13145328				3600	提升113点怒气
13111029	西施	S	弓	花月之姿	skill2901	立刻为我方其他单位提升150点怒气。	152	1	13111129					10000	提升150点怒气
13112029	西施	S	弓	花月之姿	skill2901	立刻为我方其他单位提升150点怒气。	1520	2	13112129					10000	提升158点怒气
13113029	西施	S	弓	花月之姿	skill2901	立刻为我方其他单位提升150点怒气。	1520	3	13113129					10000	提升166点怒气
13114029	西施	S	弓	花月之姿	skill2901	立刻为我方其他单位提升150点怒气。	1520	4	13114129					10000	提升174点怒气
13115029	西施	S	弓	花月之姿	skill2901	立刻为我方其他单位提升150点怒气。	1520	5	13115129					10000	提升183点怒气
13141029	西施	S	弓	强势	skill0012	战斗开始时，获得额外240点怒气。	153	1		13141329				3000	获得240点怒气
13142029	西施	S	弓	强势	skill0012	战斗开始时，获得额外248点怒气。	153	2		13142329				3150	获得248点怒气
13143029	西施	S	弓	强势	skill0012	战斗开始时，获得额外256点怒气。	153	3		13143329				3300	获得256点怒气
13144029	西施	S	弓	强势	skill0012	战斗开始时，获得额外264点怒气。	153	4		13144329				3450	获得264点怒气
13145029	西施	S	弓	强势	skill0012	战斗开始时，获得额外272点怒气。	153	5		13145329				3600	获得273点怒气
13111030	韩非	S	器	法家才器	skill3001	对目标造成600%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，额外造成120%伤害。	154	1	13111130					10000	造成250%伤害，额外造成50%
13112030	韩非	S	器	法家才器	skill3001	对目标造成600%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，额外造成120%伤害。	1540	2	13112130					10000	造成263%伤害，额外造成53%
13113030	韩非	S	器	法家才器	skill3001	对目标造成600%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，额外造成120%伤害。	1540	3	13113130					10000	造成275%伤害，额外造成55%
13114030	韩非	S	器	法家才器	skill3001	对目标造成600%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，额外造成120%伤害。	1540	4	13114130					10000	造成288%伤害，额外造成58%
13115030	韩非	S	器	法家才器	skill3001	对目标造成600%的伤害，若目标处于眩晕、怯战、沉默、禁锢状态，额外造成120%伤害。	1540	5	13115130					10000	造成300%伤害，额外造成60%
13141030	韩非	S	器	爆发	skill0001	攻击命中时有33%的概率提升自身攻击速度48%，持续30秒。	155	1		13141330				3000	攻速提升40%
13142030	韩非	S	器	爆发	skill0001	攻击命中时有33%的概率提升自身攻击速度50%，持续30秒。	155	2		13142330				3150	攻速提升42%
13143030	韩非	S	器	爆发	skill0001	攻击命中时有33%的概率提升自身攻击速度53%，持续30秒。	155	3		13143330				3300	攻速提升44%
13144030	韩非	S	器	爆发	skill0001	攻击命中时有33%的概率提升自身攻击速度55%，持续30秒。	155	4		13144330				3450	攻速提升46%
13145030	韩非	S	器	爆发	skill0001	攻击命中时有33%的概率提升自身攻击速度58%，持续30秒。	155	5		13145330				3600	攻速提升48%
13111031	鬼谷子	S	器	鬼谷秘术	skill3101	造成600%的火系伤害。	156	1	13111131					10000	造成250%伤害
13112031	鬼谷子	S	器	鬼谷秘术	skill3101	造成600%的火系伤害。	1560	2	13112131					10000	造成263%伤害
13113031	鬼谷子	S	器	鬼谷秘术	skill3101	造成600%的火系伤害。	1560	3	13113131					10000	造成275%伤害
13114031	鬼谷子	S	器	鬼谷秘术	skill3101	造成600%的火系伤害。	1560	4	13114131					10000	造成288%伤害
13115031	鬼谷子	S	器	鬼谷秘术	skill3101	造成600%的火系伤害。	1560	5	13115131					10000	造成300%伤害
13141031	鬼谷子	S	器	齐射	skill0016	攻击命中时有33%的概率提升自身伤害60%，持续30秒。	157	1		13141331				3000	提升50%的伤害
13142031	鬼谷子	S	器	齐射	skill0016	攻击命中时有33%的概率提升自身伤害63%，持续30秒。	157	2		13142331				3150	提升53%的伤害
13143031	鬼谷子	S	器	齐射	skill0016	攻击命中时有33%的概率提升自身伤害66%，持续30秒。	157	3		13143331				3300	提升55%的伤害
13144031	鬼谷子	S	器	齐射	skill0016	攻击命中时有33%的概率提升自身伤害69%，持续30秒。	157	4		13144331				3450	提升58%的伤害
13145031	鬼谷子	S	器	齐射	skill0016	攻击命中时有33%的概率提升自身伤害72%，持续30秒。	157	5		13145331				3600	提升60%的伤害
13111032	白起	S	骑	战神之威	skill3201	对所有敌方单位造成总属性差计算的120%普攻伤害。	158	1	13111132					10000	所受伤害提升67%
13112032	白起	S	骑	战神之威	skill3201	对所有敌方单位造成总属性差计算的120%普攻伤害。	1580	2	13112132					10000	所受伤害提升70%
13113032	白起	S	骑	战神之威	skill3201	对所有敌方单位造成总属性差计算的120%普攻伤害。	1580	3	13113132					10000	所受伤害提升73%
13114032	白起	S	骑	战神之威	skill3201	对所有敌方单位造成总属性差计算的120%普攻伤害。	1580	4	13114132					10000	所受伤害提升77%
13115032	白起	S	骑	战神之威	skill3201	对所有敌方单位造成总属性差计算的120%普攻伤害。	1580	5	13115132					10000	所受伤害提升80%
13141032	白起	S	骑	护体	skill0004	攻击命中时有33%的概率提升自身减伤60%，持续30秒。	159	1		13141332				3000	减伤提升50%
13142032	白起	S	骑	护体	skill0004	攻击命中时有33%的概率提升自身减伤63%，持续30秒。	159	2		13142332				3150	减伤提升53%
13143032	白起	S	骑	护体	skill0004	攻击命中时有33%的概率提升自身减伤66%，持续30秒。	159	3		13143332				3300	减伤提升55%
13144032	白起	S	骑	护体	skill0004	攻击命中时有33%的概率提升自身减伤69%，持续30秒。	159	4		13144332				3450	减伤提升58%
13145032	白起	S	骑	护体	skill0004	攻击命中时有33%的概率提升自身减伤72%，持续30秒。	159	5		13145332				3600	减伤提升60%
13111033	王翦	S	骑	老将善攻	skill3301	使己方百分比血量最高的2个单位提升攻速48%，持续30秒。	160	1	13111133					10000	攻速提升67%
13112033	王翦	S	骑	老将善攻	skill3301	使己方百分比血量最高的2个单位提升攻速48%，持续30秒。	1600	2	13112133					10000	攻速提升70%
13113033	王翦	S	骑	老将善攻	skill3301	使己方百分比血量最高的2个单位提升攻速48%，持续30秒。	1600	3	13113133					10000	攻速提升73%
13114033	王翦	S	骑	老将善攻	skill3301	使己方百分比血量最高的2个单位提升攻速48%，持续30秒。	1600	4	13114133					10000	攻速提升77%
13115033	王翦	S	骑	老将善攻	skill3301	使己方百分比血量最高的2个单位提升攻速48%，持续30秒。	1600	5	13115133					10000	攻速提升80%
13141033	王翦	S	骑	协防	skill0021	友军获得护盾时，复制到自己身上。该效果每15秒仅能触发1次。	161	1		13141333				3000	
13142033	王翦	S	骑	协防	skill0021	友军获得护盾时，复制到自己身上。该效果每15秒仅能触发1次。	161	2		13142333				3150	
13143033	王翦	S	骑	协防	skill0021	友军获得护盾时，复制到自己身上。该效果每15秒仅能触发1次。	161	3		13143333				3300	
13144033	王翦	S	骑	协防	skill0021	友军获得护盾时，复制到自己身上。该效果每15秒仅能触发1次。	161	4		13144333				3450	
13145033	王翦	S	骑	协防	skill0021	友军获得护盾时，复制到自己身上。该效果每15秒仅能触发1次。	161	5		13145333				3600	
13111034	廉颇	S	步	固守长平	skill3401	给自己加上一个33%最大兵力值的护盾，持续30秒。	162	1	13111134					10000	护盾为最大兵力16.7%
13112034	廉颇	S	步	固守长平	skill3401	给自己加上一个33%最大兵力值的护盾，持续30秒。	1620	2	13112134					10000	护盾为最大兵力17.5%
13113034	廉颇	S	步	固守长平	skill3401	给自己加上一个33%最大兵力值的护盾，持续30秒。	1620	3	13113134					10000	护盾为最大兵力18.3%
13114034	廉颇	S	步	固守长平	skill3401	给自己加上一个33%最大兵力值的护盾，持续30秒。	1620	4	13114134					10000	护盾为最大兵力19.2%
13115034	廉颇	S	步	固守长平	skill3401	给自己加上一个33%最大兵力值的护盾，持续30秒。	1620	5	13115134					10000	护盾为最大兵力20.0%
13141034	廉颇	S	步	闪避	skill0018	攻击命中时有33%的概率提升自身闪避48%，持续30秒。	163	1		13141334				3000	闪避提升40%
13142034	廉颇	S	步	闪避	skill0018	攻击命中时有33%的概率提升自身闪避50%，持续30秒。	163	2		13142334				3150	闪避提升42%
13143034	廉颇	S	步	闪避	skill0018	攻击命中时有33%的概率提升自身闪避53%，持续30秒。	163	3		13143334				3300	闪避提升44%
13144034	廉颇	S	步	闪避	skill0018	攻击命中时有33%的概率提升自身闪避55%，持续30秒。	163	4		13144334				3450	闪避提升46%
13145034	廉颇	S	步	闪避	skill0018	攻击命中时有33%的概率提升自身闪避58%，持续30秒。	163	5		13145334				3600	闪避提升48%
13111035	李牧	S	器	国之利器	skill3501	对目标造成600%的伤害。	164	1	13111135					10000	造成250%伤害
13112035	李牧	S	器	国之利器	skill3501	对目标造成600%的伤害。	1640	2	13112135					10000	造成263%伤害
13113035	李牧	S	器	国之利器	skill3501	对目标造成600%的伤害。	1640	3	13113135					10000	造成275%伤害
13114035	李牧	S	器	国之利器	skill3501	对目标造成600%的伤害。	1640	4	13114135					10000	造成288%伤害
13115035	李牧	S	器	国之利器	skill3501	对目标造成600%的伤害。	1640	5	13115135					10000	造成300%伤害
13141035	李牧	S	器	猛攻	skill0015	攻击命中时有25%的概率造成额外伤害120%	165	1		13141335				3000	造成100%额外伤害
13142035	李牧	S	器	猛攻	skill0015	攻击命中时有25%的概率造成额外伤害126%	165	2		13142335				3150	造成105%额外伤害
13143035	李牧	S	器	猛攻	skill0015	攻击命中时有25%的概率造成额外伤害132%	165	3		13143335				3300	造成110%额外伤害
13144035	李牧	S	器	猛攻	skill0015	攻击命中时有25%的概率造成额外伤害138%	165	4		13144335				3450	造成115%额外伤害
13145035	李牧	S	器	猛攻	skill0015	攻击命中时有25%的概率造成额外伤害144%	165	5		13145335				3600	造成120%额外伤害
13111036	吴起	S	步	魏武方阵	skill3601	给己方血量百分比最低的单位33%最大兵力值的护盾，持续30秒。	166	1	13111136					10000	护盾为最大兵力16.7%
13112036	吴起	S	步	魏武方阵	skill3601	给己方血量百分比最低的单位33%最大兵力值的护盾，持续30秒。	1660	2	13112136					10000	护盾为最大兵力17.5%
13113036	吴起	S	步	魏武方阵	skill3601	给己方血量百分比最低的单位33%最大兵力值的护盾，持续30秒。	1660	3	13113136					10000	护盾为最大兵力18.3%
13114036	吴起	S	步	魏武方阵	skill3601	给己方血量百分比最低的单位33%最大兵力值的护盾，持续30秒。	1660	4	13114136					10000	护盾为最大兵力19.2%
13115036	吴起	S	步	魏武方阵	skill3601	给己方血量百分比最低的单位33%最大兵力值的护盾，持续30秒。	1660	5	13115136					10000	护盾为最大兵力20.0%
13141036	吴起	S	步	破敌	skill0010	攻击命中时有33%的概率提升目标所受伤害60%，持续30秒。	167	1		13141336				3000	所受伤害提升50%
13142036	吴起	S	步	破敌	skill0010	攻击命中时有33%的概率提升目标所受伤害63%，持续30秒。	167	2		13142336				3150	所受伤害提升53%
13143036	吴起	S	步	破敌	skill0010	攻击命中时有33%的概率提升目标所受伤害66%，持续30秒。	167	3		13143336				3300	所受伤害提升55%
13144036	吴起	S	步	破敌	skill0010	攻击命中时有33%的概率提升目标所受伤害69%，持续30秒。	167	4		13144336				3450	所受伤害提升58%
13145036	吴起	S	步	破敌	skill0010	攻击命中时有33%的概率提升目标所受伤害72%，持续30秒。	167	5		13145336				3600	所受伤害提升60%
13111037	蔺相如	A	步	完璧护国	skill3701	使自身减伤提升90%，持续30秒。	168	1	13111137					9167	减伤提升68%
13112037	蔺相如	A	步	完璧护国	skill3701	使自身减伤提升90%，持续30秒。	1680	2	13112137					9167	减伤提升71%
13113037	蔺相如	A	步	完璧护国	skill3701	使自身减伤提升90%，持续30秒。	1680	3	13113137					9167	减伤提升74%
13114037	蔺相如	A	步	完璧护国	skill3701	使自身减伤提升90%，持续30秒。	1680	4	13114137					9167	减伤提升78%
13115037	蔺相如	A	步	完璧护国	skill3701	使自身减伤提升90%，持续30秒。	1680	5	13115137					9167	减伤提升81%
13111038	范雎	S	车	奇谋划策	skill3801	使己方血量百分比最高的单位伤害提升100%，持续30秒。	169	1	13111138					10000	伤害提升83%
13112038	范雎	S	车	奇谋划策	skill3801	使己方血量百分比最高的单位伤害提升100%，持续30秒。	1690	2	13112138					10000	伤害提升88%
13113038	范雎	S	车	奇谋划策	skill3801	使己方血量百分比最高的单位伤害提升100%，持续30秒。	1690	3	13113138					10000	伤害提升92%
