Id	名字	表现特效	CD	硬直时间	填1表示怒气技能	默认敌方技能，填1表示友方技能	填1表示可以对自己放		目标职业		目标具有效果状态  1-燃烧 2-中毒 3-流血	目标不可走	目标不可普攻	目标不可释放技能	目标晕眩			填1表示不停下来放技能	施法距离	伤害距离	目标个数	目标选择，0-无 1-随机目标 2-血量比例最高 3-血量比例最低 4-怒气最高 5-怒气最低	技能伤害系数		每秒飞行距离	效果类型，0-无 1-燃烧 2-中毒 3-流血		给自己加状态	状态概率，填小数				给目标加状态	状态概率，填小数				给自己加怒气	给目标加怒气，负数表示减怒气		伤害类型 0-伤害公式 1-兵力*系数 2-平均4维伤害公式																																																																																																																																																																																			
13145114	攻击命中时有25%的概率造成86%额外伤害。	13141014																	0		1		0.47952		250																																								13141326	火炽																																																																																																																																																										
13141116	攻击命中时有25%的概率造成48%额外伤害。	13141016																	0		1		0.3996		250																																								13142326	火炽																																																																																																																																																										
13142116	攻击命中时有25%的概率造成58%额外伤害。	13141016																	0		1		0.41958		250																																								13143326	火炽																																																																																																																																																										
13143116	攻击命中时有25%的概率造成67%额外伤害。	13141016																	0		1		0.43956		250																																								13144326	火炽																																																																																																																																																										
13144116	攻击命中时有25%的概率造成77%额外伤害。	13141016																	0		1		0.45954		250																																								13145326	火炽																																																																																																																																																										
13145116	攻击命中时有25%的概率造成86%额外伤害。	13141016																	0		1		0.47952		250																																								13111127	人中之龙																																																																																																																																																										
13141119	每4次攻击额外造成60%的普攻伤害。当友军身上有护盾时，使自身攻速提升24%，持续15秒。	13141019																	0		1		0.444		250																																								13112127	人中之龙																																																																																																																																																										
13142119	每4次攻击额外造成72%的普攻伤害。当友军身上有护盾时，使自身攻速提升29%，持续15秒。	13141019																	0		1		0.4662		250																																								13113127	人中之龙																																																																																																																																																										
13143119	每4次攻击额外造成84%的普攻伤害。当友军身上有护盾时，使自身攻速提升34%，持续15秒。	13141019																	0		1		0.4884		250																																								13114127	人中之龙																																																																																																																																																										
13144119	每4次攻击额外造成96%的普攻伤害。当友军身上有护盾时，使自身攻速提升38%，持续15秒。	13141019																	0		1		0.5106		250																																								13115127	人中之龙																																																																																																																																																										
13145119	每4次攻击额外造成108%的普攻伤害。当友军身上有护盾时，使自身攻速提升43%，持续15秒。	13141019																	0		1		0.5328		250																																								13141327	引燃																																																																																																																																																										
13141121	攻击命中时有25%的概率造成48%额外伤害。	13141021																	0		1		0.3996		250																																								13142327	引燃																																																																																																																																																										
13142121	攻击命中时有25%的概率造成58%额外伤害。	13141021																	0		1		0.41958		250																																								13143327	引燃																																																																																																																																																										
13143121	攻击命中时有25%的概率造成67%额外伤害。	13141021																	0		1		0.43956		250																																								13144327	引燃																																																																																																																																																										
13144121	攻击命中时有25%的概率造成77%额外伤害。	13141021																	0		1		0.45954		250																																								13145327	引燃																																																																																																																																																										
13145121	攻击命中时有25%的概率造成86%额外伤害。	13141021																	0		1		0.47952		250																																								13111128	太后威仪																																																																																																																																																										
13141128	攻击时，为我方随机目标提升120点怒气。	13141028				1	1												5000		1	1																	40																										13112128	太后威仪																																																																																																																																																										
13142128	攻击时，为我方随机目标提升144点怒气。	13141028				1	1												5000		1	1																	48																										13113128	太后威仪																																																																																																																																																										
13143128	攻击时，为我方随机目标提升168点怒气。	13141028				1	1												5000		1	1																	56																										13114128	太后威仪																																																																																																																																																										
13144128	攻击时，为我方随机目标提升192点怒气。	13141028				1	1												5000		1	1																	64																										13115128	太后威仪																																																																																																																																																										
13145128	攻击时，为我方随机目标提升216点怒气。	13141028				1	1												5000		1	1																	72																										13141328	激励																																																																																																																																																										
13141135	攻击命中时有25%的概率造成额外伤害60%	13141035																	0		1		0.444		250																																								13142328	激励																																																																																																																																																										
13142135	攻击命中时有25%的概率造成额外伤害72%	13141035																	0		1		0.4662		250																																								13143328	激励																																																																																																																																																										
13143135	攻击命中时有25%的概率造成额外伤害84%	13141035																	0		1		0.4884		250																																								13144328	激励																																																																																																																																																										
13144135	攻击命中时有25%的概率造成额外伤害96%	13141035																	0		1		0.5106		250																																								13145328	激励																																																																																																																																																										
13145135	攻击命中时有25%的概率造成额外伤害108%	13141035																	0		1		0.5328		250																																								13111129	花月之姿																																																																																																																																																										
																																																																	13112129	花月之姿																																																																																																																																																										
																																																																	13113129	花月之姿																																																																																																																																																										
																																																																	13114129	花月之姿																																																																																																																																																										
																																																																	13115129	花月之姿																																																																																																																																																										
																																																																	13141329	强势																																																																																																																																																										
																																																																	13142329	强势																																																																																																																																																										
																																																																	13143329	强势																																																																																																																																																										
																																																																	13144329	强势																																																																																																																																																										
																																																																	13145329	强势																																																																																																																																																										
																																																																	13111130	法家才器																																																																																																																																																										
																																																																	13112130	法家才器																																																																																																																																																										
																																																																	13113130	法家才器																																																																																																																																																										
																																																																	13114130	法家才器																																																																																																																																																										
																																																																	13115130	法家才器																																																																																																																																																										
																																																																	13141330	爆发																																																																																																																																																										
																																																																	13142330	爆发																																																																																																																																																										
																																																																	13143330	爆发																																																																																																																																																										
																																																																	13144330	爆发																																																																																																																																																										
																																																																	13145330	爆发																																																																																																																																																										
																																																																	13111131	鬼谷秘术																																																																																																																																																										
																																																																	13112131	鬼谷秘术																																																																																																																																																										
																																																																	13113131	鬼谷秘术																																																																																																																																																										
																																																																	13114131	鬼谷秘术																																																																																																																																																										
																																																																	13115131	鬼谷秘术																																																																																																																																																										
																																																																	13141331	齐射																																																																																																																																																										
																																																																	13142331	齐射																																																																																																																																																										
																																																																	13143331	齐射																																																																																																																																																										
																																																																	13144331	齐射																																																																																																																																																										
																																																																	13145331	齐射																																																																																																																																																										
																																																																	13111132	战神之威																																																																																																																																																										
																																																																	13112132	战神之威																																																																																																																																																										
																																																																	13113132	战神之威																																																																																																																																																										
																																																																	13114132	战神之威																																																																																																																																																										
																																																																	13115132	战神之威																																																																																																																																																										
																																																																	13141332	护体																																																																																																																																																										
																																																																	13142332	护体																																																																																																																																																										
																																																																	13143332	护体																																																																																																																																																										
																																																																	13144332	护体																																																																																																																																																										
																																																																	13145332	护体																																																																																																																																																										
																																																																	13111133	老将善攻																																																																																																																																																										
																																																																	13112133	老将善攻																																																																																																																																																										
																																																																	13113133	老将善攻																																																																																																																																																										
																																																																	13114133	老将善攻																																																																																																																																																										
																																																																	13115133	老将善攻																																																																																																																																																										
																																																																	13141333	协防																																																																																																																																																										
																																																																	13142333	协防																																																																																																																																																										
																																																																	13143333	协防																																																																																																																																																										
																																																																	13144333	协防																																																																																																																																																										
																																																																	13145333	协防																																																																																																																																																										
																																																																	13111134	固守长平																																																																																																																																																										
																																																																	13112134	固守长平																																																																																																																																																										
																																																																	13113134	固守长平																																																																																																																																																										
																																																																	13114134	固守长平																																																																																																																																																										
																																																																	13115134	固守长平																																																																																																																																																										
																																																																	13141334	闪避																																																																																																																																																										
																																																																	13142334	闪避																																																																																																																																																										
																																																																	13143334	闪避																																																																																																																																																										
																																																																	13144334	闪避																																																																																																																																																										
																																																																	13145334	闪避																																																																																																																																																										
																																																																	13111135	国之利器																																																																																																																																																										
																																																																	13112135	国之利器																																																																																																																																																										
																																																																	13113135	国之利器																																																																																																																																																										
																																																																	13114135	国之利器																																																																																																																																																										
																																																																	13115135	国之利器																																																																																																																																																										
																																																																	13141335	猛攻																																																																																																																																																										
																																																																	13142335	猛攻																																																																																																																																																										
																																																																	13143335	猛攻																																																																																																																																																										
																																																																	13144335	猛攻																																																																																																																																																										
																																																																	13145335	猛攻																																																																																																																																																										
																																																																	13111136	魏武方阵																																																																																																																																																										
																																																																	13112136	魏武方阵																																																																																																																																																										
																																																																	13113136	魏武方阵																																																																																																																																																										
																																																																	13114136	魏武方阵																																																																																																																																																										
																																																																	13115136	魏武方阵																																																																																																																																																										
																																																																	13141336	破敌																																																																																																																																																										
																																																																	13142336	破敌																																																																																																																																																										
																																																																	13143336	破敌																																																																																																																																																										
																																																																	13144336	破敌																																																																																																																																																										
																																																																	13145336	破敌																																																																																																																																																										
																																																																	13111137	完璧护国																																																																																																																																																										
																																																																	13112137	完璧护国																																																																																																																																																										
																																																																	13113137	完璧护国																																																																																																																																																										
																																																																	13114137	完璧护国																																																																																																																																																										
																																																																	13115137	完璧护国																																																																																																																																																										
																																																																	13111138	奇谋划策																																																																																																																																																										
																																																																	13112138	奇谋划策																																																																																																																																																										
																																																																	13113138	奇谋划策																																																																																																																																																										
																																																																	13114138	奇谋划策																																																																																																																																																										
																																																																	13115138	奇谋划策																																																																																																																																																										
																																																																	13141338	业火																																																																																																																																																										
																																																																	13142338	业火																																																																																																																																																										
																																																																	13143338	业火																																																																																																																																																										
																																																																	13144338	业火																																																																																																																																																										
																																																																	13145338	业火																																																																																																																																																										
																																																																	13111139	乱世红颜																																																																																																																																																										
																																																																	13112139	乱世红颜																																																																																																																																																										
																																																																	13113139	乱世红颜																																																																																																																																																										
																																																																	13114139	乱世红颜																																																																																																																																																										
																																																																	13115139	乱世红颜																																																																																																																																																										
																																																																	13111140	破燕逐北																																																																																																																																																										
																																																																	13112140	破燕逐北																																																																																																																																																										
																																																																	13113140	破燕逐北																																																																																																																																																										
																																																																	13114140	破燕逐北																																																																																																																																																										
																																																																	13115140	破燕逐北																																																																																																																																																										
																																																																	13131501	灵活																																																																																																																																																										
																																																																	13132501	灵活																																																																																																																																																										
																																																																	13133501	灵活																																																																																																																																																										
																																																																	13134501	灵活																																																																																																																																																										
																																																																	13135501	灵活																																																																																																																																																										
																																																																	13131502	坚忍																																																																																																																																																										
																																																																	13132502	坚忍																																																																																																																																																										
																																																																	13133502	坚忍																																																																																																																																																										
																																																																	13134502	坚忍																																																																																																																																																										
																																																																	13135502	坚忍																																																																																																																																																										
																																																																	13131503	灵活																																																																																																																																																										
																																																																	13132503	灵活																																																																																																																																																										
																																																																	13133503	灵活																																																																																																																																																										
																																																																	13134503	灵活																																																																																																																																																										
																																																																	13135503	灵活																																																																																																																																																										
																																																																	13131504	坚忍																																																																																																																																																										
																																																																	13132504	坚忍																																																																																																																																																										
																																																																	13133504	坚忍																																																																																																																																																										
																																																																	13134504	坚忍																																																																																																																																																										
																																																																	13135504	坚忍																																																																																																																																																										
																																																																	13131505	善攻																																																																																																																																																										
																																																																	13132505	善攻																																																																																																																																																										
																																																																	13133505	善攻																																																																																																																																																										
																																																																	13134505	善攻																																																																																																																																																										
																																																																	13135505	善攻																																																																																																																																																										
																																																																	13131506	铁壁																																																																																																																																																										
																																																																	13132506	铁壁																																																																																																																																																										
																																																																	13133506	铁壁																																																																																																																																																										
																																																																	13134506	铁壁																																																																																																																																																										
																																																																	13135506	铁壁																																																																																																																																																										
																																																																	13131507	轻装																																																																																																																																																										
																																																																	13131508	厚甲																																																																																																																																																										
																																																																	13131511	迅捷																																																																																																																																																										
																																																																	13132511	迅捷																																																																																																																																																										
																																																																	13133511	迅捷																																																																																																																																																										
																																																																	13134511	迅捷																																																																																																																																																										
																																																																	13135511	迅捷																																																																																																																																																										
																																																																	13131512	亢奋																																																																																																																																																										
																																																																	13132512	亢奋																																																																																																																																																										
																																																																	13133512	亢奋																																																																																																																																																										
																																																																	13134512	亢奋																																																																																																																																																										
																																																																	13135512	亢奋																																																																																																																																																										
