Id	名字		表现特效	堆叠类型 0-不堆叠 1-替换 2-堆叠	最大堆叠层数	生效次数	生效间隔	状态掉血系数		修改属性	填1表示增加属性，否则表示减属性	移动速度，填小数	攻击速度，填小数	护盾比例，填小数	不可移动	不能普攻	沉默，不能放技能	晕眩	状态效果类型，0-无 1-燃烧 2-中毒 3-流血		被击伤害附加类型，0-无 1-燃烧 2-中毒 3-流血	被击伤害附加系数				被攻击伤害减少	系数，填小数				怒气，填负数表示减怒气	怒气恢复速度，填小数		护盾抵扣比例	伤害类型 0-伤害公式 1-兵力*系数 2-平均4维伤害公式			
13144525	攻击命中时有33%的概率使自身减伤提升48%，持续15秒。	减伤提升	18	1	1	1	30s			13144525	1																											
13145525	攻击命中时有33%的概率使自身减伤提升54%，持续15秒。	减伤提升	18	1	1	1	30s			13145525	1																											
13141526	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降24%，持续15秒。	易燃	41	1	1	1	30s														1	0.12																
13142526	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降29%，持续15秒。	易燃	41	1	1	1	30s														1	0.12																
13143526	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降34%，持续15秒。	易燃	41	1	1	1	30s														1	0.12																
13144526	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降38%，持续15秒。	易燃	41	1	1	1	30s														1	0.12																
13145526	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降43%，持续15秒。	易燃	41	1	1	1	30s														1	0.12																
13141726	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降24%，持续15秒。	减伤提升	18	1	1	1	30s			13141726	1																											
13142726	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降29%，持续15秒。	减伤提升	18	1	1	1	30s			13142726	1																											
13143726	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降34%，持续15秒。	减伤提升	18	1	1	1	30s			13143726	1																											
13144726	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降38%，持续15秒。	减伤提升	18	1	1	1	30s			13144726	1																											
13145726	攻击时有33%的概率使目标处于易燃状态，受到火系伤害额外提升12%，并使自身所受伤害下降43%，持续15秒。	减伤提升	18	1	1	1	30s			13145726	1																											
13141530	攻击命中时有33%的概率提升自身攻击速度24%，持续15秒。	攻速提升	26	1	1	1	30s						0.48																									
13142530	攻击命中时有33%的概率提升自身攻击速度29%，持续15秒。	攻速提升	26	1	1	1	30s						0.504																									
13143530	攻击命中时有33%的概率提升自身攻击速度34%，持续15秒。	攻速提升	26	1	1	1	30s						0.528																									
13144530	攻击命中时有33%的概率提升自身攻击速度38%，持续15秒。	攻速提升	26	1	1	1	30s						0.552																									
13145530	攻击命中时有33%的概率提升自身攻击速度43%，持续15秒。	攻速提升	26	1	1	1	30s						0.576																									
13141531	攻击命中时有33%的概率提升自身伤害30%，持续15秒。	加伤提升	16	1	1	1	30s			13141531	1																											
13142531	攻击命中时有33%的概率提升自身伤害36%，持续15秒。	加伤提升	16	1	1	1	30s			13142531	1																											
13143531	攻击命中时有33%的概率提升自身伤害42%，持续15秒。	加伤提升	16	1	1	1	30s			13143531	1																											
13144531	攻击命中时有33%的概率提升自身伤害48%，持续15秒。	加伤提升	16	1	1	1	30s			13144531	1																											
13145531	攻击命中时有33%的概率提升自身伤害54%，持续15秒。	加伤提升	16	1	1	1	30s			13145531	1																											
13141532	攻击命中时有33%的概率提升自身减伤30%，持续15秒。	减伤提升	18	1	1	1	30s			13141532	1																											
13142532	攻击命中时有33%的概率提升自身减伤36%，持续15秒。	减伤提升	18	1	1	1	30s			13142532	1																											
13143532	攻击命中时有33%的概率提升自身减伤42%，持续15秒。	减伤提升	18	1	1	1	30s			13143532	1																											
13144532	攻击命中时有33%的概率提升自身减伤48%，持续15秒。	减伤提升	18	1	1	1	30s			13144532	1																											
13145532	攻击命中时有33%的概率提升自身减伤54%，持续15秒。	减伤提升	18	1	1	1	30s			13145532	1																											
13141534	攻击命中时有33%的概率提升自身闪避24%，持续15秒。	闪避提升	24	1	1	1	30s			13141534	1																											
13142534	攻击命中时有33%的概率提升自身闪避29%，持续15秒。	闪避提升	24	1	1	1	30s			13142534	1																											
13143534	攻击命中时有33%的概率提升自身闪避34%，持续15秒。	闪避提升	24	1	1	1	30s			13143534	1																											
13144534	攻击命中时有33%的概率提升自身闪避38%，持续15秒。	闪避提升	24	1	1	1	30s			13144534	1																											
13145534	攻击命中时有33%的概率提升自身闪避43%，持续15秒。	闪避提升	24	1	1	1	30s			13145534	1																											
13141736	攻击命中时有33%的概率提升目标所受伤害30%，持续15秒。	减伤降低	19	1	1	1	30s			13141736	1																											
13142736	攻击命中时有33%的概率提升目标所受伤害36%，持续15秒。	减伤降低	19	1	1	1	30s			13142736	1																											
13143736	攻击命中时有33%的概率提升目标所受伤害42%，持续15秒。	减伤降低	19	1	1	1	30s			13143736	1																											
13144736	攻击命中时有33%的概率提升目标所受伤害48%，持续15秒。	减伤降低	19	1	1	1	30s			13144736	1																											
13145736	攻击命中时有33%的概率提升目标所受伤害54%，持续15秒。	减伤降低	19	1	1	1	30s			13145736	1																											
13141738	攻击时有33%的概率使目标出于易燃状态，受到火系伤害额外提升15%，所有伤害提升30%，持续15秒。	易燃	41	1	1	1	30s			13141738	1										1	0.15																
13142738	攻击时有33%的概率使目标出于易燃状态，受到火系伤害额外提升15%，所有伤害提升36%，持续15秒。	易燃	41	1	1	1	30s			13142738	1										1	0.15																
13143738	攻击时有33%的概率使目标出于易燃状态，受到火系伤害额外提升15%，所有伤害提升42%，持续15秒。	易燃	41	1	1	1	30s			13143738	1										1	0.15																
13144738	攻击时有33%的概率使目标出于易燃状态，受到火系伤害额外提升15%，所有伤害提升48%，持续15秒。	易燃	41	1	1	1	30s			13144738	1										1	0.15																
13145738	攻击时有33%的概率使目标出于易燃状态，受到火系伤害额外提升15%，所有伤害提升54%，持续15秒。	易燃	41	1	1	1	30s			13145738	1										1	0.15																
																																						
13111722	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	减伤降低	19	1	1	1	30s			13111722	1																											
13112722	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	减伤降低	19	1	1	1	30s			13112722	1																											
13113722	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	减伤降低	19	1	1	1	30s			13113722	1																											
13114722	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	减伤降低	19	1	1	1	30s			13114722	1																											
13115722	对目标造成根据总属性差计算的360%普攻伤害，并使其所受伤害提升50%，持续30秒。	减伤降低	19	1	1	1	30s			13115722	1																											
																																						
13111717	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	减伤降低	19	1	1	1	30s		0.405	13111717	1																											
13112717	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	减伤降低	19	1	1	1	30s		0.405	13112717	1																											
13113717	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	减伤降低	19	1	1	1	30s		0.405	13113717	1																											
13114717	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	减伤降低	19	1	1	1	30s		0.405	13114717	1																											
13115717	对目标造成根据双方总属性计算的300%普攻伤害。并使所受伤害提升41%，持续30秒。	减伤降低	19	1	1	1	30s		0.405	13115717	1																											
