将魂id	等级	星数	星级	武将佩戴该将魂加的士气	消耗的物品id（无效字段）	消耗的物品数量（无效字段）		升级到下一级需要的经验	将魂技能，配置 captain_soul_spell.txt中的id	将魂技能，配置 captain_soul_spell.txt中的id	将魂技能，配置 captain_soul_spell.txt中的id
27	23	5	3	1	60010	1		50000	11327123	11327223	11327323
27	24	5	4	1	60010	1		65000	11327124	11327224	11327324
27	25	5	5	1	60010	1		80000	11327125	11327225	11327325
											
23	1	1	1	1	60010	1		50	11323101		
23	2	1	2	1	60010	1		55	11323102		
23	3	1	3	1	60010	1		60	11323103		
23	4	1	4	1	60010	1		65	11323104		
23	5	1	5	1	60010	1		160	11323105		
23	6	2	1	1	60010	1		170	11323106	11323206	
23	7	2	2	1	60010	1		180	11323107	11323207	
23	8	2	3	1	60010	1		190	11323108	11323208	
23	9	2	4	1	60010	1		200	11323109	11323209	
23	10	2	5	1	60010	1		500	11323110	11323210	
23	11	3	1	1	60010	1		600	11323111	11323211	11323311
23	12	3	2	1	60010	1		700	11323112	11323212	11323312
23	13	3	3	1	60010	1		800	11323113	11323213	11323313
23	14	3	4	1	60010	1		900	11323114	11323214	11323314
23	15	3	5	1	60010	1		2000	11323115	11323215	11323315
23	16	4	1	1	60010	1		2500	11323116	11323216	11323316
23	17	4	2	1	60010	1		3000	11323117	11323217	11323317
23	18	4	3	1	60010	1		3500	11323118	11323218	11323318
23	19	4	4	1	60010	1		4000	11323119	11323219	11323319
23	20	4	5	1	60010	1		25000	11323120	11323220	11323320
23	21	5	1	1	60010	1		30000	11323121	11323221	11323321
23	22	5	2	1	60010	1		40000	11323122	11323222	11323322
23	23	5	3	1	60010	1		50000	11323123	11323223	11323323
23	24	5	4	1	60010	1		65000	11323124	11323224	11323324
23	25	5	5	1	60010	1		80000	11323125	11323225	11323325
											
28	1	1	1	1	60010	1		50	11328101		
28	2	1	2	1	60010	1		55	11328102		
28	3	1	3	1	60010	1		60	11328103		
28	4	1	4	1	60010	1		65	11328104		
28	5	1	5	1	60010	1		160	11328105		
28	6	2	1	1	60010	1		170	11328106	11328206	
28	7	2	2	1	60010	1		180	11328107	11328207	
28	8	2	3	1	60010	1		190	11328108	11328208	
28	9	2	4	1	60010	1		200	11328109	11328209	
28	10	2	5	1	60010	1		500	11328110	11328210	
28	11	3	1	1	60010	1		600	11328111	11328211	11328311
28	12	3	2	1	60010	1		700	11328112	11328212	11328312
28	13	3	3	1	60010	1		800	11328113	11328213	11328313
28	14	3	4	1	60010	1		900	11328114	11328214	11328314
28	15	3	5	1	60010	1		2000	11328115	11328215	11328315
28	16	4	1	1	60010	1		2500	11328116	11328216	11328316
28	17	4	2	1	60010	1		3000	11328117	11328217	11328317
28	18	4	3	1	60010	1		3500	11328118	11328218	11328318
28	19	4	4	1	60010	1		4000	11328119	11328219	11328319
28	20	4	5	1	60010	1		25000	11328120	11328220	11328320
28	21	5	1	1	60010	1		30000	11328121	11328221	11328321
28	22	5	2	1	60010	1		40000	11328122	11328222	11328322
28	23	5	3	1	60010	1		50000	11328123	11328223	11328323
28	24	5	4	1	60010	1		65000	11328124	11328224	11328324
28	25	5	5	1	60010	1		80000	11328125	11328225	11328325
